script_element,character,text
heading,,[Scene: In a TV commercial that the gang is watching at Monica and Rachel's.]
action,,(A guy is sitting at his desk and his boss comes in and drops a huge pile of papers on his desk. The guy looks dejected.)
dialogue,Commercial Voiceover,Can't get the monkey off your back? Then put it in your mouth...
action,,"(A monkey jumps on the desk and hands the guy a beer. He opens the beer and is suddenly on the beach, in a hammock, with beautiful women all around.)"
dialogue,Commercial Voiceover,"...With MonkeyShine Beer. (MonkeyShine theme) MonkeyShine Beer, 'cause it's a jungle out there.)"
action,,(Camera pans back from the TV to show the gang watching.)
dialogue,Ross,That commercial always makes me so sad.
dialogue,Joey,"Yeah, but then the guy opens his beer and those girls run at him, so, everything seems to work out OK."
dialogue,Ross,I meant because the monkey in it reminds me of Marcel.
dialogue,Phoebe,"I can see that, 'cause they both have those big brown eyes and, ya know, the little pouty chin."
dialogue,Monica,And the fact that they're both monkeys.
dialogue,Ross,"Sometimes I wonder if I did the right thing, ya know, giving him away."
dialogue,Rachel,"Oh, Ross, you had to, I mean, he was humping everything in sight. I mean, I have a Malibu Barbi that will no longer be wearing white to her wedding."
dialogue,Ross,"Remember when sometimes he'd borrow your hat, and, and when you got it back there'd be little monkey raisins in it."
dialogue,Chandler,"Yeah, well sure, when he did it, it was funny. When I did it to my boss's hat. . . all of the sudden I have this big attitude problem."
action,,Opening Credits
heading,,"[Scene: Central Perk. Chandler, Monica, Rachel, and Phoebe are at the couch.]"
action,,(Joey enters holding a letter)
dialogue,Joey,"Hey, hey, check it out, guess what I got."
dialogue,Chandler,Rhythm?
dialogue,Joey,"No, my first fan mail."
dialogue,All,Alright!
dialogue,Monica,"(reading) 'Dear Dr. Remore, know that I love you and would do anything to have you.' Gosh. 'Your not-so-secretive admirer, Erica Ford.' Ooh wait, 'PS enclosed please find 14 of my eyelashes.'"
dialogue,Rachel,"Ya know, in crazy world, that means you're married."
dialogue,Monica,"This wasn't addressed to Days of Our Lives , this is, this came to your apartment. There's no stamp on it, this woman was in our building."
dialogue,Joey,"Oh my god, I got my very own stalker."
action,,(Ross enters with a suitcase)
dialogue,Ross,Hey guys.
dialogue,All,Hey.
dialogue,Phoebe,"Ooh, where are you off to, Travelin' Jake?"
dialogue,Ross,"Well, there's this, uh, paleontology conference in L.A. so I figured I'd go and then drive down to the zoo and surprise Marcel."
dialogue,Chandler,"You know I think he will be surprised, 'till he realizes he's a monkey, and uh, you know, isn't capable of that emotion."
action,,(Rob (Chris Isaac) enters)
dialogue,Rachel,"Oh, Phoebe, that really cute guy is here again."
dialogue,Phoebe,"Oh, oh, OK, so everyone, pretend like I'm telling you a story, OK. And, and it's really funny. So everyone just laugh, now."
action,,(Everyone laughs)
dialogue,Phoebe,"I know, I know. (to Rob) Hello."
dialogue,Rob,Hi. I'm Rob Dohnen.
dialogue,Phoebe,Hi Rob Dohnen.
dialogue,Rob,"I don't know anything about music, but I think you're really, really great."
dialogue,Phoebe,"Oh, wow."
dialogue,Rob,"Anyway, I schedule performers for the childrens libraries around the city and I was just thinking, have you ever thought about playing your songs for kids?"
dialogue,Phoebe,"Oh, I would love to have kids. . . you're, you're the, you're, me play the songs that I will write for them."
heading,,[Scene: Chandler and Joey's apartment. Chandler and Joey are standing around in the kitchen.]
dialogue,Joey,"Hey, whaddya wanna do for dinner?"
dialogue,Chandler,Well we could just stay in and cook for ourselves. (both laugh hysterically)
action,,(door buzzer goes off)
dialogue,Chandler,Hello.
dialogue,Erica,It's Erica.
dialogue,Joey,"Ah, the stalker."
dialogue,Erica,"Never mind, it's open."
dialogue,Chandler,"(Joey grabs a frying pan) Yes, hitting her with a frying pan's a good idea. We might wanna have a backup plan, though, just in case she isn't a cartoon."
dialogue,Joey,Let's get out of here.
action,,(They run out and knock on Monica and Rachel's door)
dialogue,Chandler,The one time they're not home.
dialogue,Joey,"OK, we'll just leave, and when we pass her on the stairs, she won't know it's me 'cause we've never met."
dialogue,Chandler,That's how radio stars escape stalkers.
dialogue,Joey,She's comin'.
action,,(Both run back in their apartment. There's a knock at the door.)
dialogue,Erica,It's me.
dialogue,Joey,"Uhh, this is it, this is how we're gonna die. Ready?"
dialogue,Chandler,"Wait, wait, wait. (Opens the top of the dish soap he's holding)"
action,,(Joey opens the door and sees Erica (Brooke Shields). Joey gets a huge smile and Chandler squeezed the dish soap in the air.)
dialogue,Erica,Hi.
dialogue,Joey,Erica.
heading,,[Scene: San Diego Zoo. Ross is at the Monkey cages.]
dialogue,Lipson,"Hi, Dean Lipson, zoo administrator. I was told you had a question."
dialogue,Ross,"Well, I uh, I can't seem to find the monkey I donated last year. He's a capuchan, answers to the name Marcel."
dialogue,Lipson,"Ahh, I'm afraid I have some bad news. Marcel has passed on."
dialogue,Ross,"Oh my God, what happened?"
dialogue,Lipson,"Well he got sick, and then he got sicker, and then he got a little better but then he died."
dialogue,Ross,I can't believe this.
dialogue,Lipson,"I'm sorry Mr. Geller. But ya know, there's an old saying, 'Sometimes monkeys die.' It's not a great saying but it certainly is fitting today."
dialogue,Ross,"Well, ya know, someone should have called me."
dialogue,Lipson,"I'm sorry. Look, I know this can't bring him back but here, it's just a gesture."
dialogue,Ross,Zoo dollars?
dialogue,Lipson,"Yes, and come see the bird show at 4. The macaws wear hats. Well it's a lot cuter if your monkey hasn't just died."
heading,,"[Scene: Library. Phoebe is getting ready to sing for the kids. Chandler, Monica, and Rachel are there.]"
action,,(Phoebe pulls out her guitar)
dialogue,Kids,Ooohhh.
dialogue,Phoebe,I know.
dialogue,Monica,"I can't believe Joey's having lunch with his stalker. What i-, what is she like."
dialogue,Chandler,"Well, you remember Cathy Bates in Misery ?"
dialogue,Rachel and Monica,Yeah.
dialogue,Chandler,"Well, she looks the exact opposite of that."
dialogue,Rachel,And she's not crazy?
dialogue,Chandler,"Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore."
dialogue,Rachel,Oh my God.
dialogue,Monica,"Ah, and I mean, he's going out with her? He can not persue this."
dialogue,Chandler,"Hey, just because this woman thinks she can actually see Joey through the magical box in her living room doesn't mean she's not a person. I mean, does she not deserve happiness, does she not deserve love? What're you lookin' at me for? He's the one who wants to boff the maniac."
dialogue,Rob,You OK?
dialogue,Phoebe,"No, uh-uh, I'm just, I'm nervous. So, you know what, maybe if I just, if I picture them all in their underwear."
dialogue,Rob,"That's not a good idea, that's kinda the reason the last guy got fired."
dialogue,Phoebe,"I'm just, I'm, I'm, I'm used to playing for grown-ups. Ya know, they just, grown-ups drink their coffee and do their grown-up thing, ya know, and kids listen. This is a huge responsibility. What? Are you gonna kiss me?"
dialogue,Ross,I was thinkin' about it.
dialogue,Phoebe,"OK. (they kiss) OK, alrighty, let's play some tunes. Hi everybody, I'm Phoebe"
dialogue,All,Hi Phoebe.
dialogue,Phoebe,"OK, um, I'm gonna play, um, some songs about grandparents, OK. (singing)"
