script_element,character,text
heading,,"[Scene: Chandler's bedroom, he is giving Monica a massage.]"
dialogue,Monica,I can't believe we've never done this before! It's sooo good! So good for Monica!
action,,(Chandler picks up the timer being used and turns it to zero at which it chimes.)
dialogue,Chandler,"Oh! Look at that, time's up! My turn!"
dialogue,Monica,That was a half an hour?
dialogue,Chandler,It's your timer.
action,,(They change places.)
dialogue,Monica,"Y'know, I don't like to brag about it, but I give the best massages!"
dialogue,Chandler,"All right, then massage me up right nice!"
action,,"(She starts the massage, only she is doing extremely hard and Chandler is gasping in pain.)"
dialogue,Chandler,Ah! Ahh!! Ahh!!
dialogue,Monica,"It's so good, isn't it?"
dialogue,Chandler,It's so good I don't know what I've done to deserve it!
dialogue,Monica,Say good-bye to sore muscles!
dialogue,Chandler,Good-bye muscles!!
action,,Opening Credits
heading,,"[Scene: Central Perk, Chandler and Joey are sitting on the couch.]"
dialogue,Chandler,"I'm telling you, she gives the worst massages ever!! Okay, it was like she was torturing me for information. And I wanted to give it up I just—I didn't know what it was!"
dialogue,Joey,"Chandler, if it really hurts that bad you should just tell her."
dialogue,Chandler,"Look, for the first time in my life I'm in a real relationship. Okay, I'm not gonna screw that up by y'know, telling the truth."
dialogue,Ross,(walking up with Rachel and carrying coffee) Hey.
dialogue,Joey,"Whoa, dude, look out! You almost crushed my hat! (He picks a hat up from the floor. It's one of those magician stovepipe hats.)"
dialogue,Ross,Sorry.
dialogue,Chandler,(examining the hat) And the bunny got away. (Turns and starts looking for the bunny as Joey puts the hat on.)
dialogue,Ross,(glaring at Joey) This would be the place where you explain the hat.
dialogue,Joey,"Oh! Yeah, look there's this play all right? And I'm up for the part of this real cool like suave international guy. A real clothes horse. So I figure that everyone at the audition is gonna be wearing this kinda y'know, ultra-hip, high fashion stuff."
dialogue,Chandler,And you're gonna make them all disappear.
dialogue,Joey,"Yeah, like you could find something as sophisticated as this."
action,,(Chandler picks up a basket from the table and puts it on his head.)
dialogue,Chandler,Done.
dialogue,Rachel,"Joey, if you wanna look good, why don't you just come down to the store? I'll help you out."
dialogue,Joey,"Great! Thanks, Rach!"
dialogue,Rachel,"Sure! (Pause) God, please take those off!"
dialogue,Joey,All right.
action,,(Both of them remove their hats as Phoebe enters.)
dialogue,Ross,"Hey Pheebs, how's it going?"
dialogue,Chandler,Hey.
dialogue,Phoebe,"Hey! Umm, well, only okay because I just got back from, from the hospital."
action,,(All at once.)
dialogue,Rachel,What?
dialogue,Ross,Is everything okay?
dialogue,Joey,Are you all right?
dialogue,Phoebe,"Oh yeah, no-no-no. I'm fine. I'm okay, but umm, my Grandma sorta died."
dialogue,Joey,Pheebs! Sorry!
dialogue,Phoebe,"It's okay, I mean she had a really incredible life. And it's not like I'm never gonna see her again, y'know she's gonna visit."
dialogue,Rachel,"Well maybe, maybe she's with us right now?"
dialogue,Phoebe,"Yeah, her first day on a new spiritual plane and she's gonna come to the coffeehouse!"
dialogue,Monica,"(entering, in a hurry) Guys! Guys! I just saw two people having sex in a car right outside."
dialogue,Ross,"Uhh, Pheebs' Grandmother just died."
dialogue,Monica,"Ohh my God, I'm so sorry."
dialogue,Phoebe,"It's okay. Actually y'know what, it's kinda cool. 'Cause it's like y'know, one life ends and another begins."
dialogue,Monica,"(to the guys) Not the way they're doing it. What, what happened? How did she die?"
dialogue,Phoebe,"Well umm, okay we were in the market and she bent down to get some yogurt and she just never came back up again."
dialogue,Joey,"Pheebs, I'm so sorry."
dialogue,Phoebe,"It was really sweet. The last thing she said to me was; ""Okay dear, you go get the eggs and I'm gonna get the yogurt and we'll meet at the checkout counter."" And y'know what? We will meet at the checkout counter."
heading,,"[Scene: Bloomingdale's , Rachel is fixing Joey up with some new clothes.]"
dialogue,Rachel,"Okay now Joey, y'know that since you're returning all of this stuff right after the audition you're gonna have to wear underwear?"
dialogue,Joey,"All right, then you'd better show me some of that too then."
dialogue,Rachel,"Okay, it's missing something. Ooh, I know! Umm, okay. (Goes and grabs a bag, that looks like a purse, and shows it to Joey.)"
dialogue,Joey,Really? A purse?
dialogue,Rachel,It's not a purse! It's a shoulder bag.
dialogue,Joey,It looks like a women's purse.
dialogue,Rachel,"No Joey, look. Trust me, all the men are wearing them in the spring catalog. Look. (Shows him.) See look, men , carrying the bag."
dialogue,Joey,"See look, women , carrying the bag. (He puts it on his shoulder and looks at himself in the mirror and likes what he sees.) But it is odd how a women's purse looks good on me, a man."
dialogue,Rachel,Exactly! Unisex!
dialogue,Joey,Maybe you need sex. I had sex a couple days ago.
dialogue,Rachel,No! No Joey! U-N-I-sex.
dialogue,Joey,"Well, I ain't gonna say no to that."
heading,,"[Scene: Ursula's apartment, Phoebe is about to break the bad news to her sister. She knocks on the door.]"
dialogue,Ursula,Who is it?
dialogue,Phoebe,It's Phoebe.
dialogue,Ursula,"Oh great! (Opens the door.) (Disappointed) Oh, you. Umm, what's up?"
dialogue,Phoebe,"Umm, well I sorta have some bad news, can I come in?"
dialogue,Ursula,"Umm, yeah—no thanks."
dialogue,Phoebe,"Umm, well, umm Grandma died."
dialogue,Ursula,Wow! Didn't she die like five years ago?
dialogue,Phoebe,"No, she just died today! Okay, umm, we're having a memorial service tomorrow."
dialogue,Ursula,"Okay, I know that I went to that all ready."
dialogue,Phoebe,No you didn't!
dialogue,Ursula,"Well, then who's been dead for five years?"
dialogue,Phoebe,"Well, lots of people! Look, are you coming to memorial service or not?"
dialogue,Ursula,"Umm, no. See I already thought she was dead so I kinda made my peace with it. Plus, I'm going to a concert tomorrow. So… I'd invite you, but umm, I only have two tickets left."
dialogue,Phoebe,"Fine. Okay, enjoy your concert. (Starts to leave.)"
dialogue,Ursula,Thanks! Enjoy your funeral.
heading,,"[Scene: Central Perk, Ross and Chandler are on the couch as Joey enters with his new bag.]"
dialogue,Joey,Hey!
dialogue,Chandler,Hey!
action,,(As he walks past both Chandler and Ross notice the bag and stare at each other in shock.)
dialogue,Chandler,Wow! You look just like your son Mrs. Tribbiani!
dialogue,Joey,"What? Are you referring to my man's bag? At first, I thought it just looked good, but it's practical too. Check it out! It's got compartments for all your stuff! Your wallet! Your keys! Your address book!"
dialogue,Ross,Your make-up!
dialogue,Rachel,"(entering) Joey, what are you doing with the bag? You're audition is not until tomorrow."
dialogue,Joey,"Yeah, but sandwich time is right now. (Removes a sandwich and starts eating.)"
dialogue,Rachel,"Joey, y'know you get any mustard on that bag, you can't return it."
dialogue,Joey,Why would I return it? I love this bag!
dialogue,Rachel,"All right, then you owe me $350."
dialogue,Joey,Fine! Do you take Vasa or Mustercard? (He's holding the fake credit cards that come with the bag.)
dialogue,Rachel,(glaring at him) Joey…
dialogue,Joey,"All right relax, look I'll pay you with the money from the acting job I am definitely gonna get thanks to you."
dialogue,Ross,"What's the part, Anti-man?"
dialogue,Rachel,"Hey, don't listen to them. I think it's sexy."
dialogue,Joey,U-N-I-sexy? (Smiles provocatively.)
heading,,"[Scene: Phoebe's Grandmother's memorial, Phoebe is at the door welcoming people.]"
dialogue,Phoebe,"Well hello, Mrs. Penella! Thank you so much for coming! Well, okay look, here's your umm, 3-D glasses and Reverend Pong will tell you when to put them on."
action,,(The gang arrives.)
dialogue,Rachel,Hi sweetie!
dialogue,Ross,"Hey, how are you holding up?"
dialogue,Joey,"Hey Pheebs, I'm so sorry."
dialogue,Phoebe,"(notices his bag.) Hey, y'know what? My Grandma had the exact same bag!"
dialogue,Joey,"Here, I brought you some flowers. (He pulls them out of the bag.)"
dialogue,Phoebe,Thanks!
dialogue,Chandler,Pulling flowers out it makes the bag look a lot more masculine.
action,,"(Another man, an older man, enters, looking around and bumps into Chandler.)"
action,,Man:
action,,(The gang moves off as Phoebe greets the new guest.)
dialogue,Phoebe,"Yeah, welcome."
action,,Man:
dialogue,Phoebe,Umm here's your 3-D glasses.
action,,Man:
dialogue,Phoebe,So how did you know Francis?
action,,Man:
dialogue,Phoebe,Really?! What's your name?
action,,Man:
action,,"(Needless to say, Phoebe is stunned into silence. And one audience member gasps.)"
dialogue,Frank Sr.,"(Seeing the look on her face) Y'know what? Strike that. My name uh, actually is-is Joe. Uh, Joe umm, Hill."
dialogue,Phoebe,You're Frank Buffay?
dialogue,Frank Sr.,Shh! (Whispers) No! Joe Hill!
dialogue,Phoebe,You just said…
dialogue,Frank Sr.,"Y'know what, I gotta go. And thank you so much for coming. (Hands back his glasses and hurries out.)"
dialogue,Phoebe,But…
action,,(Phoebe takes one step after him and stops.)
dialogue,Phoebe,Oh my God!
dialogue,Monica,What?! What honey?
dialogue,Ross,What happened?
dialogue,Phoebe,That was my dad!
dialogue,Chandler,Oh my God!
action,,(They all look down the hall he left from.)
dialogue,Joey,"(approaches, wearing his glasses) Hey you guys, check it out. Check it out. (Moves his hand towards and away from his face.) It's like it's coming right at me. (Chandler helps out a little bit by pushing on Joey's arm, which causes his hand to slap him in his face.)"
action,,Commercial Break
heading,,"[Scene: The Funeral Home, continued from earlier. Phoebe is returning after looking for her father.]"
dialogue,Monica,"Oh, did you catch him?!"
dialogue,Phoebe,Uh-huh.
dialogue,Ross,Wh-what did he say?!
dialogue,Phoebe,"He said, ""Nice to meet you Glenda."" (They stare at her, dumbfounded) Well, obviously I couldn't give him my real name?"
dialogue,Rachel,Why?! Why not?!
dialogue,Phoebe,"Come on, you saw the way he ran out of here! What do you think? He's gonna stick around and talk to the daughter he abandoned!"
dialogue,Joey,What did you say to him?
dialogue,Phoebe,"Well, I said, I told him y'know, that I was the executor person of Francis' will and that I needed to talk to him so I'm gonna meet him at the coffee house later."
dialogue,The Pastor,Could everyone please take their seats?
dialogue,Phoebe,"All right, well, I just can't think about that right now. I just wanna say good-bye to my Grandma."
dialogue,Rachel,Okay.
dialogue,Monica,"All right, let's go say good-bye."
action,,(They put on their glasses and try to find their way to their seats.)
heading,,"[Scene: Monica and Rachel's, after the funeral, everyone is there.]"
dialogue,Joey,"(entering, with bag) Hey! I'm off to my audition. How do I look?"
dialogue,Rachel,"Ahhh, I think you look great ! That bag is gonna get you that part."
dialogue,Chandler,And a date with a man!
dialogue,Joey,"Y'know what? Make fun all you want. This is a great bag! Okay? And it's as handy as it is becoming. Now, just because you don't understand something, doesn't make it wrong. All right? So from now on you guys are gonna have to get used to the fact that Joey, (pats the bag) comes with a bag! (Exits.)"
dialogue,Phoebe,"All right, I'd better go too. I have to go talk to my dad."
dialogue,Rachel,"Ooh, Pheebs, what are you gonna say? Are you gonna tell him who you are?"
dialogue,Phoebe,"Umm, no, not at first 'cause I-I don't want to freak him out"
dialogue,Ross,"Well, but aren't you pissed at him?! I mean this guy abandoned you! I gotta tell you if this were me, this guy would be in some serious physical danger! (Getting worked up) I mean I-I-I'd walk in there and I'd be like, ""Yo, dad! You and me outside right now!"" (Calming down.) I kinda scared myself."
dialogue,Monica,"Well, at least you scared someone."
dialogue,Phoebe,"Y'know it's funny, you'd think I'd be angry. I mean, you'd think I'd wanna rip his tiny little head off. Fortunately, I'm past it."
dialogue,Monica,"Phoebe, you do seem a little tense. Here, let me help you."
dialogue,Phoebe,All right.
action,,(She goes over and tries to give Phoebe a massage. Phoebe yelps in pain and jumps away from her.)
dialogue,Phoebe,"Oh! Get off!! Ow!! Oh, stop it!! Why?! Why are you doing that to me?!"
dialogue,Monica,What are you talking about?
dialogue,Phoebe,"As a masseuse and a human, I'm begging you, never do that to anyone!"
dialogue,Monica,(indignant) I give good massages! (Ross laughs.) I used to give them to Rachel all the time before she got allergic! And-and-and Chandler loves them! Watch! (She starts giving Chandler a massage.)
dialogue,Phoebe,(seeing the look on Chandler's face) He-he does not like it! He hates it! He's in pain!
dialogue,Monica,No he's not!
dialogue,Chandler,"(wincing) Yes, he is!"
dialogue,Monica,What?!
dialogue,Chandler,"I'm sorry but, ow-owww-owww!"
dialogue,Monica,You've been lying to me? I can't believe you'd do that.
dialogue,Ross,"Well, maybe he just didn't want to hurt your feelings."
dialogue,Monica,But the minute we start to lie to each other… (Pauses after she realizes what she's saying.) And by 'we' I mean society.
heading,,"[Scene: Joey's audition, he is with bag.]"
dialogue,The Casting Director,"Any time you're ready, Joey."
dialogue,Joey,"(reading from the script) Well, you must be new here. Why don't we get a table and I'll buy you a drink."
dialogue,The Casting Director,"(stopping him) I'm sorry. Could you, could you try it without the purse?"
dialogue,Joey,"Yeah, sure. (He takes it off and starts reading.) Well, you must be new here. Maybe we should—I'm sorry, can I ask you something? (He stops and asks a question.)"
dialogue,The Casting Director,Sure. What?
dialogue,Joey,"Well, first it's not a purse."
dialogue,The Casting Director,"Okay, anytime."
dialogue,Joey,"I mean if-if you're thinking it's a woman's bag, it's not. It's a man's bag!"
dialogue,The Casting Director,"Okayyyy! Anddd, go!"
