script_element,character,text
heading,,"[Scene: Central Perk, everyone but Phoebe is there.]"
dialogue,Phoebe,(entering) Hi guys!
dialogue,All,"Hey, Pheebs! Hi!"
dialogue,Ross,"Hey. Oh, oh, how'd it go?"
dialogue,Phoebe,"Um, not so good. He walked me to the subway and said 'We should do this again!'"
dialogue,All,Ohh. Ouch.
dialogue,Rachel,"What? He said 'we should do it again', that's good, right?"
dialogue,Monica,"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'."
dialogue,Rachel,Since when?
dialogue,Joey,"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'."
dialogue,Chandler,Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.
dialogue,Phoebe,"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'."
dialogue,Rachel,And everybody knows this?
dialogue,Joey,Yeah. Cushions the blow.
dialogue,Chandler,"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm."
dialogue,Ross,"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm."
dialogue,Monica,"Uh, Ross."
dialogue,Ross,"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!"
action,,Opening Credits
heading,,"[Scene: Chandler and Joey's, Chandler is helping Joey rehearse for a part.]"
dialogue,Chandler,"""So how does it feel knowing you're about to die?"""
dialogue,Joey,"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die."""
dialogue,Chandler,"Hey, that was really good!"
dialogue,Joey,Thanks! Let's keep going.
dialogue,Chandler,"Okay. ""So. Whaddya want from me, Damone, huh?"""
dialogue,Joey,"""I just wanna go back to my cell. 'Cause in my cell, I can smoke."""
dialogue,Chandler,"""Smoke away."""
action,,"(Joey takes out a pack of cigarettes and a lighter. He fumbles and drops the lighter. Then he lights a cigarett, takes a drag, and coughs.)"
dialogue,Chandler,I think this is probably why Damone smokes in his cell alone.
dialogue,Joey,What?
dialogue,Chandler,Relax your hand!
action,,(Joey lets his wrist go limp.)
dialogue,Chandler,Not so much!
dialogue,Joey,Whoah!
dialogue,Chandler,Hey!
dialogue,Joey,Hey!
dialogue,Chandler,"Alright, now try taking a puff."
action,,(Joey tries and visibly winces.)
dialogue,Chandler,Alright.. okay. No. Give it to me.
dialogue,Joey,"No no no, I am not giving you a cigarette."
dialogue,Chandler,"It's fine, it's fine. Look, do you wanna get this part, or not? Here."
action,,(Joey reluctantly gives him the cigarette.)
dialogue,Chandler,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete."
dialogue,Joey,Y'miss it?
dialogue,Chandler,"Nah, not so much. Alright, now we smoke. (Takes a puff.) Oh.. my.. God. (He continues to smoke.)"
heading,,"[Scene, Central Perk, everyone except Phoebe and Rachel is there.]"
dialogue,Monica,"No, no, no. They say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger."
action,,(The guys stretch out their fingers.)
dialogue,Joey,That's ridiculous!
dialogue,Ross,Can I use.. either thumb?
