script_element,character,text
heading,,"[Scene Central Perk, everyone's there.]"
dialogue,Monica,"What you guys don't understand is, for us, kissing is as important as any part of it."
dialogue,Joey,"Yeah, right!.......Y'serious?"
dialogue,Phoebe,"Oh, yeah!"
dialogue,Rachel,Everything you need to know is in that first kiss.
dialogue,Monica,Absolutely.
dialogue,Chandler,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out."
dialogue,Ross,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket."
dialogue,Chandler,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
dialogue,Rachel,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone."
dialogue,Joey,(pause)....Are we still talking about sex?
action,,Opening Credits
heading,,"[Scene: Museum of Prehistoric History, Ross and a co-worker (Marsha) are setting up an exhibit which includes some mannequins of cave people.]"
dialogue,Ross,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?"
dialogue,Marsha,"Well, she has issues."
dialogue,Ross,Does she.
dialogue,Marsha,"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!"
dialogue,Ross,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?"
dialogue,Marsha,"Speaking of issues, isn't that your ex-wife?"
action,,"(Carol, Ross's ex-wife, has entered behind them and is standing outstide the exhibit.)"
dialogue,Ross,(trying to ignore her) No. No.
dialogue,Marsha,"Yes, it is. Carol! Hi!"
dialogue,Ross,"Okay, okay, yes, it is. (waves) How about I'll, uh, catch up with you in the Ice Age."
action,,(Marsha extis and Ross waves Carol into the exhibit.)
dialogue,Ross,Hi.
dialogue,Carol,So.
dialogue,Ross,"You look great. I, uh... I hate that."
dialogue,Carol,Sorry. You look good too.
dialogue,Ross,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh..."
dialogue,Carol,A lesbian?
dialogue,Ross,"Well... you never know. How's, um.. how's the family?"
dialogue,Carol,"Marty's still totally paranoid. Oh, and, uh-"
dialogue,Ross,"Why- why are you here, Carol?"
dialogue,Carol,I'm pregnant.
dialogue,Ross,Pregnant?!
heading,,"[Scene: Monica and Rachel's, Chandler, Joey, Phoebe, and Monica are watching Three's Company .]"
dialogue,Chandler,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding."
dialogue,Phoebe,...Then I've already seen this one! (Turns off the TV.)
dialogue,Monica,(taking a drink from Joey) Are you through with that?
dialogue,Joey,"Yeah, sorry, the swallowing slowed me down."
dialogue,Monica,Whose little ball of paper is this?!
dialogue,Chandler,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... (sees that Monica is glaring at him) ...now I wish I was dead."
action,,(Monica starts to fluff a pillow.)
dialogue,Phoebe,"She's already fluffed that pillow... Monica, you know, you've already fluffed that- (Monica glares at her.) -but, it's fine!"
dialogue,Monica,"Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have."
dialogue,Chandler,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow."
dialogue,Phoebe,"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way."
dialogue,Joey,"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come."
