script_element,character,text
heading,,[Scene: Joey's new apartment. Everyone but Chandler is there. Joey has decorated the place with tons of tacky stuff.]
dialogue,Joey,Huh? So whaddya think? Casa de Joey. Huh? I decorated it myself.
dialogue,Ross,Get out.
dialogue,All,No.
dialogue,Monica,"(looking at some kind of glass sculpture thing) Wow Joey, this is, uhh..."
dialogue,Joey,Art.
dialogue,Monica,Art it is.
dialogue,Ross,"(looking at a glass table with a panther shaped base) Look, check this out. Is it a coffee table, is it a panther? There's no need to decide."
dialogue,Rachel,"(holding a pillow made out of 4 inch red fur) Hey, nice pillow. So now tell me, is this genuine Muppet skin?"
dialogue,Phoebe,"(looking at a water sculpture that looks like a window with rain running down it) Hey, excellent, excellent water-table thing."
dialogue,Joey,"Thanks, yeah. I love this but ya know what, it makes me wanna pee."
dialogue,Phoebe,"Yeah, well me too, yeah. I think that's the challenge."
dialogue,Joey,"Hey, how come, uhh, Chandler didn't come?"
dialogue,Ross,"Well uh, it's cause he had a thing with, wi-, with the thing."
dialogue,Joey,"Right, I go-, I got it."
dialogue,Phoebe,So why don't ya show us the rest of your casa?
dialogue,Joey,"Yeah. Uh, oh, OH, the best part, c'mon. (leads them to the bathroom, gestures towards toilet, everyone stares, uncomprehending) Heh?"
dialogue,Rachel,"Hey, nice toilet."
dialogue,Joey,"No no no, behind it."
dialogue,Ross,"Wha-, you have a phone in here?"
dialogue,Joey,"That's right, I have a phone in here ."
dialogue,Monica,"Joey, promise me something."
dialogue,Joey,Yeah.
dialogue,Monica,Never call me from that phone.
action,,Opening Credits
heading,,"[Scene: Central Perk. Monica, Chandler, and Ross are seated. Rachel is walking over with coffee and a piece of pie.]"
action,,(Someone bumps into Rachel and she drops the pie in a guy's hood that's seated at the table. She improvises by using the plate as a saucer for the coffee.)
dialogue,Rachel,"OK, here we go. Honey, I'm sorry, they were all out of apple pie, someone just got the last piece."
action,,(Phoebe enters)
dialogue,Phoebe,"Oh my God, oh my God, oh my God, oh my God. You are not gonna believe this. I have just been discovered."
dialogue,Chandler,"Now wait a minute, I claimed you in the name of France four years ago."
