script_element,character,text
heading,,"[Scene: Central Perk, Chandler and Rachel are sitting on the couch.]"
dialogue,Chandler,"(reading the comics) Eh..., I don’t, I don’t know."
dialogue,Rachel,What?
dialogue,Chandler,"Well, as old as he is in dog years, do you think Snoopy should still be allowed to fly this thing?"
dialogue,Gunther,Rachel?
dialogue,Rachel,Yeah.
dialogue,Gunther,"Do you remember when you first came here, how you spent two weeks getting trained by another waitress?"
dialogue,Rachel,"Oh, sure! Do you need me to train somebody new?"
dialogue,Gunther,"(laughs) Good one. Actually, ah, Terry wants you to take the training again, whenever."
dialogue,Rachel,"(to Chandler) Eh, do you believe that?"
dialogue,Chandler,(thinks about it) Yeah?
action,,Opening Credits
heading,,"[Scene: The hallway of Ross’s building, there is a Brown Bird girl selling cookies, as Ross and Chandler come up the stairs.]"
dialogue,Sarah,"So that’s two boxes of the Holiday Macaroons. On behalf of the Brown Birds of America, I salute you. (Does the Brown Bird salute, she blows on a bird call, then holds her hand, palm facing out, next to her face, and then waves it like a bird flapping it’s wings.)"
dialogue,Ross,"Just admit it Chandler, you have no backhand."
dialogue,Chandler,"Excuse me little one, I have a very solid backhand."
dialogue,Ross,Shielding your face and shrieking like a girl... is not a backhand.
dialogue,Chandler,I was shrieking... like a Marine.
action,,(they both start up the stairs.)
dialogue,Ross,"All right here. Watch me execute the three ‘P’s of championship play. Power. (swings the racquet) Precision. (swings the racquet.) and penache. (does a backswing and hits Sarah who’s started up the stairs, knocking her down, they both watch in horror.)"
heading,,"[Scene: Central Perk, the gang’s all there discussing the incident.]"
dialogue,Monica,You broke a little girl’s leg?!!
dialogue,Ross,I know. I feel horrible. Okay.
dialogue,Chandler,(reading the paper) Says here that a muppet got whacked on Seasame Street last night. (to Ross) Where exactly were around ten-ish?
dialogue,Ross,"Well, I’m gonna go see her. I want to bring her something, what do you think she’ll like?"
dialogue,Monica,"Maybe a Hello Kitty doll, the ability to walk..."
action,,"(Rachel starts to laugh, and Ross notices her.)"
dialogue,Rachel,I’m gonna get back to retraining. (gets up)
dialogue,Ross,"All right, see you guys. (starts to leave)"
dialogue,Chandler,"Look out kids, he’s coming! (Ross continues to leave with his head down in shame.)"
dialogue,Joey,And I gotta go sell some Christmas trees.
dialogue,Phoebe,"Have fun. Oh wait, no, don’t! I forgot I am totally against that now."
dialogue,Joey,What? Me having a job?
dialogue,Phoebe,"No, no, I am against innocent trees being cut down in their prime, and their, their corpses grotesquely dressed in like tinsel and twinkly lights. (to Joey) Hey, how do you sleep at night?"
dialogue,Joey,"Well, I’m pretty tired from lugging the trees around all day. Hey, Phoebe listen, you got this all wrong. Those trees were born to be Christmas trees, their fulfilling their life purpose, by, by making people happy."
dialogue,Phoebe,Really?
action,,"(Phoebe turns and looks at Monica, while Joey frantically motions to Chandler to help him out.)"
dialogue,Chandler,"Yes. Yes, and ah, ah, the trees are happy too, because for most of them, it’s the only chance to see New York."
action,,[cut to Gunther retraining Rachel.]
dialogue,Gunther,"...and after you’ve delivered the drinks, you take the empty tray...."
dialogue,Rachel,"Gunther, Gunther, please, I’ve worked here for two and a half years, I know the empty trays go over there. (points to the counter.)"
dialogue,Gunther,What if you put them here. (sets the empty tray on another stack of empty trays on the back counter.)
dialogue,Rachel,"Huh. Well, y'know that’s actually a really good idea, because that way they’ll be closer to the mugs. Y'know what, you should have the other waitresses do that too."
dialogue,Gunther,They already do. That’s why they call it the ‘tray spot.’
dialogue,Rachel,"Gee, I always heard them talk about that, I just always thought that it was a club they went to. Oh God, I’m, I’m sorry. (walks away)"
dialogue,Gunther,It’s all right. Sweetheart.
heading,,"[Scene: Sarah’s bedroom, her room is decorated with a space motif.]"
dialogue,Ross,"So, this must be kinda neat for ya, huh? I mean, your Dad tells me that you get a couple of days off school, and you, you ah, don’t have to sell those cookies anymore."
dialogue,Sarah,"Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a real space shuttle."
dialogue,Ross,"Wow, you ah, you really like all this space stuff, huh?"
dialogue,Sarah,"Yeah. My Dad says if I spend as much time helping him clean apartments, as I do daydreaming about outer space, he’d be able to afford a trip to the Taj Mahal."
dialogue,Ross,I think you would have to clean a whole lot of apartments to go all the way to India.
dialogue,Sarah,"No. The one in Atlantic City, Dad loves the slots. He says he’s gonna double the college money my Grandma left me."
dialogue,Ross,"Huh. Well, good luck to Dad. Say, how many more boxes would you have to sell in order to win?"
dialogue,Sarah,The girl who won last year sold four hundred and seventy-five.
dialogue,Ross,Yeah.
dialogue,Sarah,"So far, I’ve sold seventy-five."
dialogue,Ross,"Four hundred, huh? Well, that sounds do-able. (starts to get out his wallet) How much are the boxes?"
dialogue,Sarah,Five dollars a box.
dialogue,Ross,(puts away his wallet) And what is second prize?
dialogue,Sarah,"A ten speed bike. But, I’d rather have something my Dad couldn’t sell."
dialogue,Ross,"Well, that makes sense."
dialogue,Sarah,"Could you do me one favor, if it’s not too much trouble?"
dialogue,Ross,"Yeah, Sarah, anything."
dialogue,Sarah,"Could you pull open the curtains for me? The astronauts from the space shuttle are gonna be on the news, and since we don’t have a TV, the lady across the alley said she’d push hers up to a window, so I could watch it."
heading,,"[Scene: A hallway, Ross is selling Brown Bird cookies for Sarah, he stops and knocks on a door.]"
dialogue,Woman,"(looking through her peephole, we see Ross standing in the hallway.) Yesss?"
dialogue,Ross,"Hi, I’m selling Brown Bird cookies."
dialogue,Woman,"You’re no Brown Bird, I can see you through my peephole."
dialogue,Ross,"No, hi, I’m, I’m an honorary Brown Bird (does the Brown Bird salute.)"
dialogue,Woman,What does that mean?
dialogue,Ross,"Ah, well, it means that I can sell cookies, but I’m not invited to sleep-overs."
dialogue,Woman,"I can dial 9-1-1 at the touch of a button, y'know. Now, go away!"
dialogue,Ross,"No, please, please, um, it’s for a poor little girl who wants to go to Spacecamp more than anything in the world."
dialogue,Woman,"I’m pressing, a policeman is on his way."
dialogue,Ross,"Okay, okay! I’m going. I’m going. (goes across the hall to knock on another door.)"
dialogue,Woman,I can still see you!
dialogue,Ross,All right!!
heading,,"[Scene: Joey’s work, selling Christmas trees.]"
dialogue,Phoebe,(walking up to Joey) Hey.
dialogue,Joey,"Hey. What, what are you doing here?"
dialogue,Phoebe,"Well, I-I thought a lot about what you said, and um, I realilized duh, all right maybe I was a little judgmental. Yeah, (looks at the tree) oh, but oh..."
dialogue,Joey,"Look now, Phoebe remember, hey, their just fulfilling their Christmas...."
dialogue,Phoebe,Destiny.
dialogue,Joey,Sure.
dialogue,Phoebe,Yes.
dialogue,Joey,All right.
dialogue,Phoebe,"Okay. (One of Joey’s co-workers, walks by with a dead tree.) Yikes! That one doesn’t look very fulfilled."
dialogue,Joey,"Oh, that’s, that’s ah, one of the old ones, he’s just taking it to the back."
dialogue,Phoebe,"You keep the old ones in the back, that is so ageist."
dialogue,Joey,Well we have to make room for the fresh ones.
dialogue,Phoebe,"So, what happens to the old guys?"
dialogue,Joey,"Well, they go into the chipper."
dialogue,Phoebe,"Why, do I have a feeling that’s not as happy as it sounds? (Joey points out one going into the chipper to her, as this haunty, demonic music starts to play in the background) No! Nooooo!!! (she winces in horror and hides her face against Joey’s shoulder, as she sees the tree spit out from the chipper.)"
dialogue,Joey,(to the guy operating the chipper) Hey! Hey!! (makes the ‘cut it’ motion with his hands)
heading,,"[Scene: Central Perk, all except Phoebe are there, Ross is telling the gang, minus Rachel who’s still being retrained, about the different cookie options.]"
dialogue,Ross,"...and these come in the shapes of your favourite Christmas characters, Santa, Rudolph, and Baby Jesus."
dialogue,Joey,"All right, I’ll take a box of the cream filled Jesus’s."
dialogue,Ross,"Wait a minute, one box! Come on, I’m trying to send a little girl to Spacecamp, I’m putting you down for five boxes. Chandler, what about you?"
dialogue,Chandler,"Ahh, do you have any coconut flavoured deities?"
dialogue,Ross,"No, but ah, there’s coconut in the Hanukkah Menoreoes. I tell you what, I’ll put you down for eight boxes, one for each night."
action,,(Chandler mouths ‘Okay.’)
dialogue,Ross,Mon?
dialogue,Monica,"All right, I’ll take one box of the mint treasures, just one, and that’s it. I-I started gaining weight after I joined the Brown Birds. (to Ross) Remember, how Dad bought all my boxes and I ate them all?"
dialogue,Ross,"Ah, no Mon, Dad had to buy everyone of your boxes because you ate them all. But ah, y'know I’m sure that’s not gonna happen this time, why don’t I put you down for three of the mint treasures and just a couple of the Rudolph’s."
dialogue,Monica,No.
dialogue,Ross,"Oh, come on, now you know you want ‘em."
dialogue,Monica,"Don’t, don’t, don’t, don’t, don’t do this."
dialogue,Ross,"I’ll tell you what Mon, I’ll give you the first box for free."
dialogue,Monica,(she reaches out for it and stops) Oh God! I gotta go! (runs out)
dialogue,Ross,Come on! All the cool kids are eating ‘em! (chases after her.)
action,,[cut to Gunther retraining Rachel.]
dialogue,Gunther,"And when you have a second later, I wanna show you why we don’t just trap spiders under coffee mugs and leave them there."
dialogue,Rachel,"(sitting down next to Chandler) I’m training to be better at a job that I hate, my life officially sucks."
dialogue,Joey,"Look Rach, wasn’t this supposed to a temporary thing? I thought you wanted to do fashion stuff?"
dialogue,Rachel,"Well, yeah! I’m still pursuing that."
dialogue,Chandler,"How... exactly are you pursuing that? Y'know other than sending out resumes like what, two years ago?"
dialogue,Rachel,"Well, I’m also sending out.... good thoughts."
dialogue,Joey,"If you ask me, as long as you got this job, you’ve got nothing pushing you to get another one. You need the fear."
dialogue,Rachel,The fear?
dialogue,Chandler,"He’s right, if you quit this job, you then have motivation to go after a job you really want."
