script_element,character,text
heading,,"[Scene: Central Perk, Joey and Chandler are sitting and talking.]"
dialogue,Chandler,Y’know what? It seems like all of the sudden; so much has happened.
dialogue,Joey,I know. Ross is getting married.
dialogue,Chandler,"Phoebe is, making people."
dialogue,Joey,Everybody’s doing stuff!
dialogue,Chandler,"And we just sit here. I mean if I die the only way people would even know I was here, would be by the ass print on this chair! Look, we have to do something. Okay? Something huge!"
dialogue,Joey,(snaps his fingers) We could climb Mt. Everest!
dialogue,Chandler,"No-no, not something stupid, something huge."
dialogue,Joey,"No-no-no-no-no, I saw an ad for this video, people climb that thing everyday! We could totally do that!"
dialogue,Chandler,"Why not?! I mean it’s just, it’s just climbing! It’s just, it’s just steep!"
dialogue,Joey,Yeah!
dialogue,Chandler,"We’re going to Everest! Okay, it would be nice to leave an ass print on Everest!"
dialogue,Phoebe,(entering) Hey!
dialogue,Joey,Hey!
dialogue,Phoebe,What-what’s up?
dialogue,Joey,We’re gonna climb Mt. Everest!
dialogue,Chandler,Yeah baby!
dialogue,Phoebe,"Really?! I looked into that. Yeah, but, I mean it costs like $60,000 and y’know you can die. And, you would die!"
dialogue,Chandler,"(dejected) Yeah, well…"
dialogue,Joey,We could get that Everest video though.
dialogue,Chandler,"Yeah, we could do that without y’know risking our lives at all!"
dialogue,Joey,"And while we’re down at the video store, you know what else we could rent? Die Hard ! (Chandler’s excited.) Oh, y’know what? I just remembered, that Everest thing is only available through mail order."
dialogue,Chandler,"(dejected) Oh, well…"
dialogue,Phoebe,So you guys’ll stay here and hang out with me?
dialogue,Chandler,Yeeeeahhhh.
dialogue,Joey,Yeah. Yeah.
dialogue,Chandler,But I’ll tell you something. One of these days we’re get off of our buts and rent Die Hard again!
dialogue,Joey,Yeah we are!
action,,Opening Credits
heading,,"[Scene: Ross’s apartment, he and Emily are addressing their invitations.]"
dialogue,Emily,So what did he decide? Does your Uncle Nathan get an invite or not?
dialogue,Ross,"Ohh, God, nobody likes him, and he’s so cheap, he’d never fly to London in a million years. Yeah, invite him? Hey, did I do these neat enough? (Hands her some envelopes.)"
dialogue,Emily,"Yeah, they’re fine."
dialogue,Ross,Yeah?
dialogue,Emily,"If anyone asks, we’ll just say Ben addressed them. (Looking through the envelopes.) Oh! So you invited Rachel then?"
dialogue,Ross,Sure. Why not?
dialogue,Emily,Really?
dialogue,Ross,Yeah?
dialogue,Emily,I don’t think I’d be comfortable with any of my old lovers there.
dialogue,Ross,"Wait-wait-wait, do you, do you think, maybe we shouldn’t invite her?"
dialogue,Emily,"Oh, no-no, y’know I absolutely adore Rachel it’s just that, well it might be a awkward for you. But it’s absolutely your decision. (Gets up.) More tea?"
dialogue,Ross,Yeah sure.
dialogue,Emily,Earl Grey?
dialogue,Ross,"Huh? Yeah, fine, invite whoever you want."
action,,"[And with that we start off on a series of clips from the entire history of Ross and Rachel, from Ross’s point of view. The first clip is from The Pilot.]"
heading,,"[Scene: Central Perk, Ross is complaining about Carol.]"
dialogue,Ross,"I don't want to be single, okay? I just... I just- I just wanna be married again!"
action,,(A woman enters wearing a wet wedding dress and frantically starts to look around.)
dialogue,Chandler,And I just want a million dollars! (He extends his hand hopefully.)
dialogue,Monica,Rachel?!
dialogue,Rachel,"Oh God Monica hi! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"
action,,[cut to later]
dialogue,Monica,"Okay, everybody, this is Rachel, another Lincoln High survivor. (To Rachel) This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?"
dialogue,Rachel,"Hi, sure!"
dialogue,Ross,Hi.
action,,"(They go to hug but Ross' umbrella opens. He sits, defeated again.)"
action,,[cut to later]
