script_element,character,text
heading,,"[Scene: Central Perk. Rachel, Monica, Joey, and Chandler are there.]"
action,,(Rachel brings a muffin to Chandler and Monica who are sitting on the couch.)
dialogue,Rachel,"Ok, Chandler, Mon, there's only one bananna nut muffin left."
action,,(Rachel holds the tray between them. Chandler grabs the muffin before Monica can.)
dialogue,Monica,"Oh, I ordered mine first."
dialogue,Chandler,"Yeah, but I'm, I'm so much faster..."
dialogue,Monica,Give it to me.
dialogue,Chandler,No.
dialogue,Monica,Give it to me.
dialogue,Chandler,"Ok, you can have it. (He licks it and offers it to her.)"
dialogue,Monica,"(She grabs the coffee cup on the table and licks the rim.) There you go, enjoy your coffee."
dialogue,Chandler,That was there when I got here. (Takes a bite of his muffin.)
dialogue,Phoebe,"(enters) Hey you guys, you will never guess who's coming to New York."
dialogue,Monica,"(Chandler tries to come back with a smart-ass remark but can't swallow the muffin.) Quick, Phoebe, tell us before he can swallow."
dialogue,Phoebe,"Oh ok, Ryan, that guy I went out with, who's in the Navy."
action,,(Chandler is visibly upset)
dialogue,Rachel,You went out with a guy in the Navy?
dialogue,Phoebe,"Yeah, I met him when I was playing guitar in Washington Square Park. Ryan threw in salt water taffy 'cause he didn't have any change."
dialogue,Joey,"Hey, is that when you wrote salt water taffy man?"
dialogue,Phoebe,"No. No, he is my submaring guy. He resurfaces like every couple years and we have the most amazing three days together. Only this time he's coming for two weeks. Two whole weeks, which means yay."
dialogue,Rachel,"So wait, this guy goes down for like two years at a time?"
action,,"(Once again, Chandler has a bite in his mouth and can't come back.)"
dialogue,Monica,That'll teach you to lick my muffin.
dialogue,Ross,(enters) Hiii.
dialogue,Joey,"Oh no, what happened?"
dialogue,Ross,"Well, I just spoke to Carol. Ben's got the chicken pox."
dialogue,All,Oh no.
dialogue,Ross,"Yeah, so if you haven't already had it, chances are you're gonna get it."
dialogue,Rachel,Well I've had it.
dialogue,Joey,"Yeah, I've had it."
dialogue,Monica,Had it.
dialogue,Chandler,Had it.
dialogue,Phoebe,"Well, I've never had it, I feel so left out. (Sees a red bump on her arm.) Oh look!"
action,,Opening Credits
heading,,[Scene: Monica and Rachel's apartment. Monica and Richard are in her bedroom.]
dialogue,Monica,"Honey, you made the bed again. I told you, you don't have to do that. This isn't camp."
dialogue,Richard,"Ooh, then I guess the panty raid last night was totally uncalled for. Ok, I am going to take a shower and today I will be singing Jim Crochee's Leroy Brown."
action,,(He walks out of the bedroom and Monica starts to remake the bed.)
dialogue,Richard,"Monica... (He re-enters the bedroom and Monica jumps on the bed, trying to cover it.) Hey Mon, I have a question. Is Leroy the baddest man in the whole damn town or the fattest man in the whole damn town?"
dialogue,Monica,Baddest. Otherwise the song would be Fat Fat Leroy Brown.
dialogue,Richard,What're you doing?
dialogue,Monica,Just waiting for you sweetie.
dialogue,Richard,Are you remaking the bed?
dialogue,Monica,"I'm sorry, I'm sorry. You know what, the way you did it was just fine."
dialogue,Richard,"Then, you're redoing it because..."
dialogue,Monica,"If I tell you, you'll think I'm crazy."
dialogue,Richard,You're pretty much running that risk either way.
dialogue,Monica,"Ok, you see, the tag shouldn't be at the top left corner, it should be at the bottom right corner."
dialogue,Richard,"Oh, well that's not so crazy."
dialogue,Monica,I'm just easing you in.
dialogue,Richard,"Oh, alright."
dialogue,Monica,"Alright, you see these little flower blossoms? They should be facing up, not down, because, well, the head of the bed is where the sun would be. You don't love me any more do you."
dialogue,Richard,"Actually, if it's possible, I love you more."
dialogue,Monica,"Really? Wow, well then come on, I wanna show you how to fold the toilet paper into a point."
heading,,[Scene: Chandler's office. Joey is there.]
dialogue,Chandler,"Hey, look Joey, I'm just saying if you need something to hold you over, I can get you a job right here as an entry level processor."
dialogue,Joey,But don't you need experience for a job like that?
dialogue,Chandler,"It's not that hard to learn. And as for people realizing you have no idea what you're doing, hey, you're an actor. Act like a processor, people will think you're a processor."
dialogue,Scott,"(enters) Hey Chandler, here's this morning's projections."
dialogue,Chandler,"Hey thanks. Scott Alexander, Joey Tribbianni. Joey is a uh, fellow processor."
dialogue,Scott,No kidding.
dialogue,Joey,"Oh yeah yeah. I process. People want the processing, I'm the one they call."
dialogue,Scott,Where do you work?
dialogue,Joey,"Uhh, well, right now I'm in between things. You know how it is. One day you're processing, the next day you're not so much... processing any more."
dialogue,Chandler,I was just telling Joey about the opening in Fleischman's group.
dialogue,Scott,"Fleischman's group. Whatever you do, don't touch his sandwiches. Ha-ha-ha..."
dialogue,Joey,Ha-ha. (Scott leaves) Are all you processors dorks?
heading,,[Scene: Monica and Rachel's apartment. Monica and Rachel are doing Phoebe's makeup.]
dialogue,Rachel,"Oh, this lipstick looks just great on you."
dialogue,Monica,"You look fabulous honey, you really do."
dialogue,Phoebe,"Yeah? Are you sure, really. (She picks up a mirror and sees the white splotches all over her face.)"
dialogue,Rachel,"You see, you look beautiful. For god sakes, dim the lights."
dialogue,Phoebe,"I, I, I'm hideous."
dialogue,Monica,It's gonna be ok. Ryan's been under water. He's just gonna be so glad that you don't have barnicles on your butt.
heading,,[Scene: Monica and Rachel's apartment. Ryan is walks up to the door and knocks.]
dialogue,Phoebe,Come in.
dialogue,Ryan,"Hey baby, I'm back... (Phoebe is sitting by the window in a veil.)"
dialogue,Phoebe,"Hey Ryan, what's up?"
dialogue,Ryan,What's goin' on?
dialogue,Phoebe,"Well, no no, you have to stay back. I, I have the pox."
dialogue,Ryan,Chicken or small?
dialogue,Phoebe,Chicken. Which is so ironic considering I'm a vegetarian.
dialogue,Ryan,Why aren't you at home in bed?
dialogue,Phoebe,"'Cause my, my grandmother's never had chicken pox. Please, please tell me you have, 'cause oh my God, I forgot how cute you are."
dialogue,Ryan,"I'm sorry, I never had 'em."
dialogue,Phoebe,"Ohh, ohh."
dialogue,Ryan,"If I had one wish, it would be to build a time machine, go back to when I was 7, when Jimmy Hauser had the chicken pox. I would grab that kid and rub him all over my face."
dialogue,Phoebe,"Yeah, or you know, you could just wish that I didn't have them now."
dialogue,Ryan,Can I please see your face?
dialogue,Phoebe,Nope. You don't want to see a face covered with pox.
dialogue,Ryan,"Your face could be covered with lochs, I wouldn't care."
dialogue,Phoebe,"And you hate fish. Oh. That's so sweet, alright. Ok, alright, you can see. This is me... (she unveils herself right as a huge lightning bolt crashes outside. Ryan screams in terror.) Oh, I am scary."
dialogue,Ryan,"Sorry, the lightning. Lightning was an unfortunate incidence. You look lovely, lovely."
dialogue,Phoebe,"I hate this. 'Cause I tell you, I had the most amazing two weeks planned for us, and almost everything I had in mind, we had to be a lot closer than this."
dialogue,Ryan,"Phoebe, I have spent the last eight months in a steel tube with men, thinking about this moment. I am not gonna let a bunch of itchy spots stand between us. (He walks to her and kisses her.)"
dialogue,Phoebe,"Ok, this is the most romantic disease I've ever had."
heading,,[Scene: Chandler's office. Joey enters.]
dialogue,Joey,Hey.
dialogue,Chandler,"Hey, how's the first day goin'?"
dialogue,Joey,Pretty good. It's like you said. It's mostly just putting numbers from one column into another column.
dialogue,Chandler,Well there you go.
dialogue,Joey,"Hey and everbody is so nice. I just had a good talk with that lady with the red hair, Jeannie."
dialogue,Chandler,"Jeannie, the head of east coast operations Jeannie?"
dialogue,Joey,"Yeah, turns out our kids go to the same school. Small world huh?"
dialogue,Chandler,Weird world. Your kids?
dialogue,Joey,I figure my character has kids.
dialogue,Chandler,Ya know there isn't a part of that sentence I don't need explained.
dialogue,Joey,"Well, see when you're acting you need to think about stuff like that. My character, Joseph the processor guy, has two little girls, Ashley and Brittany. Ashley copies everything Brittany does."
dialogue,Chandler,"Well, invisible kids can be that way sometimes."
dialogue,Joey,"Yeah. Joseph and his wife, Karen, are thinking of having a third kid... Ya know what? Just did."
dialogue,Chandler,Really? Wow. That's some pretty powerful imaginary sperm you must have there.
heading,,[Scene: Monica and Rachel's apartment. Phoebe and Ryan are playing Monopoly.]
dialogue,Ryan,You know what makes the itching even worse?
dialogue,Phoebe,That you don't stop talking about it.
dialogue,Ryan,Fine.
dialogue,Phoebe,"Let's just play, ok. Good, ok. (She picks up the dice.) Here we go, double sixes, here we go... (She starts to rub the dice all over herself.) Here we go, come to mama, just getting ready to roll the dice..."
dialogue,Ryan,What're you doing? Are you scratching?
dialogue,Phoebe,"No. This is what I do for luck, ok."
dialogue,Ryan,You're scratching. Give me the dice.
dialogue,Phoebe,No.
dialogue,Ryan,Give me the dice.
dialogue,Phoebe,"No. Here. (Throws them on the table.) There. Ooh, double sixes."
dialogue,Ryan,"We can't scratch. You know we can't, we'll scar."
dialogue,Phoebe,"Uhh, I can't stop thinking about it. It's just so hard. I just wanna grab all these houses and rub 'em all over my body. (Grabs a handful of the houses.)"
dialogue,Ryan,No.
dialogue,Phoebe,Give it.
dialogue,Ryan,No.
dialogue,Phoebe,"Yeah, come on. You know you want it, you know you want it too, come on. Let's just be bad, it'll feel so good. (She starts scratching him.)"
dialogue,Ryan,Oh God help me.
dialogue,Phoebe,"Now do me, do my back. Oh come on, harder."
action,,(They get back to back and start rubbing against each other. Ross and Rachel enter.)
dialogue,Rachel,"Oh, stop that, stop that right now."
dialogue,Ross,"You know, I might have expected this of you Phoebe, but Ryan, you're a military man."
heading,,[Scene: Chandler's office building. Joey and Jeannie are talking.]
dialogue,Joey,"You and Milton have to join us on the boat. Karen'll pack a lunch, you'll bring the kids, we'll make a day of it."
dialogue,Jeannie,"Oh, that sounds lovely. We're gonna have to set that up. Oh, I better get back. Hope the baby feels better."
dialogue,Joey,"Oh, thanks, thanks. Bye bye Jeannie."
dialogue,Jeannie,Bye bye Joey.
dialogue,Joey,What a phony.
dialogue,Chandler,"Well, I'm sure you'll teach her a lesson when she steps off the dock onto nothing. Hey Mr. Douglas."
dialogue,Joey,Sir.
dialogue,Mr. Douglas,"Uh, listen Bing, I received your memo. So, we're not gonna receive the systems report until next Friday?"
dialogue,Chandler,Well the people in my group wanna spend the holiday weekend with their families.
dialogue,Mr. Douglas,"I have a family, I'm gonna be here."
dialogue,Joey,"Yeah Bing, what's that about?"
dialogue,Chandler,"It's about cutting my people a little slack, ya know, for morale. Look, if you wanna see some rough numbers, I can get them to you by Wednesday."
dialogue,Mr. Douglas,Rough numbers?
dialogue,Joey,This company was not built on rough numbers. Am I right Mr. Douglas.
dialogue,Mr. Douglas,Have the final numbers on my desk by Tuesday.
dialogue,Chandler,"Uh, if you say so sir."
dialogue,Joey,"Joseph's good, isn't he?"
dialogue,Chandler,"Well, I'm going to kill you."
dialogue,Joey,"Hey, hey, I just figure Joseph's the kinda guy that likes to mix it up. Ya know, get in there, ruffle some feathers."
dialogue,Chandler,Why?
dialogue,Joey,"Look, I'm sorry but that's what Joseph does, ok. If you try to pull somethin', he'll call you on it. 'What're you tryin' to pull,' he'll say."
heading,,[Scene: Monica and Rachel's apartment. Monica enters her bedroom with a roll of duct tape. Richard is sitting on the bed.]
dialogue,Richard,"Ooh, duct tape. Was I supposed to bring something too?"
dialogue,Monica,This is for the scratchy twins out there. I taped oven mits to their hands.
dialogue,Richard,You're strict.
dialogue,Monica,It's for their own good.
dialogue,Richard,"You know, I like the way you have efficiently folded this tab under. See in a tape emergency you could shave valuable seconds off your time."
dialogue,Monica,"Exactly. Oh, I love that I can be totally neurotic around you now. Tell me the truth. Don't you like it better now that everything on your desk is perpendicular?"
dialogue,Richard,"If it's not a right angle, it is a wrong angle."
dialogue,Monica,Very good.
dialogue,Richard,Thank you.
dialogue,Monica,You know what. Tomorrow I'm gonna do your clocks.
dialogue,Richard,You're gonna do what to my clocks.
dialogue,Monica,I'm gonna set them to my time.
dialogue,Richard,"Well, I'm confused. I thought we shared time."
dialogue,Monica,"No no. See, in my bedroom I set my clock six minutes fast. You wanna know why?"
dialogue,Richard,Because it's in a slightly different time zone than the kitchen.
dialogue,Monica,"No forget it, I'm not gonna tell you now."
dialogue,Richard,No come on. Come on tell me.
dialogue,Monica,No. See you don't understand.
dialogue,Richard,Come on.
dialogue,Monica,No. You don't have any of these cute little obsessive things.
dialogue,Richard,No that's not true. That is not true.
dialogue,Monica,Oh yeah.
dialogue,Richard,Yeah.
dialogue,Monica,"Alright, well tell me one of yours."
dialogue,Richard,"Ok. Ahh. One of my things is, I always separate my sweat socks from my dress socks."
dialogue,Monica,What if they get mixed up?
dialogue,Richard,"Boy I would just uh, I would freak out."
dialogue,Monica,"You would not. I can't believe this. I hate this, you're too normal. I can't believe my boyfriend doesn't have a thing. My boyfriend doesn't have a thing."
dialogue,Richard,"See, if anyone overheard that, I didn't come off well."
heading,,"[Scene: Chandler's office. Chandler is asleep in his chair holding a paper in one hand and a pen in the other. Joey walks in, waking up Chandler who covers by pretending to write on the paper.]"
dialogue,Joey,Hey. Mr. Douglas is looking for you.
dialogue,Chandler,Why? Wh- wh- why is Mr. Douglas looking for me?
dialogue,Joey,'Cause he has a strong suspicion that you dropped the ball on the Lender project.
dialogue,Chandler,"Wha- wh- why, why, why does he suspect that?"
