script_element,character,text
heading,,"[Scene: Central Perk, everyone is there except Joey.]"
dialogue,Monica,Alright. Phoebe?
dialogue,Phoebe,"Okay, okay. If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs!"
dialogue,Ross,"Yeah, see.. you took mine. Chandler, what about you?"
dialogue,Chandler,"Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever."
dialogue,Rachel,"See, there's always one guy. (Mocking) ""If I had a wish, I'd wish for three more wishes."" (Joey enters.)"
dialogue,All,"Hey Joey. Hi. Hey, buddy."
dialogue,Monica,"Hey, Joey, what would you do if you were omnipotent?"
dialogue,Joey,Probably kill myself!
dialogue,Monica,..Excuse me?
dialogue,Joey,"Hey, if Little Joey's dead, then I got no reason to live!"
dialogue,Ross,"Joey, uh- OM nipotent."
dialogue,Joey,"You are ? Ross, I'm sorry.."
action,,Opening Credits
heading,,"[Scene: Central Perk, Ross and Monica are watching Phoebe sleep.]"
dialogue,Monica,How does she do that?
dialogue,Ross,I cannot sleep in a public place.
dialogue,Monica,Would you look at her? She is so peaceful.
dialogue,Phoebe,(waking and startling them) Oh! What what what! ...Hi.
dialogue,Ross,"It's okay, y'know, you just nodded off again."
dialogue,Monica,What's going on with you?
dialogue,Phoebe,I got no sleep last night!
dialogue,Ross,Why?
dialogue,Phoebe,"My grandmother has this new boyfriend, and they're both kind of insecure in bed. Oh, and deaf. So they're constantly, like, having to reassure each other that they're having a good time. You have no idea how loud they are!"
dialogue,Monica,"Well, if you want, you can stay with Rachel and me tonight."
dialogue,Phoebe,Thanks.
action,,(Chandler and Joey enter. Joey is counting his steps.)
dialogue,Joey,"...Ninety-five, ninety-six, ninety-seven. See, I told you! Less than a hundred steps from our place to here."
dialogue,Chandler,You got waaaay too much free time.
dialogue,Joey,"(to Ross) Hey! Here's the birthday boy! Ross, check it out: hockey tickets, Rangers-Penguins, tonight at the Garden, and we're taking you."
dialogue,Chandler,"Happy birthday, pal!"
dialogue,Joey,"We love you, man. (Kisses Ross)"
dialogue,Ross,"Funny, my birthday was seven months ago."
dialogue,Joey,So?
dialogue,Ross,"So, I'm guessing you had an extra ticket and couldn't decide which one of you got to bring a date?"
dialogue,Chandler,"Well, aren't we Mr. ""The glass is half empty."""
dialogue,Ross,"Oh my God, oh- is today the twentieth, October twentieth?"
dialogue,Monica,"Oh, I was hoping you wouldn't remember."
dialogue,Ross,Ohhh.
dialogue,Joey,What's wrong with the twentieth?
dialogue,Chandler,Eleven days before Halloween.. all the good costumes are gone?
dialogue,Ross,"Today's the day Carol and I first.. consummated our physical relationship. (Joey is puzzled.) Sex. ..You know what, I-I'd better pass on the game. I think I'm just gonna go home and think about my ex-wife and her lesbian lover."
dialogue,Joey,"The hell with hockey, let's all do that!"
dialogue,Chandler,"(trying to stop Ross leaving) C'mon, Ross! You, me, Joey, ice, guys' night out, c'mon, whaddya say, big guy, (Pretending to punch him in the stomach.) Huh? Huh? Huh?"
dialogue,Ross,What are you doing?
dialogue,Chandler,(stops) I have no idea.
dialogue,Joey,"C'mon, Ross!"
dialogue,Ross,"Alright, alright, maybe it'll take my mind off it. Do you promise to buy me a big thumb finger?"
dialogue,Chandler,You got it.
action,,(Rachel runs up cluching an envelope.)
dialogue,Rachel,"Look-look-look-look-look, my first pay check! Look at the window, there's my name! Hi, me!"
dialogue,Phoebe,"I remember the day I got my first pay check. There was a cave in in one of the mines, and eight people were killed."
dialogue,Monica,"Wow, you worked in a mine?"
dialogue,Phoebe,"I worked in a Dairy Queen , why?"
dialogue,Rachel,"God, isn't this exciting? I earned this. I wiped tables for it, I steamed milk for it, and it was totally—(opens envelope)—not worth it. Who's FICA? Why's he getting all my money? I mean, what- Chandler, look at that."
dialogue,Chandler,"(looking) Oh, this is not that bad."
dialogue,Joey,"Oh, you're fine, yeah, for a first job."
dialogue,Ross,"You can totally, totally live on this."
dialogue,Monica,"Yeah, yeah."
dialogue,Ross,"Oh, by the way, great service tonight."
dialogue,All,Oh! Yeah!
action,,(They all get their wallets out and give generous tips.)
dialogue,Guys,"Hockey! (They go to leave but are blocked by three of Rachel's friends, Leslie, Kiki, and Joanne. The guys pause to stare at them.) Hockey! Hockey. (The guys.)"
dialogue,Leslie,(looking around) Rachel?
dialogue,Rachel,"Oh my God! (Rachel, Leslie, Kiki, and Joanne all scream and hug each other."
dialogue,Monica,(to Phoebe) I swear I've seen birds do this on Wild Kingdom .
dialogue,Rachel,What are you guys doing here?
dialogue,Kiki,"Well, we were in the city shopping, and your mom said you work here, aaand it's true!"
dialogue,Joanne,Look at you in the apron. You look like you're in a play.
dialogue,Rachel,"(to a pregnant Leslie) Look at you, you are so big I can't believe it!"
dialogue,Leslie,I know. I know! I'm a duplex.
dialogue,Rachel,(to Joanne) So what's going on with you?
dialogue,Joanne,"Well, guess who my dad's making partner in his firm? (She points to herself and they all scream again.)"
dialogue,Kiki,And while we're on the subject of news.. (She holds up here finger to show off her engagement ring and they all scream again.)
dialogue,Phoebe,"(to Monica) Look, look, I have elbows! (They scream.)"
heading,,"[Scene: A Street, Chandler and Joey are kicking a can to each other.]"
dialogue,Chandler,...Poulet passes it up to Leetch! (Passes it to Joey.)
dialogue,Joey,"Leetch spots Messier in the crease- there's the pass! (He kicks it to Ross, but Ross is staring into a shop window.)"
dialogue,Chandler,We'll take a brief time out while Messier stops to look at some women's shoes.
