script_element,character,text
heading,,[Scene: Monica and Chandlers apartment.]
dialogue,Monica,"Hey Hon, could you help me get the plates down?"
dialogue,Chandler,"Yeah. Hey, here's an idea, why don't we use our wedding china today?"
dialogue,Monica,"No, I think we should save our china for something really special. Like if the Queen of England comes over."
dialogue,Chandler,"Honey, she keeps canceling on us, take the hint."
dialogue,Monica,"What if something gets broken, they're so expensive."
dialogue,Chandler,What is the point of having them if we never use them?
dialogue,Monica,"Ok, but if something gets broken, and then the Queen comes over.."
dialogue,Chandler,I will explain it to her.
dialogue,Monica,"(Laughs) Oh yeah, like I'm going to let you talk to the queen."
dialogue,Joey,"Wow, the parade is really good this year. Man those horses can crap."
dialogue,TV announcer,"Next up is a marching band from Muskogee, OK."
dialogue,Chandler,Muskogee! That's like four hours from Tulsa. Woo hoo!
dialogue,TV announcer,And heres the float with the stars of the popular daytime soap Days of Our Lives .
action,,(Joey's eyes become large and he stands up)
dialogue,Joey,Oh my God!
dialogue,Chandler,Aren't you one of the stars of the popular daytime soap Days of Our Lives?
dialogue,Joey,Yeah! I totally forgot I'm supposed to be there. I can't believe I forgot. I usually write stuff like this on my arm.
action,,(Chandler grabs Joey's left arm and pushes the sleeve up)
action,,(Joey looks)
dialogue,Joey,Oh! Stupid long sleeves.
dialogue,Chandler,What are you going to do?
dialogue,Joey,"I guess I'm going to have to come up with a really good reason why I wasn't there. The producers are going to be so mad at me. They sat us all down yesterday and said ""Everyone has to be there at 6:00 AM sharp, that means you Tribbiani."" Like.. like I was some kind of idiot."
dialogue,Chandler,Well you proved them wrong.
dialogue,Joey,(Nods) Yeah
action,,(Chandler nods and his eyes get big like he's saying 'what the hell')
action,,Opening Credits
heading,,[Scene: Ross and Rachels Apartment]
action,,(Ross and Rachel are putting baby stuff together like they're going to be going somewhere.)
dialogue,Rachel,(to Emma) Oh Emma. This is going to be your first Thanksgiving. What are you thankful for? Mommy's bobbies.
dialogue,Ross,A lot of people are thankful for those.
action,,(knock on door)
dialogue,Woman at door,Hello? Rachel?
dialogue,Rachel,Who is it?
dialogue,Woman at door,It's your favorite sister.
dialogue,Ross and Rachel,(While looking at each other surprised and shocked) Jill?
dialogue,Woman at door,(In a sing song voice) Amy.
dialogue,Rachel,Hide my rings.
action,,(Ross goes into Rachel's room)
dialogue,Rachel,Oh. (opens door preparing herself and then happily says)
dialogue,Rachel,Amy! Happy Thanksgiving.
dialogue,Amy,Do you have a hair straightener?
dialogue,Rachel,Um... hi.
dialogue,Amy,Oh... hi.. (goes to Rachel with open arms)
dialogue,Rachel,Aw.
action,,(Amy grabs her arms)
dialogue,Amy,Hair Straightener?
dialogue,Rachel,I haven't seen you in like.. a year.
dialogue,Amy,"Oh, I know, I know. I've just been crazed."
dialogue,Rachel,Oh well yeah me too. Um.. I had a baby.
dialogue,Amy,I decorated Dad's office.
dialogue,Rachel,"Oh.. yeah? Well unless you pushed a desk out of your vagina, (shakes head no) not the same thing."
dialogue,Amy,"Listen, um about the hair straightener, honey.. I really need one. I'm going to have dinner at my boyfriend's house."
action,,(Amy bending over fiddling with her purse when Emma cries and she hears Emma)
dialogue,Amy,Oh my God!
dialogue,Rachel,Mh hmm..
dialogue,Amy,Is this Emmett? (pointing to EMMA)
dialogue,Rachel,Uh.... its Emma.
dialogue,Amy,Its a girl?
action,,(Ross comes out of the bedrooms)
dialogue,Ross,Hey Amy.
dialogue,Rachel,"Oh Amy, you remember Ross."
dialogue,Amy,Not really. But you are much cuter then that geeky guy she used to date.
dialogue,Ross,That was me.
dialogue,Amy,"No, he was this creepy guy from high school who had this huge crush on her since like the ninth grade."
dialogue,Ross,(With a look of wondering how long this is going to go on on his face) Still me
dialogue,Amy,"No, I'm not talking about you. (to Rachel) It was your fat friends brother with that bad afro, do you remember?"
dialogue,Ross,"(Starts talking over her 'do you remember' line) Amy. I'm going to save you some time, ok. (spins finger around in circle) All me."
heading,,[Scene: Monica and Chandler's Apartment]
action,,(Joey is walking around looking worried.)
dialogue,Monica,Careful. (hands Chandler a china plate) Careful. CAREFUL!
action,,(Chandler is startled and nearly drops the plates.) Sorry.
dialogue,Chandler,"I'll tell you what, for the rest of our lives, I'll be careful until told otherwise. (looks at china) hey wait a minute this isn't the china we picked out.."
dialogue,Monica,"I know, after you left the store, I chose different ones."
dialogue,Chandler,Why?
dialogue,Monica,"Well no offense honey, but your taste is a little feminine for me."
dialogue,Chandler,"Oh suddenly, flowers are feminine?"
action,,(Phoebe comes in)
dialogue,Phoebe,"Hey, everybody. Happy Thanksgiving!"
dialogue,Joey,Hey happy Thanksgiving.. Pheebs! (motions her to come over)
dialogue,Phoebe,"Hey, what's going on Joe?"
dialogue,Joey,I.. I.. I need a good lie.
dialogue,Phoebe,"Oh okay. How about the whole ""man walking on the moon"" thing. You know? You. you could. You could see the strings people!"
dialogue,Joey,"No, no, no I need a good lie to explain why I wasn't at a work thing today."
dialogue,Phoebe,"Ooh, honey. You stink at lying."
dialogue,Joey,I do not.
dialogue,Phoebe,"Oh really. Okay. let me ask you something. Yesterday at the coffee house, I went to the bathroom and when I came back, my muffin was gone-who took it?"
dialogue,Joey,"Somebody opened the door to the coffee house and a raccoon came running in, went straight for your muffin and I said ""Hey don't eat that-that's Phoebe's"" and he said.. (pause) He said.. ""Joey you stink at lying."" What am I going to do?"
dialogue,Phoebe,"Don't worry, don't worry. We'll come up with a good lie. I'll help you practice it."
dialogue,Joey,"Oh great, that'd be great. Thank you."
dialogue,Phoebe,"Sure, what.. what was the work thing?"
dialogue,Joey,"Uh.. (forgetting what the work thing was, rolls up his sleeve on his right arm and shows Phoebe, she looks)"
dialogue,Phoebe,"""Pick up grandma at the airport""?"
dialogue,Joey,Oh.. man..
heading,,[Scene: Ross and Rachel's Apartment]
dialogue,Amy,(With straight hair) Oh she's precious. Do you ever worry she's going to get your real nose?
dialogue,Rachel,Amy! (pause) Yes I do.. I really do. (grabs Ross' hand for support)
action,,(Amy's cell phone rings)
dialogue,Amy,"Hello? Yeah, um. Hang on one sec. (to Ross and Rachel) Can I take this upstairs?"
dialogue,Ross,"Sure, we don't live there but..."
dialogue,Amy,Seriously? Its.. its just these rooms? (moves hands around motioning 'just these rooms') (To Ross) I thought you were a doctor.
dialogue,Rachel,"Yeah, no. Ross has a PhD."
dialogue,Amy,"Ew. (walks into Rachel's room, I'm guessing)"
dialogue,Rachel,God she is unbelievable.
dialogue,Ross,"I know, I mean a PhD is just as good as an MD."
dialogue,Rachel,"Oh sure Ross, yeah. If I have a heart attack in a restaurant, I want you there with your fossil brush."
dialogue,Amy,(Storms out) Stupid Thanksgiving.
dialogue,Rachel,What? What happened?
dialogue,Amy,"My boyfriend canceled on me. I mean.. I I finally find a real relationship. I mean, someone that I can spend this day with and then his wife comes back into town. I swear, its almost not worth dating married guys."
dialogue,Ross,Don't say that.
dialogue,Amy,Oh. I was so looking forward to this. It was going to be such a beautiful Thanksgiving. We were going to have sushi.
dialogue,Rachel,"Oh Amy, don't cry Amy. Um.. Ross, could I talk to you in private?"
dialogue,Ross,"Sure, you want to go upstairs?"
action,,(Ross and Rachel go in the kitchen)
dialogue,Rachel,Um look I was thinking.. If its ok with Monica I would like to invite Amy to Thanksgiving.
dialogue,Ross,"You know, I think thats a great idea. It'll be like the pilgrims bringing the Indians syphilis."
dialogue,Rachel,"Look I know she's a little tough to take. She has no where else to go, and she's my sister. Alright, she's Emma's aunt. And I would like them to bond."
dialogue,Ross,"Ok, fine, but I don't want them bonding to much. I don't want her telling Emma she needs a nose job."
dialogue,Rachel,"Ross, you know what? She may need one..We're just going to have to make our peace with that!"
action,,(Rachel grabs Ross' hand for support and starts to cry a little)
heading,,[Scene: Monica and Chandler's apartment]
