script_element,character,text
heading,,"[Scene: Central Perk, Joey, Chandler, Monica, and Phoebe are there. Joey is holding a deck of cards out to Chandler.]"
dialogue,Joey,"Okay, pick a card."
dialogue,Chandler,Okay. (He picks the 9 of Spades)
dialogue,Joey,"All right now, memorize it. (Pause) You got it?"
dialogue,Chandler,Oh yes.
dialogue,Joey,(holding up the Queen of Clubs) Is that your card? (He winks and smiles.)
dialogue,Chandler,(pause) Yes.
action,,(Joey laughs then realizes the trick didn't work when Chandler hands him his card back.)
dialogue,Carol,(entering with Ben and Ross) Hey guys!
dialogue,Ross,Hi!
dialogue,Chandler,Hi there!
dialogue,Ben,Hi!!
dialogue,Carol,Guess what? Ben is going to be in a TV commercial!
dialogue,Phoebe,What are you talking about?!
dialogue,Ross,"(sets Ben down) Well, it's not for sure but umm, we met this guy in the park who thought Ben was really cute--y'know, which he is--so umm anyhoo, he uh, he gave us his card and told us to bring him down for this commercial he's auditioning."
dialogue,Joey,"(reading the card) Whoa! This guy is like the biggest commercial casting director in town! (Ross gasps) Ben takes one lousy walk in the park and gets an audition!! (Ross and Carol stare at him, then Joey realizes what he just said.) I mean, way to go Ben! (Gives Ben the thumbs up, which Ben returns.) Man! I've been in that park a million times and no one offered me an audition."
dialogue,Ross,"I know, it's crazy! We were just pushing Ben on the swings…"
dialogue,Joey,I'm always on the swings! What am I doing wrong?!
dialogue,Chandler,That.
action,,Opening Credits
heading,,"[Scene: Monica and Rachel's, everyone is eating breakfast, Ross is heading for the bathroom.]"
dialogue,Rachel,"(entering from her room) Okay, gotta go! Wish me luck!"
dialogue,Joey,Luck!
dialogue,Chandler,"Hey Rach, now that you're working at Ralph Lauren , can you bring me back some of those polo shirts?"
dialogue,Rachel,"Uh well, y'know what? I don't think if I feel comfortable stealing on my very first day…"
dialogue,Chandler,"Unwilling to steal from work, interesting."
dialogue,Monica,"Besides, if anybody's gonna get free stuff, it's gonna be me."
dialogue,Rachel,"Okay guys, way to wish me luck!"
dialogue,All,Good luck! Go get 'em! (Rachel exits.)
dialogue,Phoebe,"Okay, let's discuss Rachel's birthday. I say we throw a surprise party this weekend."
dialogue,Joey,"Whoa-whoa, but her birthday isn't like for another month."
dialogue,Phoebe,"Yeah but if we throw her a party on her birthday, then it's not a surprise."
dialogue,Monica,"I think it's a great idea. Yeah, we could have a dinner party and just invite her close friends."
dialogue,Joey,Ross!! We're having a surprise party for Rachel!!
dialogue,Ross,(from the bathroom) Okay!!
dialogue,Joey,Done.
dialogue,Phoebe,"Okay, great so do you want to do it together?"
