script_element,character,text
heading,,"[Scene: Central Perk, Ross is eyeing a beautiful woman at the counter, and Joey and Chandler are egging him on to go talk to her. No pun intended. I mean it.]"
dialogue,Joey,"I'm tellin' you Ross, she wants you."
dialogue,Ross,She barely knows me. We just live in the same building.
dialogue,Chandler,Any contact?
dialogue,Ross,She lent me an egg once.
dialogue,Joey,You're in!
dialogue,Ross,"Aw, right."
dialogue,Woman,"Hi, Ross."
dialogue,Ross,Hey. (stutters something incoherent)
dialogue,Chandler,"Come on, Ross, you gotta get back in the game here, ok? The Rachel thing's not happening, your ex-wife is a lesbian—I don't think we need a third..."
dialogue,Joey,"Excuse me, could we get an egg over here, still in the shell? Thanks."
dialogue,Ross,An egg?
dialogue,Joey,"Yeah, you're gonna go up to her and say, ""Here's your egg back, I'm returning your egg."""
dialogue,Chandler,I think it's winning.
dialogue,Ross,I think it's insane.
dialogue,Chandler,"She'll love it. Go with the egg, my friend."
action,,"(Ross walks over to the woman, egg in hand.)"
dialogue,Joey,Think it'll work?
dialogue,Chandler,"No, it's suicide. The man's got an egg."
action,,Opening Credits
heading,,"[Scene: Central Perk, Monica, Rachel, Phoebe, Joey, Chandler are there. Ross is still talking to the beautiful woman.]"
dialogue,Monica,You can not do this.
dialogue,Rachel,"Do what, do what?"
dialogue,Monica,Roger wants to take her out tomorrow night.
dialogue,Rachel,No! Phoebes! Don't you remember why you dumped the guy?
dialogue,Phoebe,"'Cause he was creepy, and mean, and a little frightening... alright, still, it's nice to have a date on Valentine's Day!"
dialogue,Monica,"But Phoebe, you can go out with a creepy guy any night of the year. I know I do."
dialogue,Rachel,"Well, what are you guys doing tomorrow night?"
dialogue,Joey,"Actually, tomorrow night kinda depends on how tonight goes."
dialogue,Chandler,"Oh, uh, listen, about tonight..."
dialogue,Joey,"No, no, no, don't you dare bail on me. The only reason she's goin' out with me is because I said I could bring a friend for her friend."
dialogue,Chandler,"Yes, I know, but her friend sounds like such a..."
dialogue,Joey,"Pathetic mess? I know, but—come on, man, she's needy, she's vulnerable. I'm thinkin', cha-ching! (Rachel throws a roll at Joey. He picks it up and eats it.) Thanks. Look, you have not been out with a woman since Janice. You're doin' this."
dialogue,Ross,Hi. She said yes.
dialogue,Chandler,"Yes! Way to go, man! (Chandler and Ross hug. Something crunches in Ross' shirt pocket.) Still got the egg, huh?"
heading,,"[Scene: A Restaurant, Joey and Chandler are there, waiting for their dates to show up.]"
dialogue,Joey,(Looking at himself in the reflection on a knife) How do I look?
dialogue,Chandler,"Oh, uh, I... don't... care. (Joey's date shows up) Ok, now, remember, no trading. You get the pretty one, I get the mess."
dialogue,Lorraine,"Hi, Joey. Well well, look what you brought. Very nice."
dialogue,Chandler,...And what did you bring?
dialogue,Lorraine,"She's checking the coats. Joey, I'm gonna go wash the cab smell off my hands. Will you get me a white Zinfandel, and a glass of red for Janice."
dialogue,Chandler,Janice?
action,,"(Lorraine leaves. Joey shakes his head as though to say, 'It can't be the same Janice.' Janice enters.)"
dialogue,Janice,Oh.... my.... God.
dialogue,Chandler,"(angrily) Hey, it's Janice."
heading,,"[Scene: The bathroom at the restaurant, Chandler and Joey are talking.]"
dialogue,Chandler,"Ok, I'm makin' a break for it, I'm goin' out the window."
dialogue,Joey,"No, no, no, don't! I've been waitin' for like, forever to go out with Lorraine. Just calm down."
dialogue,Chandler,Calm down? Calm down? You set me up with the woman that I've dumped twice in the last five months!
dialogue,Joey,"(at the urinal) Can you stop yellin'? You're makin' me nervous, and I can't go when I'm nervous."
dialogue,Chandler,"I'm sorry, I'm sorry, you're right. (gets up right behind Joey and yells in his ear) Come on, do it, do it, go, come on!!!"
heading,,"[Scene: Monica and Rachel's, the girls are all there, discussing their bad luck with men.]"
dialogue,Rachel,"Ok, ok, Roger was creepy, but he was nothing compared to Pete Carney."
dialogue,Monica,Which one was Pete Carney?
dialogue,Rachel,"Pete the Weeper? Remember that guy who used to cry every time we had sex. (imitating) ""Was it good for you?"""
dialogue,Monica,"Yeah, well, I'll take a little crying any day over Howard-the-""I-win""-guy. (imitating) ""I win! I win!"" I went out with the guy for two months—I didn't get to win once."
