script_element,character,text
heading,,"[Scene: Monica and Rachel's, the entire gang is there, eating breakfast. Phoebe is on the couch, fidgeting.]"
dialogue,Phoebe,What am I sitting on?
dialogue,Chandler,Top of the world? Dock of the bay? (He tries to think of another but can't) I'm out.
dialogue,Phoebe,(taking something out of the couch) Ew-eww!! Undies!
action,,(She throws them into the kitchen and Rachel picks them up with the handle of a large spoon. Chandler and Monica have horrified looks on their faces.)
dialogue,Rachel,All right! Who's are they? Who's are they?
dialogue,Ross,"Well, they're not mine!"
dialogue,Chandler,"Well, they're Joey's! They gotta be Joey's!"
action,,(Rachel turns and stares at him.)
dialogue,Joey,"Yeah, they're mine."
dialogue,Chandler,See? They're Joey's! J-J-J-J-J-Joey's!
dialogue,Ross,Why are they here?
dialogue,Joey,"I don't know uhh… (Pause as he thinks about it.) Well, I'm Joey. Yeah, I'm disgusting, I take my underwear off in other people's homes."
dialogue,Rachel,"Well, get 'em out of here! What's wrong with you?"
dialogue,Chandler,Yeah!
dialogue,Monica,Yeah!
dialogue,Rachel,"(waving them in his face) Take 'em! (Joey makes a noise and jumps out of the way.) Joey, you can touch them! They're your underwear."
dialogue,Joey,(reluctantly taking them) Chandler? A word.
action,,(Follows Joey into their apartment and shrugs on his way out.)
action,,[Cut to the guy's apartment.]
dialogue,Joey,"That's it! I'm tired of covering for you two! This has got to stop! (Realizes he still has the underwear in his hand.) Ahh! (Throws them towards Chandler's room.) And tighty-whiteys! What are you, 8?"
dialogue,Monica,"(entering) Thank you Joey, thank you so much!"
dialogue,Joey,"Oh hey, no, you're not welcome. Okay, look, I hate this! You guys keep embarrassing me! (To Monica) Yesterday, Rachel found your razor in our bathroom and I didn't know what to say, so I said it was mine and-and that I was playing a woman in a play. And one thing led to another and (He puts his leg on the chair and pulls up his pants leg to reveal that he now has shaved legs.)"
dialogue,Monica,"(inspecting his leg) Wow! And around the ankles, y'know that is a tough spot."
dialogue,Joey,"Yeah, it was! All right, listen, I can't…"
dialogue,Chandler,(interrupting him) All this lying has been hard on us too.
dialogue,Joey,"Oh-oh, yeah-yeah, I bet all the sex makes it easier!"
dialogue,Chandler,"Well, yeah actually."
dialogue,Monica,"We'll try to be more careful okay? It's just that, we don't want everyone to know because this is going really well, and maybe the reason it's going really well is because it's a secret."
dialogue,Chandler,"I know it sounds really weird, but we're just so bad at relationships."
dialogue,Monica,We are! Help us!
dialogue,Chandler,Help!
dialogue,Joey,"All right! But, (To Monica) you do it with me once."
dialogue,Monica,Joey!
dialogue,Joey,Didn't think so.
action,,Opening Credits
heading,,"[Scene: Central Perk, Joey, Chandler, Monica, and Rachel are there as Phoebe enters with her nose stuck in a book.]"
dialogue,Monica,"Hey, Phoebe!"
dialogue,Chandler,"Hi, Pheebs!"
dialogue,Rachel,"Hey, Pheebs!"
dialogue,Joey,"Hey, Pheebs!"
dialogue,Rachel,What are you reading?
dialogue,Phoebe,"Umm, Wethering Heights . I'm taking a literature class at the New School and I have to finish it for the first session tomorrow."
dialogue,Chandler,I didn't know you were taking a class. That is so cool.
dialogue,Phoebe,"Yeah! Well, I really liked that Lamaze class I took! Y'know and this time I thought I'd go for something, y'know a little more intellectual, with a less painful final exam."
dialogue,Rachel,Honey that sounds like fun.
dialogue,Phoebe,"Yeah! Ooh, you should come with me! Oh yeah, then I'd have someone to sit with!"
dialogue,Rachel,Okay.
dialogue,Phoebe,"Yeah! Okay—ooh, but are you going to have time to read it?"
dialogue,Rachel,"Oh, I read that in high school."
dialogue,Phoebe,"This is going to be so much fun! Okay-shhh, I have to finish."
dialogue,Ross,"(entering, depressed) Hi."
dialogue,Joey,What's wrong buddy?
dialogue,Ross,Someone at work ate my sandwich!
dialogue,Chandler,"Well, what did the police say?"
dialogue,Ross,My Thanksgiving leftover sandwich. I can't believe someone ate it!
dialogue,Chandler,"Ross, it's just a sandwich!"
dialogue,Ross,"Just a sandwich? Look, I am 30 years old, I'm about to be divorced twice and I just got evicted! That sandwich was the only good thing going on in my life! Someone ate the only good thing going on in my life!"
