script_element,character,text
dialogue,Joey,"(lying on a beach towel, recapping what happened in the last episode) Okay, so we went to the beach, because Phoebe found out about this lady who knew her mom and dad, and I don’t really know what happened with that."
action,,"[cut to Phoebe Sr.’s house, from the last episode]"
dialogue,Phoebe Sr.,(to Phoebe) I’m your mother.
dialogue,Phoebe,Ehh?
action,,"[cut to Monica opening the door of the beach house, with Chandler trying to pick her up for a date.]"
dialogue,Joey,"<voiceover>Oh, and then Monica joked that she wouldn’t go out with a guy like Chandler...<\voiceover>"
dialogue,Chandler,(to Monica) (in a funny voice) Hi there. (Monica turns her head away in disgust)
dialogue,Joey,"<voiceover>...and he couldn’t let it go, and... I don’t really know what happened with that either.<\voiceover>"
action,,"[cut to a montage of scenes involving Bonnie, Ross, and Rachel from the last episode.]"
dialogue,Joey,"<voiceover>Oh-oh! And then Ross’s new girlfriend, Bonnie, shows up and Rachel convinced her to save her head. And then Ross and Rachel kiss, and now Ross has to choose between Rachel and the bald girl and I don’t know what happened there either...<\voiceover>"
action,,[cut back to Joey on the beach towel]
dialogue,Joey,"Y'know what, hold on, let me go get Chandler. (gets up and leaves.)"
heading,,"[Scene: The beach house, it’s the same scene from the end of last year, with Ross in front of the two doors of Rachel’s and Bonnie’s rooms, trying to decide which door to choose. He finally chooses the one his right and goes in.]"
dialogue,Ross,(surprised) Hi!
dialogue,Rachel and Bonnie,Hi!
dialogue,Bonnie,Rachel was just helping me out. My head got all sunburned.
dialogue,Ross,Awww.
dialogue,Bonnie,(to Rachel) Thanks a million.
dialogue,Rachel,"Oh, you’re welcome a million."
dialogue,Bonnie,"(getting up and leaving) (to Ross) Okay, I’ll see you in our room."
dialogue,Ross,"Yeah. (closes the door, and goes over and kisses Rachel.)"
dialogue,Rachel,(softly) Oh my God.
dialogue,Ross,I know.
action,,(They both kiss again and fall onto the bed.)
dialogue,Ross,"(stopping suddenly and getting up) Okay, I gotta go."
dialogue,Rachel,Whoa! What?! Why?!
dialogue,Ross,"Well, I-I gotta go break up with Bonnie."
dialogue,Rachel,Here?! Now?!
dialogue,Ross,"Well, yeah. I can’t-I can’t stay here all night, and if I go in there she’s-she’s gonna wanna... do stuff."
dialogue,Rachel,"Well, can’t you tell her that you are not in the mood?"
dialogue,Ross,"No, she likes that. Yeah. Faking sleep doesn’t work either, I can’t tell you how many mornings I woke up with her..."
dialogue,Rachel,(interrupting) Whoa-ho.
dialogue,Ross,"Whoa-oh, okay! Yeah, why am I telling you that?"
dialogue,Rachel,I don’t know.
action,,(they kiss again)
dialogue,Ross,"Yeah, yeah. (opens the door) It wasn’t every morning."
dialogue,Rachel,"Oh, making it worse!"
dialogue,Ross,Okay.
action,,Opening Credits
heading,,"[Scene: Phoebe Sr.’s house, it’s right after she told Phoebe that she’s her birth mother.]"
dialogue,Phoebe Sr.,So I guess you’d like to know how it all happened.
dialogue,Phoebe,"I-I mean I, well I think I can figure it out. I guess y'know I was born, and everyone started lying their asses off!"
dialogue,Phoebe Sr.,"Noo! No! It wasn’t like that I... Remember how I told you how Lily, Frank, and I we were, we were close. Well, we were, we were very close."
dialogue,Phoebe,How close?
dialogue,Phoebe Sr.,"Well, the-the three of us we were, kind of umm, a couple."
dialogue,Phoebe,I don’t even know how that would work!
dialogue,Phoebe Sr.,"Well, we were..."
dialogue,Phoebe,(interrupting) I’m not asking!
dialogue,Phoebe Sr.,"Well, any how, some how I got pregnant, and, and I was scared. I was stupid and sellfish, and I was 18 years old. I mean, you remember what it’s like to be eighteen years old?"
dialogue,Phoebe,"Yeah. Let’s see, my had Mom killed herself, and my Dad had run off, and I was living in a Gremlin with a guy named Cindy who talked to his hand."
dialogue,Phoebe Sr.,"Well, I’m so sorry. I thought I was leaving you with the best parents in the world, I didn’t even hear about your Mom and Dad til a couple of years ago, and by then you were already grown up. I don’t know, you’re here, and I would, I would really, I would like to get to know you."
dialogue,Phoebe,"Yeah, well, everybody does! I’m a really cool person. And y'know you had 29 years to find that out, but you didn’t even try! Y'know what, you walked out on me, and I’m just, I’m gonna do the same thing to you."
dialogue,Phoebe Sr.,Wait!
dialogue,Phoebe,I don’t ever want to see you again!
action,,(She walks out and slams the door.)
dialogue,Phoebe,"(walking back in with her hand over her eyes.) Umm, where’s my purse?"
heading,,"[Scene: The beach house, Joey and Chandler are sitting at the dinner table, Monica is looking in the fridge.]"
dialogue,Monica,(closing the fridge in disgust) Shoot! We’re out of soda.
dialogue,Chandler,"(jumping up) Oh, I’ll go out and get you some."
dialogue,Monica,Really?!
dialogue,Chandler,"Nope! Because I’m not your boyfriend. (to Phoebe, who’s entering) Hey Pheebs, how did it go?"
dialogue,Phoebe,"Well, umm, my Mom’s friend, Phoebe, is actually my birth Mom."
action,,(The gang is shocked.)
dialogue,Chandler,I found a dried up seashores.
dialogue,Monica,"Sweety, what are you talking about?"
dialogue,Phoebe,"Oh, my new Mom, who-who’s a big, fat abandoner! (starts to go upstairs)"
dialogue,Joey,"Whoa, wait, Pheebs, wait a second! Don’t you wanna stay here and talk about it?"
dialogue,Phoebe,"No. I’m just, I wanna, I need to be alone."
action,,(She starts to go upstairs.)
dialogue,Phoebe,"(turning around, insistently) Monica!"
dialogue,Monica,Oh.
heading,,"[Scene: The beach house, Rachel’s bedroom. She is finishing up writing something as Ross walks through the door.]"
dialogue,Ross,It’s over.
dialogue,Rachel,"Oh, was it awful?"
dialogue,Ross,"Well, it was loong. I didn’t even realise how late it was, until I noticed the 5 o’clock shadow on her head. (They both start to laugh, then stop themselves quickly.) Anyway, she didn’t want to stay. I called a cab; she just left."
action,,(They kiss.)
dialogue,Rachel,I wrote you a letter.
dialogue,Ross,"Ohh! Thank you! I like mail. (He goes to kiss her again, but she turns away.)"
dialogue,Rachel,"(handing him the letter) It’s just some things I’ve been thinking about. Some things about us, and before we can even think about the two of us getting back together, I just need to know how you feel about this stuff."
dialogue,Ross,"Okay. (He leans in to kiss her again, but she leans back preventing him from making contact.) Wow, it’s-it’s 5:30 in the morning. (Rachel laughs) So, I’d better get cracking on this baby."
dialogue,Rachel,"Well, I’ll be waiting for you, just come up when you’re done."
dialogue,Ross,"Okay, I’ll be up in, (looks at the letter) 18 pages. Front and back. Very exciting."
heading,,"[Scene: The beach house, the next morning. Ross is passed out on the kitchen counter. He wakes up with a start and has one of the pages of the letter stuck to his face.]"
dialogue,Ross,Oh. (looks at his watch) Oh-oh. (takes a drink of coffee and resumes reading the letter)
dialogue,Rachel,"(coming down the stairs) Hey! (Ross jumps up, and quickly puts the letter back together, pretending like he has just finished it.) What happened to you? Why didn’t you come up?"
dialogue,Ross,Done!
dialogue,Rachel,You just finished?
dialogue,Ross,"Well, I wanted to be thorough. I mean this-this is clearly very, very important to you, to us! And so I wanted to read every word carefully, twice!"
dialogue,Rachel,"So umm, does it?"
dialogue,Ross,I’m sorry.
dialogue,Rachel,Does it?
dialogue,Ross,"Does it? Does it? Yeah, I wanted to give that whole ‘Does it?’ part just another glance."
dialogue,Rachel,"What are you talking about, Ross, you just said that you read it twice! Look, y'know what, either it does or it doesn’t, and if you have to even think about it..."
dialogue,Ross,"(interrupting) No, Rach, no. I don’t, I don’t, I don’t have to think about it, in fact, I’ve decided, I’ve decided that, that it.......does."
action,,"(Rachel stands there for a moment, starting to cry. Then gasps and runs over and hugs him. While hugging her, Ross tries to find the ‘Does it?’ part in the letter.)"
dialogue,Rachel,Are you sure?
dialogue,Ross,"Oh, sure! I’m sure."
