script_element,character,text
heading,,"[Scene: Monica and Rachel's, everyone has just finished Thanksgiving dinner and are groaning over their fullness.]"
dialogue,Rachel,Oh Monica that was the best Thanksgiving dinner ever! I think you killed us.
dialogue,Ross,I couldn't possibly eat another bite.
dialogue,Joey,I need something sweet.
dialogue,Phoebe,Does anyone wanna watch TV?
dialogue,All,"Yeah, sure."
action,,"(She starts pushing the power button on the remote, but it's not facing the TV so it doesn't work.)"
dialogue,Phoebe,Monica your remote doesn't work.
dialogue,Monica,"Phoebe, you have to lift it and point."
dialogue,Phoebe,"Oh. Aw, forget it."
dialogue,Rachel,"Yeah, you know what we should all do? We should play that game where everyone says one thing that they're thankful for."
dialogue,Joey,"Ooh-ooh, I! I am thankful for this beautiful fall we've been having."
dialogue,Monica,That's very nice.
dialogue,Chandler,"That's sweet, Joey."
dialogue,Joey,"Yeah, the other day I was at the bus-stop and this lovely fall breeze came in out of nowhere and blew this chick's skirt right up. Oh! Which reminds me, I'm also thankful for thongs. (Note: Actually, I think every guy is thankful for thongs. That and spandex. J )"
action,,Opening Credits
heading,,"[Scene: Monica and Rachel's, continued from earlier. Joey is talking about the wonder that is the thong.]"
dialogue,Joey,"I mean, it's not so much an underpant as it is a feat of engineering. I mean, it's amazing how much they can do with so little material! And the way they play with your mind! Is it there? Is it not there?"
dialogue,Chandler,Are you aware that you're still talking?
dialogue,Monica,Is anyone thankful for anything else besides a thong?
dialogue,Ross,"Huh, I don't know what to pick. Am I more thankful for my divorce or my eviction? Hmm."
dialogue,Phoebe,"Wow! See, and I didn't think you'd be able to come up with anything."
dialogue,Ross,I'm sorry. It's just that this is the worse Thanksgiving ever.
dialogue,Chandler,No-no-no! I am the king of bad Thanksgivings. You can't just swoop in here with your bad marriage and take that away from me.
dialogue,Rachel,"Oh, you're not gonna tell the whole story about how your parents got divorced again are you?"
dialogue,Ross,"Oh God, no."
dialogue,Joey,"Oh, come on! I wanna hear it! It wouldn't be Thanksgiving without Chandler bumming us out!"
dialogue,Chandler,"It's a tradition, like the parade. If the parade decided it was gay, moved out, and abandoned its entire family."
action,,"(And with that, we start a series of flashbacks to Thanksgiving's of years gone by.)"
action,,Thanksgiving 1978
heading,,"[Scene: The Bing household, Mr. and Mrs. Bing and Young Chandler are eating Thanksgiving dinner as a housekeeper serves them.]"
dialogue,Mrs. Bing,"Now Chandler dear, just because your father and I are getting a divorce it doesn't mean we don't love you. It just means he would rather sleep with the house-boy than me."
dialogue,The Housekeeper,More turkey Mr. Chandler? (And he makes eyes at him.)
action,,Present Day
heading,,"[Scene: Monica and Rachel's, continued from earlier.]"
dialogue,Ross,You're right. Yours is worse. You are the king of bad Thanksgivings.
dialogue,Phoebe,I don't know about that. I've got one that's worse.
dialogue,Chandler,"Really? Worse than, ""More turkey Mr. Chandler?"""
dialogue,Phoebe,"Oh, did the little rich boy have a problem with the butler? Yes, mine's worse!"
action,,Thanksgiving 1862
heading,,"[Scene: A Union battlefield hospital, Phoebe, in a past life, is tending to a wounded Union soldier. (By the way, for historical perspective, 1862 was the second year of the American Civil War.)]"
dialogue,Past Life Phoebe,"More bandages! More bandages! Please, can I get some more bandages in here! This man is dying—(She is cut off by an exploding shell just outside the tent. When the smoke clears, she's missing an arm and the blood is pumping out like you'd see in a horror movie. And upon seeing her condition, she says…) Oh no."
action,,Present Day
heading,,"[Scene: Monica and Rachel's, continued from earlier.]"
dialogue,Ross,"In this life, Phoebe."
dialogue,Phoebe,"Oh, this life! Oh okay no, Chandler's is worse."
dialogue,Joey,"Man, it must be so cool remembering stuff like that! I don't have any past life memories."
dialogue,Phoebe,Of course you don't sweetie. You're brand new.
dialogue,Rachel,I know Monica's worst Thanksgiving.
dialogue,Monica,"Oh, let's not tell this story."
dialogue,All,"Oh, come on!"
dialogue,Phoebe,"Oh no, I know! I know! It's the one where Joey got Monica's turkey stuck on his head!"
dialogue,Rachel,What?! Joey got a turkey stuck on his head?!
dialogue,Joey,"Hey, it's not like it sounds."
dialogue,Chandler,It's exactly like it sounds.
action,,Thanksgiving 1992
heading,,"[Scene: Monica and Phoebe's, Phoebe is entering.]"
dialogue,Joey,(muffled) Hello?
dialogue,Phoebe,(surprised) Hello?
dialogue,Joey,Phoebe?
dialogue,Phoebe,Joey? What's going on?
dialogue,Joey,Look. (He walks out of the bathroom with his head stuck in a huge turkey.)
dialogue,Phoebe,Oh my God!
dialogue,Joey,I know! It's stuck!!!
dialogue,Phoebe,(walks him to the kitchen) Easy. Step. How did it get on?
dialogue,Joey,I put it on to scare Chandler!
dialogue,Phoebe,Oh my God! Monica's gonna totally freak out!
dialogue,Joey,"Well then help me get it off! Plus, it smells really bad in here."
dialogue,Phoebe,"Well, of course it smells really bad. You have your head up a dead animal."
action,,(They hear Monica trying to unlock the door. So Phoebe quickly pushes his head down onto the table to make it look like the turkey is just sitting on a platter and not stuck on Joey's head.)
dialogue,Monica,(entering) Hey!
dialogue,Phoebe,Hey!
dialogue,Monica,"Hey, did you get the turkey basted—Oh my God! Oh my God! (She sees someone is stuck in the turkey.) Who is that?"
dialogue,Joey,It's Joey.
dialogue,Monica,What-what are you doing? Is this supposed to be funny?
dialogue,Phoebe,"No, it's not supposed to be funny, it's supposed to be scary."
dialogue,Monica,"Well, get it off now!"
dialogue,Joey,I can't! It-it's stuck!
dialogue,Monica,"Well, I don't care! That-that turkey has to feed 20 people at my parent's house and they're not gonna eat it off your head!"
dialogue,Phoebe,"All right, hold on! Okay, let's just all think."
action,,"(They all start thinking. Joey starts rubbing his chin, of course his chin is currently inside the turkey so he ends up rubbing the turkey. And I didn't do that joke one bit of justice. It's one of those you have to see it to get it jokes.)"
dialogue,Monica,"Okay, I got it. Phoebe? All right, you pull. I'm gonna spread the legs as wide as I can. (Joey starts giggling.) Joey? Now is not the time!"
dialogue,Joey,Sorry! Sorry.
action,,(They get into position to pull the turkey off.)
dialogue,Monica,"Okay, count to three. 1. 2. 3!"
action,,"(They both pull but Joey slips out and starts to fall backwards just as Chandler enters, scaring him.)"
dialogue,Chandler,"Arghhhhhh!! (Joey turns around to taunt him, but Chandler is in the doorway and Joey is facing the kitchen.)"
dialogue,Joey,"(pointing) It worked! I scared ya, I knew it! Ha-ha!"
dialogue,Chandler,I'm over here big guy.
dialogue,Joey,"(turning all the way around, and still not facing Chandler) Yeah, you are! (Starts dancing.) I scared you!"
action,,Present Day
heading,,"[Scene: Monica and Rachel's, continued from earlier.]"
dialogue,Chandler,(laughing) You did look like an idiot.
dialogue,Joey,"Hey, I wasn't the only one who looked like an idiot. All right? Remember when Ross tried to say, ""Butternut squash?"" And it came out, ""Squatternut buash?"""
dialogue,Ross,Yeah that's the same.
dialogue,Monica,That's it. That's my worse Thanksgiving.
dialogue,Phoebe,Oh wait! That can't be the one Rachel's talking about. She didn't even know that happened. So which one was it?
dialogue,All,Which one?
dialogue,Monica,"Umm, I-I really don't want to tell this story."
dialogue,Chandler,"Oh, come on Monica, reliving past pain and getting depressed is what Thanksgiving is all about. Y'know, for me anyway. And of course, the Indians."
dialogue,Monica,"Look umm, of all people, you do not want me to tell this story!"
action,,Thanksgiving 1987
heading,,"[Scene: The Geller household, Mr. and Mrs. Geller are getting ready for Thanksgiving dinner. The doorbell rings.]"
dialogue,Mrs. Geller,Monica! I think Rachel's here!
dialogue,Monica,"I'll get it! (She runs in, and she's her old fat self like The One With The Prom Video. Not only that, she's out of breath after running a short distance. She goes over and opens the door to reveal Rachel with her old nose.) Happy Thanksgiving!"
dialogue,Big Nosed Rachel,Not for me. Chip and I broke up!
dialogue,Fat Monica,"Oh, why? Why? What happened?"
dialogue,Big Nosed Rachel,"Well, you know that my parents are out of town and Chip was going to come over…"
dialogue,Fat Monica,"Yeah, yeah, and you were going him y'know, your flower."
dialogue,Big Nosed Rachel,"Okay, Monica, can you just call it sex?! It really creeps me out when you call it that! Okay, and by the way, while we're at it, a guy's thing is not called his tenderness. Believe me! (Walks into the living room and greets Monica's parents.) Hi!"
dialogue,Mr. Geller,Hi Rachel!
dialogue,Big Nosed Rachel,Happy Thanksgiving!
dialogue,Mrs. Geller,You too sweethart!
dialogue,Ross,(entering) Hey!
action,,"(He brought home Chandler for Thanksgiving. Chandler is sporting the very popular Flock of Seagulls haircut. Yeah, it's another you have to see it to believe it kinda thing.)"
