script_element,character,text
heading,,"[Scene: Monica and Chandler's, Monica is at the kitchen table and Chandler is in the living room.]"
dialogue,Monica,Do you realize that four weeks from today we’re getting married? Four weeks baby!! Four weeks!!!
dialogue,Chandler,Do you realize you get louder each week?
dialogue,Monica,There’s still so much to do. Have you written your vows yet?
dialogue,Chandler,"I figured I’d buy those. Pat, I’d like to buy a vow. (Laughs)"
dialogue,Monica,"Sweetie, you know I have no sense of humor when it comes to the wedding."
dialogue,Chandler,"Right. So uh, have you written yours yet?"
dialogue,Monica,No! But I know exactly what I’m going to say.
dialogue,Chandler,Do you happen to know what I’m going to say?
dialogue,Monica,"(handing him a pad of paper and a pen) Let’s just do it right now. Okay? It won’t be hard. Just say what’s in your heart. (She goes back, sits down, and starts feverishly writing.)"
dialogue,Chandler,"(watching in her) (in his head) <voiceover>Look at her go! She must love me more than I love her! What’s wrong with me? Ooh, don’t open that door</voiceover> ."
action,,Opening Credits
heading,,"[Scene: Joey and Rachel's, Chandler is getting help writing his vows from Joey and Ross.]"
dialogue,Chandler,"(writing) Monica, there are no words… (To Joey and Ross) There are no words! This should not be this hard!"
dialogue,Joey,"All right, uh… (To Ross) Oh hey, you’ve done this before Ross, well what did you say when you made up your vows?"
dialogue,Ross,"Well with Carol, I promised never to love another woman until the day I die. She made no such promise."
dialogue,Chandler,"I’m so pathetic! Monica knows what she wants to say! You should’ve seen her. Writing, writing, writing!"
heading,,"[Scene: Monica and Chandler's, Monica has hit a writer’s block as Rachel and Phoebe enter.]"
dialogue,Rachel,Monica what?
dialogue,Phoebe,What?!
dialogue,Rachel,What is the emergency?!
dialogue,Monica,You have to help me! I’m supposed to be writing my vows and all I have is this! (Shows them what she’s been working on.)
dialogue,Rachel,"Well, I like the pretty little drawing of you in the wedding dress."
dialogue,Monica,Thank you.
dialogue,Phoebe,"Yeah, except your breasts look kinda small. (Points.)"
dialogue,Monica,Those are my eyes! Those are my breasts. (Points.)
dialogue,Phoebe,Oh! Yeah! (Monica glares at her.)
action,,[Cut to the guys.]
dialogue,Ross,"Well, why don’t you just start with something simple. Like umm, Monica from the moment I met you, I knew I loved you."
dialogue,Chandler,"Yeah, I’m not sure I can do that."
action,,[Flashback to when Chandler was introduced to Monica in The One With The Thanksgiving Flashbacks.]
dialogue,Ross,"...everyone, this is Chandler!"
dialogue,Fat Monica,"Hi, I'm Ross's little sister."
dialogue,Chandler,(seeing her) Okay.
action,,[Cut to the girls.]
dialogue,Rachel,"Okay. Okay. Okay. Umm, maybe you can start with, ""Chandler, even though we were friends; there was a part of me that always knew I wanted more."""
action,,"[Flashback to The One With The Jellyfish, Chandler and Monica are lying on the beach.]"
dialogue,Chandler,"All right, there’s a nuclear holocaust, I’m the last man on Earth. Would you go out with me?"
dialogue,Monica,Ennnh.
action,,[Cut back to the girls.]
dialogue,Monica,"Ooh, are we allowed to lie in the vows?!"
dialogue,Phoebe,Well maybe you don’t talk about your feelings back then. Maybe you just say something about y’know all the things that he’s taught you. Like… (They all try to think about one example and don’t succeed.) Or all the things you taught him.
action,,"[Flashback to The One With Phoebe's Uterus, Monica is teaching Chandler how to turn a woman on. They're in Monica and Rachel's apartment and Monica has just drawn a diagram of a woman.]"
dialogue,Monica,"Now everybody knows the basic erogenous zones. (She starts labelling them) You got one, two three, four (Chandler is shocked to find out there’s more than three), five, six, and seven!"
dialogue,Chandler,(shocked) There are seven?! (Points to one) That’s one?
dialogue,Monica,It’s kind of an important one!
dialogue,Chandler,"Oh, y’know-y’know what, I was looking at it upside down."
dialogue,Rachel,"Well, y’know, sometimes that helps. (She realises what that could’ve meant.)"
dialogue,Monica,"All right. Umm, you could uh start out with a little 1, a 2, a 1-2-3, 3, 5, a 4, a 3-2, 2, a 2-4-6, 2-4-6, 4, (Rachel starts getting worked up) 2, 2, 4-7, 5-7, 6-7, 7 …7..…7…7-7-7-7-7-7-7-7-7-7-7-7…(mouths 7)! (They both lean back on the couch satisfied.)"
action,,[Cut to the guys.]
dialogue,Joey,"Oh, I got it! How about saying something like, ""Monica…"
dialogue,Chandler,(writing) Monica…
dialogue,Joey,"""…when I look back over our time together…"""
dialogue,Chandler,(writes what Joey said and waits for him to go on) Yeah?
dialogue,Joey,"Well, I can’t do everything! Look back over your time together."
action,,[This starts a series of flashbacks beginning with Monica and Chandler in the waiting room in The One With the Birth.]
dialogue,Phoebe,"Oh, look, twins. Hi, guys. Oh, cute, cute."
dialogue,Monica,No fair. I don't even have one. How come they get two?
dialogue,Chandler,You'll get one.
dialogue,Monica,Oh yeah? When?
dialogue,Chandler,"All right. I'll tell you what. When we're 40, if neither one of us are married, what do you say you and I get together and have one?"
dialogue,Monica,Why won't I be married when I'm 40?
dialogue,Chandler,"Oh, no, no. I just meant hypothetically."
dialogue,Monica,"Ok, hypothetically, why won't I be married when I'm 40?"
dialogue,Chandler,"No, no, no."
dialogue,Monica,What is it? Is there something fundamentally unmarriable about me?
dialogue,Chandler,"(trapped) Uh, uh."
dialogue,Monica,Well?
dialogue,Chandler,Dear God! This parachute is a knapsack! (throws himself over the back of the chair he was sitting in)
action,,[Cut to Ross leaping into Chandler’s Hotel room in London in The One With Ross’s Wedding.]
dialogue,Ross,"(Screaming) I’m getting married today!! Ahh, whoo-hoo!!(He runs back out the door.)"
dialogue,Monica,(Comes up for below the covers and looks concerned.) Do you think he knew I was here? (Chandler quickly looks at Monica not knowing what to say.)
action,,[Cut to Chandler opening the door to his and Joey’s apartment to reveal Monica standing there with a turkey on her head in The One With The Thanksgiving Flashbacks.]
dialogue,Chandler,Nice try.
dialogue,Monica,"Wait, wait, wait! (She puts a Shriner's hat on the turkey.)"
dialogue,Chandler,"Look, Monica…"
dialogue,Monica,"Look! (She puts a big, yellow pair of sunglasses on the bird.)"
dialogue,Chandler,This is not going to work.
dialogue,Monica,I bet this will work! (She starts dancing and Chandler cracks up.)
dialogue,Chandler,You are so great! I love you!
action,,(Monica stops suddenly and turns around slowly.)
dialogue,Monica,What?
dialogue,Chandler,"Nothing! I said, I said ""You're so great"" and then I just, I just stopped talking!"
dialogue,Monica,You said you loved me! I can't believe this!
dialogue,Chandler,No I didn't!
dialogue,Monica,"Yes, you did!"
dialogue,Chandler,No I didn't!
dialogue,Monica,You love me!
dialogue,Chandler,No I don't! Stop it! Stop it! Stop it! Stop it!
action,,"(Joey walks in and sees Monica. He freaks out and runs back into the hallway, screaming.)"
action,,[Cut to Chandler trying to hint to Monica that he wanted to move in with her in The One After Vegas.]
dialogue,Chandler,"Y’know I was thinking, what if I uh, unpack here?"
dialogue,Monica,Then all your stuff would be here.
dialogue,Chandler,"Well, what if all my stuff was here?"
dialogue,Monica,"Then you’d be going back and forth all the time, I mean it doesn’t make any sense."
dialogue,Chandler,Okay. What if we lived together and you understand what I’m saying?
action,,[Cut to Chandler entering his and Monica’s apartment alight with a thousand candles in The One With The Proposal.]
action,,(He walks dejectedly into his apartment to find it lit with about a thousand candles and Monica standing in the living room.)
dialogue,Monica,You wanted it to be a surprise.
action,,(He turns to look at Joey who smiles slyly and closes the door leaving them alone.)
dialogue,Chandler,Oh my God.
action,,(Monica gets down on one knee.)
dialogue,Monica,Chandler… In all my life… I never thought I would be so lucky. (Starting to cry.) As to…fall in love with my best…my best… There’s a reason why girls don’t do this!
