script_element,character,text
heading,,"[Scene: Joey and Rachel's, Joey is knocking on Rachel’s door, whose door frame is decorated with balloons. The rest of the gang is there as well. Rachel opens the door and the gang blow on noisemakers.]"
dialogue,Ross,Happy birthday!!!
dialogue,Monica,Happy birthday!!!
action,,"(Rachel glares at them and goes back into her room, closing her door.)"
dialogue,All,Rach! Come on! Rach!
dialogue,Monica,It’s your birthday!
dialogue,Tag,(entering from her room) Hey.
dialogue,Chandler,(To Monica) She’s not as pretty as she was when she was 29.
dialogue,Tag,Ms. Green would like to establish some ground rules before she comes out. She would appreciate it if you don’t use the words old or downhill or (To Joey) they still look pretty damn good. (Joey smiles and everyone glares at him.)
dialogue,Joey,They do!
dialogue,Phoebe,Rachel! Come on out! Monica made breakfast!
dialogue,Monica,Chocolate-chip pancakes!
action,,(There is no response from Rachel.)
dialogue,Ross,We’ve got presents!
action,,(She opens the door.)
dialogue,Rachel,Good ones?
dialogue,Monica,They all came from the list you handed out to us two weeks ago.
dialogue,Rachel,"Well, can I keep the presents and still be 29?"
dialogue,Joey,"Come on Rach! Look, turning thirty is not that big a deal."
dialogue,Ross,Oh really. Is that how you felt when you turned thirty?
action,,[Flashback to Joey’s thirtieth birthday party. It is being held in Monica and Chandler’s apartment.]
dialogue,Joey,(screaming) Why God?!! Why?!! We had a deal!! Let the others grow old! Not me!! (He buries his head in Phoebe’s lap for comfort.)
action,,"[Cut back to Rachel’s party, everyone is now eating breakfast, except Rachel.]"
dialogue,Rachel,"Y’know, I’m still 29 in Guam."
dialogue,Ross,"Hey, 30 is not that old! Do you know how old the Earth is?"
dialogue,Rachel,Late thirties? Oh come on you guys! Is it just me? Am I overreacting to this?
dialogue,Chandler,"No Rach, it’s not just you. My thirtieth birthday certainly wasn’t that much fun."
action,,[Flashback to Chandler’s thirtieth birthday party. It is also being held in Monica and his apartment. He is about to blow out the candles on his birthday cake.]
dialogue,Joey,(screaming) And now Chandler! We’re all gettin’ so old! (Looking up) Why are you doing this to us?! (Turns away crying.)
action,,Opening Credits
heading,,"[Scene: Joey and Rachel's, breakfast is finished but Rachel’s still down.]"
dialogue,Monica,"Rach, you’re in a great place in your life. Come on, you’ve got a great job! Good friends…"
dialogue,Joey,"Yeah, you’re roommate is a soap opera star."
dialogue,Rachel,"Look, y’know I know my life’s going pretty well, but I look around and I just see so many people who’ve accomplished so many other goals by the time they’re thirty."
dialogue,Phoebe,"Yeah, but you shouldn’t compare yourself to me."
action,,"[Flashback to: The Street in front of Central Perk, Ross and Joey are holding a yellow tape across the road and everyone is cheering Phoebe as she bounces around the corner on a hippity-hop.]"
dialogue,All,Come on Phoebe! You can do it Phoebe! Come on!
dialogue,Rachel,There you go!
action,,(She crosses the line and they all cheer again.)
dialogue,Phoebe,"I did it! One mile on a hippity-hop! That’s it!! That’s everything I wanted to do before I was thirty. Oh, except I wanted to patch things up with my sister. But oh well. Yay!! (They all cheer again.) And-and girls this thing is a Godsend if you know what I mean. (Rachel and Monica look intrigued and as they all head into Central Perk, Rachel picks up the hippity-hop that Phoebe left behind.)"
heading,,"[Scene: Joey and Rachel's, continued from earlier.]"
dialogue,Rachel,"Thirty. Ugh, I mean thirty! Monica, do you remember mean, old Mrs. Kreeger in the fifth grade? She was thirty!"
dialogue,Tag,"Come on, let’s have some fun. Huh? (To Rachel) What do you want to do today?"
dialogue,Rachel,Nothing. I don’t want to do anything.
dialogue,Monica,"Well, doing nothing on your thirtieth is better than doing something stupid, like Ross."
dialogue,Ross,Hey! That was a practical purchase! I needed that car for transportation! Okay? I-I have a child!
action,,"[Flashback to: A street, Ross is sitting in his newly purchased MGB . Which is one of the better British sports cars ever made. Of course, ‘better’ is a relative term. Which reminds me of a joke. Why don’t the British make computers? Because they couldn’t figure out how to make them leak oil. Anyway, the gang is all staring at his new purchase.]"
dialogue,Ross,"How hot do I look in this, huh?!"
dialogue,Chandler,"Ross, a sports car? Wouldn’t it have been cheaper to just stuff a sock down there?"
dialogue,Ross,That’s not what this is about okay? I-I am a sports car enthusiast. I have always been into cars.
dialogue,Joey,"Hey, what’s the horsepower on this thing?"
dialogue,Ross,"(giddy) I don’t know, but-but look how shiny!"
dialogue,Monica,I can’t believe you bought this.
dialogue,Rachel,"Really! God Ross, what were you thinking? (To Phoebe, quietly) I know it’s really shallow, but a part of me wants him again."
dialogue,Phoebe,"Oh, well get in line missy. (To Ross) So, can I have a ride stud?"
dialogue,Ross,Hop in. (Phoebe hops in.) Get ready for the smoothest ride of your life.
action,,"(He starts the car and surprisingly in fires right up and comes to a nice idle. (Both can be rarities with British sports cars with their lovely Lucas ignition systems, which tend not to work especially in the rain.) Anyway, this being New York he is parallel parked on a street with the car in front of him only inches ahead of his bumper, likewise with the car behind him. He’s completely boxed in and can’t move more than two inches. He tries to get out several times by bumping the bumpers of both cars to no avail.)"
dialogue,Ross,Damnit! (Shuts the car off.)
dialogue,Phoebe,"(getting out) Okay, who’s next?"
heading,,"[Scene: Joey and Rachel's, Phoebe is pouring Rachel some coffee.]"
dialogue,Rachel,"Y’know what? I am going to do something today. I’m not just gonna sit around like some old lady. I’m gonna get something pierced. Like my uh, like my nose or my tongue or something."
dialogue,Phoebe,Really?! ‘Cause y’know that hurts.
dialogue,Rachel,So what?! Y’know what? The way I see it—(Phoebe pulls out a hair from the back of her head)—Ow! Son of a bitch!!
dialogue,Tag,"Look Rachel, I know what you’re going through. I’m totally freaked about turning 25."
dialogue,Rachel,"(glares at him) Get out, get out of my apartment."
dialogue,Monica,"All right Rach, for what it’s worth, I think that you’re doing great. I mean y’know let’s face it, no one handles this well."
dialogue,Phoebe,Least of all you.
dialogue,Tag,Why? What you’d do?
dialogue,Monica,Weren’t you asked to leave sonny?
action,,[Flashback to Monica and Chandler’s apartment. Chandler has a bunch of people over in formal wear to give Monica a surprise birthday party. Joey is coming out of the bathroom and removing his tie.]
dialogue,Chandler,(To Joey) Would you put that back on?! Monica’s gonna be here any minute!
dialogue,Joey,But it hurt’s my Joey’s Apple.
dialogue,Chandler,"(frustrated) Okay, for the last time. It’s not named for each individual man."
