script_element,character,text
heading,,"[Scene: Central Perk, Rachel is serving Joey, Ross, and Monica their drinks.]"
dialogue,Rachel,(to Joey) Coffee. (Hands it to him.)
dialogue,Joey,Thank you.
dialogue,Rachel,(to Ross) Cappuccino. (Hands it to him.)
dialogue,Ross,Grazie.
dialogue,Rachel,And a nice hot cider for Monica. (Hands it to her.)
dialogue,Monica,"Aww, thank you. (Notices something.) Uh Rach?"
dialogue,Rachel,Yeah?
dialogue,Monica,Why does my cinamon stick have an eraser?
dialogue,Rachel,"Oh! That's why. (Rachel checks behind her ear, and finds a cinamon stick.) I'm sorry!"
action,,(She takes the pencil out of Monica's coffee and Monica puts her cup down in disgust.)
action,,Opening Credits
heading,,"[Scene: Chandler's job, Chandler is typing data into his computer, he keeps typing even while taking a drink of coffee with one hand. One of his co-workers walks by.]"
dialogue,Woman,Chandler.
dialogue,Chandler,"Mrs. Tedlock. You're looking lovely today. And may I say, that is a very flattering sleeve length on you."
dialogue,Mrs. Tedlock,"Yes. Well, Mr. Kostelick wants you to stop by his office at the end of the day."
dialogue,Chandler,"Oh, listen. If this is about those prank memos, I had nothing to do with them. Really. Nothing at all. Really. (Chandler tries to hide a rubber chicken from the woman.) Nothing."
heading,,"[Scene: Central Perk, everyone is there but Chandler. Phoebe runs in, excitedly.]"
dialogue,Phoebe,"Hey you guys! Chandler's coming and he says he has, like, this incredible news, so when he gets here, we could all act like, you know..."
action,,(Chandler comes in.)
dialogue,Chandler,Hey!
dialogue,All,Hey!
dialogue,Phoebe,Never mind. But it was going to be really good.
dialogue,Ross,What's going on?
dialogue,All,What is it?
dialogue,Chandler,"So, it's a typical day at work. I'm inputting my numbers, and big Al calls me into his office and tells me he wants to make me processing supervisor."
dialogue,All,That's great!
dialogue,Chandler,So.... I quit.
dialogue,All,Why?
dialogue,Chandler,Why? This was supposed to be a temp job!
dialogue,Monica,"Yeah, Chandler... you've been there for five years."
dialogue,Chandler,"If I took this promotion, it'd be like admitting that this is what I actually do."
dialogue,Phoebe,So was it a lot more money?
dialogue,Chandler,It doesn't matter. I just don't want to be one of those guys that's in his office until twelve o'clock at night worrying about the WENUS.
action,,"(Everyone looks at him, confused.)"
dialogue,Rachel,... the WENUS?
dialogue,Chandler,Weekly Estimated Net Usage Systems. A processing term.
dialogue,Rachel,(sarcastic) Oh. That WENUS.
dialogue,Joey,So what're you going to do?
dialogue,Chandler,I don't know. That's the thing. I don't know what I want to do. I just know I'm not going to figure it out working there.
dialogue,Phoebe,"Oooh! I have something you can do! I have this new massage client... Steve? (pause) Anyway, he's opening up a restaurant and he's looking for a head chef."
dialogue,Monica,(taps Phoebe on her shoulder) Um... hi there.
dialogue,Phoebe,"Hi! (turns back to Chandler, then to Monica) Oh, yeah, no, I know. You're a chef. I know, and I thought of you first, but um, Chandler's the one who needs a job right now, so...."
dialogue,Chandler,Yeah... I just don't have that much cheffing experience. Unless it's an all-toast restaurant.
dialogue,Phoebe,"(to Monica's tapping) Yeah, yeah!"
dialogue,Monica,"Well, what kind of food is he looking for?"
dialogue,Phoebe,"Well, he wants to do some ecclectic, so he's looking for someone who can, you know, create the entire menu."
dialogue,Monica,(excited) Oh my God!
dialogue,Phoebe,"Yeah, I know! (turns to Chandler) So, what do you think?"
dialogue,Chandler,"Thanks, Phoebe. But I just don't really see myself in a big white hat."
dialogue,Phoebe,OK. (pause) Oh Monica! Guess what!
heading,,"[Scene: Monica and Rachel's, Chandler walks in, wearing a suit.]"
dialogue,Chandler,Can you see my nipples through this shirt?
dialogue,Rachel,"No. But don't worry, I'm sure they're still there."
dialogue,Phoebe,"Where are you going, Mr. Suity-Man?"
dialogue,Chandler,"Well, I have an appointment to see Dr. Robert Pillman, career counselor a-gogo. (pause) I added the ""a-gogo."""
dialogue,Rachel,Career counselor?
dialogue,Chandler,"Hey, you guys all know what you want to do."
dialogue,Rachel,I don't!
dialogue,Chandler,"Hey, you guys in the living room all know what you want to do. You know, you have goals. You have dreams. I don't have a dream."
dialogue,Ross,"Ah, the lesser-known ""I don't have a dream"" speech."
