script_element,character,text
heading,,"[Scene: The Hotel Lobby, Rachel and Phoebe are at the front desk checking out.]"
dialogue,Rachel,"Listen y’know what sir? For the last time, I don’t care what the computer says, we did not take a bag of Mashuga nuts from the mini-bar and we did not watch Dr. Do-Me-A-Little!"
dialogue,Joey,(entering) Hey!
dialogue,Phoebe,"Oh! Joey uh, were you in our room last night?"
dialogue,Joey,No. (Phoebe grabs the receipt and shows it to Joey who gets mad.) I was told the name of the movie would not appear on the bill!
action,,(Chandler and Monica enter.)
dialogue,Chandler,(to the front desk clerk) Hi! We’re checking out of the bridal suite.
dialogue,Monica,"(depressed) That’s right. I’m no longer a bride. I’ll never be a bride again. Now, I’m just someone’s wife!"
dialogue,Chandler,"And I’m the happiest guy in the world! (Monica goes and sits down in a huff.) Oh honey, come on don’t be upset. We still have so much to look forward to!"
dialogue,Monica,"Oh yeah, right. (Rolls her eyes.)"
dialogue,Chandler,We got the honeymoon.
dialogue,Monica,That’s not ‘til Thursday.
dialogue,Chandler,The wedding pictures?
dialogue,Monica,They won’t be ready for weeks.
dialogue,Chandler,Not the disposable cameras from the tables.
dialogue,Monica,That’s true! (Happily) I knew I married you for a reason!
dialogue,Chandler,"I’ll tell you what, I will go get them developed and you can go home."
dialogue,Monica,Okay.
action,,(Joey giggles.)
dialogue,Chandler,What? What did you take a picture of?
dialogue,Joey,Nothing! It was something.
dialogue,Chandler,"Okay Ross has the cameras, has he checked out yet?"
dialogue,Rachel,Are you joking? Check out is not ‘til noon and he has a good (checks her watch) eleven minutes left.
dialogue,Chandler,Oh.
dialogue,Monica,Ross has never checked out of a room a minute before he had to.
dialogue,Rachel,"Yeah, one time, when we were dating, uh we got a late checkout, he got so excited it was the best sex we ever had. Until y’know, he screamed out Radisson at the end."
dialogue,Chandler,"Okay, well I’m gonna get Ross, get the cameras, and get them developed. (Joey laughs again.) 32 Joe. You’re 32! (Exits)"
dialogue,Front Desk Clerk,(To Monica) Here’s a copy of your bill.
dialogue,Monica,"Oh thanks. (Reading the bill) Champagne, strawberries…Oh my God! I can’t believe Chandler ordered porn on our wedding night!"
dialogue,Joey,"Yeah, that’s sad. Mashuga nut?"
action,,Opening Credits
heading,,"[Scene: Ross’s Hotel Room, he is letting Chandler in.]"
dialogue,Ross,Hi.
dialogue,Chandler,Hey. (He sees that Ross is packing all of the hotel toiletries) Soaps? Shampoos? Are you really taking all this stuff?
dialogue,Ross,Why not? It’s built into the price of the room.
dialogue,Chandler,Yeah but you don’t need—(Picks up something)—What is this?
dialogue,Ross,Thread!
dialogue,Chandler,Score! Where are the disposable cameras?
dialogue,Ross,What disposable cameras?
dialogue,Chandler,The cameras? Remember last night I told you to take them?
dialogue,Ross,No you didn’t.
dialogue,Chandler,"Yes! Remember? Right before we cut the cake, I went up to you and I said…"
dialogue,Ross,"Oh-oh yeah, you-you came up to me and asked if I could do you a favor, and my Uncle Murray came up to you and handed you a check. And then you said, ""Why do they call it a check? Why not a Yugoslavian?"" (Chandler laughs.) Yeah, then you did that."
dialogue,Chandler,So you don’t have the cameras?!
dialogue,Ross,No. Sorry man.
dialogue,Chandler,So? What? What? They’re gone! Monica’s gonna freak!
dialogue,Ross,"Well, I’m sure they’re still somewhere here in the hotel. I’ll-I’ll help you look for them."
dialogue,Chandler,Great.
dialogue,Ross,In-in three minutes.
action,,"(Chandler goes into the bathroom, closes the door, and then opens it again right away. Ross looks up and hands him the toilet paper Ross already packed.)"
heading,,"[Scene: Monica and Chandler's, Phoebe is entering to see Monica sitting in front of a mound of wedding gifts.]"
dialogue,Phoebe,Hey!
dialogue,Monica,Hey!
dialogue,Phoebe,Are you gonna open the presents without Chandler?
dialogue,Monica,"No! (Pause) But, they’re callin’ out to me! I mean this little guy (Holds up a small one) even crawled up into my lap. Oh come on, Chandler wouldn’t mind if I opened just one present! What do you think it is?"
dialogue,Phoebe,A little mirror that when you look into it you see yourself as an old woman.
action,,(Monica opens it anyways.)
dialogue,Monica,A tiny salt shaker!!!
dialogue,Phoebe,Ohhh! My God! For tiny salt!
dialogue,Monica,Oh wow! Okay. Well that was fun.
dialogue,Phoebe,Oh yeah.
dialogue,Monica,"Good. Okay, I’m just gonna wait for Chandler to open the rest of them."
dialogue,Phoebe,Okay.
dialogue,Monica,"Whew. Although y’know, this is part of a salt and pepper set. I mean… I guess y’know it may just count as a half a present. What do you think?"
dialogue,Phoebe,"Well I guess it’s okay to open one more if it’s part of a set. Y’know, it’s probably this one. (Grabs another small one.)"
dialogue,Monica,Or this one! (She grabs and starts to open the biggest present.)
dialogue,Rachel,(entering) Hi.
