script_element,character,text
heading,,"[Scene Central Perk, the whole gang is entering]"
dialogue,Joey,I'm tellin' ya that girl totally winked at me.
dialogue,All,"Did not, she did not wink at you...(sees that their sacred couch is occupied by strangers)."
dialogue,Chandler,"Huh. (They all leave, dejected)"
action,,Opening Credits
heading,,"[Scene: Rachel and Monica's, Phoebe, Ross, and Rachel are eating breakfast.]"
dialogue,Ross,I have to say Tupolo Honey by Van Morrison.
dialogue,Rachel,Nooo Way! The most romantic song ever is The Way We Were .
dialogue,Phoebe,"See, I-I think that one that Elton John wrote for, um, that guy on Who's The Boss ."
dialogue,Rachel,"What song was that, Pheebs?"
dialogue,Phoebe,"(singing) Hold me close, young Tony Dan-za ."
action,,(Monica enters from her bedroom)
dialogue,Phoebe,Hi Monica!
dialogue,Ross,Hey Mon!
dialogue,Rachel,Hey Mon!
action,,(she just walks straight into the bathroom)
dialogue,Phoebe,"Oh my God, has she slept at all?"
dialogue,Ross,Nope.
dialogue,Rachel,"No, it's been three nights in a row."
dialogue,Ross,"Yeah, she finally stopped crying yesterday, but then she found one of Richard's cigar butts out on the terrace, so."
dialogue,Phoebe,"Oh, okay that explains it. I got a call at two in the morning, but all I could hear was, like, this high squeaky sound, so I thought okay its like a mouse or a opossum. But then I realized where would a mouse or a opossum get the money to make the phone call."
heading,,"[Scene: Chandler and Joey's, Joey is coming in from the bedroom]"
dialogue,Chandler,Morning.
dialogue,Joey,"Morning, hey, you made pancakes?"
dialogue,Chandler,"Yeah, like there's any way I could ever do that."
dialogue,Janice,"(entering and singing) Monica and Rachel had syrup, now I can get my man to cheer up. (laughs hysterically) Good morning Joey."
dialogue,Joey,(sarcastically) Good morning.
dialogue,Chandler,"Hey, you know what, here's a thought. Why don't you stay home from work today and just hang out with me."
dialogue,Janice,"Oh, I wish. Look, honey, you have that report to finish, and I gotta go see my lawyer."
dialogue,Chandler,I can not believe that I am going out with someone that is getting divorced. I'm such a grown up.
dialogue,Janice,"(laughs) I-I-I gotta go, I gotta go. Okay, not without a kiss."
dialogue,Chandler,"Well, maybe I won't kiss you, and then you'll have to stay."
dialogue,Joey,(under his breath) Kiss her! Kiss her!
dialogue,Janice,"I'll see you later, sweetie. Bye Joey."
dialogue,Joey,B-bye Janice. So when ya' dumpin' her.
dialogue,Chandler,"Nope, not this time."
dialogue,Joey,"Come on, quite yankin' me."
dialogue,Chandler,I'm not yanking you.
dialogue,Joey,This is Janice.
dialogue,Chandler,"Yeah, I know. She makes me happy."
dialogue,Joey,"Okay. All right. You look me in the eye and tell me, without blinking, that you're not breaking up with her. No blinking."
dialogue,Chandler,"(looks him in the eye) I'm not breaking up with her! (they stare at each other for a while, then Joey blows in his face)"
heading,,"[Scene: Rachel and Monica's, Monica is entering from the bathroom.]"
dialogue,Monica,"God, look what I found in the drain."
dialogue,Rachel,What?!
dialogue,Monica,It's some of Richard's hair! (holds it close to Ross) What do I do with this?
dialogue,Ross,Getting it away from me would be job one.
dialogue,Monica,"It's weird, but you know what I don't wanna throw this away. I mean this is like all I have left of him, gross, drain hair. Ooh! (drops it in Ross's cereal)"
dialogue,Phoebe,"Ooh. Oh. It looks like, like a tiny little person drowning in your cereal. (Ross gives her this look, like 'Yeah, doesn't it', and gets up to dump it down the drain.)"
dialogue,Monica,"God, what is wrong with me."
dialogue,Ross,You need to get some sleep.
dialogue,Monica,I need to get some Richard.
dialogue,Rachel,"Monica, you broke up with him for a reason."
dialogue,Monica,"I know, I know. I'm just so tired of-of missing him. I'm tired of wondering why hasn't he called. Why hasn't he called!"
dialogue,Phoebe,"Maybe, because you told him not to."
dialogue,Monica,What are you the memory woman?
dialogue,Joey,(entering) Their not breaking up. Chandler and Janice. Their not breaking up. He didn't blink or anything.
dialogue,Rachel,"Well, you know I'm not surprised. I mean have you seen them together, they're really cute."
dialogue,Joey,Cute! This is Janice! You remember Janice?
dialogue,Rachel,"Yes, Joey, I remember, she's annoying, but you know what she's-she's his girlfriend now. I mean what can we do?"
dialogue,Joey,There you go! That's the spirit I'm looking for! What can we do? Huh? All right who's first? Huh? Ross?
dialogue,Ross,"Well I'm thinking that Chandler's our friend and Janice makes him happy, so I say we just all be adult about it and accept her."
dialogue,Joey,"Yeah, we'll call that Plan B. All right?"
heading,,"[Scene: Ross's bedroom, Ross is working and Rachel is reading a book in bed]"
dialogue,Rachel,"(she leans over and kisses him on the cheek) Honey, I was wondering...."
dialogue,Ross,Hmm?
dialogue,Rachel,"Do you still have that, um, Navy uniform?"
dialogue,Ross,"Nooo, I had to return it to the costume place."
dialogue,Rachel,Hmm.
dialogue,Ross,I think I have an old band uniform from high school.
dialogue,Rachel,"You remember not having sex in high school, right?"
dialogue,Ross,Yeah.
dialogue,Rachel,"Well honey, what about you?"
dialogue,Ross,What?
dialogue,Rachel,"I mean do you have any fun, you know, fantasy type things?"
dialogue,Ross,No.
dialogue,Rachel,Come on you gotta have one!
dialogue,Ross,Nope.
dialogue,Rachel,"Ross, you know what..."
dialogue,Ross,What?
dialogue,Rachel,"...if you tell me, I might do it."
dialogue,Ross,"Okay, umm. Did you ever see, um, Return Of The Jedi ?"
dialogue,Rachel,Yeah.
dialogue,Ross,"Do you remember the scene with, um, Jabba the Hut? Well Jabba had as, as his prisoner, um, Princess Leia."
dialogue,Rachel,Oooh!
dialogue,Ross,"Princess Leia, was wearing this, um, gold bikini thing. It was pretty cool."
heading,,"[Scene: Central Perk, Phoebe and Rachel are there]"
dialogue,Phoebe,"Yeah, oh, Princess Leia and the gold bikini, every guy our age loved that."
dialogue,Rachel,Really!
dialogue,Phoebe,"Um, um. It's huge. Yeah, that's the moment, when-when, you know she stopped being a princess, and became, like, a woman, you know."
dialogue,Rachel,Did you ever do the-the Leia thing?
dialogue,Phoebe,"Oh, yeah, um-mm. Oh!"
dialogue,Rachel,Really! That-that great huh?
dialogue,Phoebe,No it's just that I got this new pager and I have it on vibrate. See ya!
dialogue,Ross,(entering with Monica in tow) Hey!
dialogue,Rachel,Hi you guys!
dialogue,Ross,Look who I found standing outside of the Szechwan Dragon staring at a parking meter.
dialogue,Rachel,Mon. Hi!
dialogue,Monica,Hi.
dialogue,Rachel,Why aren't you at work?
dialogue,Monica,"Oh, they-they sent me home."
dialogue,Rachel,Why?
dialogue,Monica,Because I don't work at the Szechwan Dragon.
dialogue,Ross,Okay.
dialogue,Rachel,"You really, really need to get some sleep, honey."
dialogue,Monica,I know I do.
dialogue,Ross,Hi.
dialogue,Rachel,Hi.
dialogue,Ross,Guess what?
dialogue,Rachel,What?
dialogue,Ross,They published my paper.
dialogue,Rachel,"Oh, really, let me see, let me see."
dialogue,Phoebe,"Rach, look! (she holds two buns up to her ears to make her hair look like the Princess Leia 'do.) Oh, hi! Where is my strong Ross Skywalker to come rescue me. (Ross stands up horrified) There he is."
heading,,"[Scene: Chandler and Joey's, Joey is watching Wheel of Fortune, the puzzle is showing _oun_ Rush_ore.]"
action,,[Chandler enters]
dialogue,Chandler,Hey!
dialogue,Joey,Wheel!
dialogue,Chandler,Of!
dialogue,Joey,Fortune! This guy is so stupid. (yelling) It's Count Rushmore!!
dialogue,Chandler,"You know, you should really go on this show. All right, listen, I got three tickets to the Rangers tonight. What'd ya' say?"
dialogue,Joey,"I say, 'I am there!' Cool! Aw, is Ross going to?"
dialogue,Chandler,"No, Janice."
dialogue,Joey,"Jan-ice. 'Cause I, just, I feel bad for Ross, you know, we-we always go together, we're like the three hocke-teers."
dialogue,Chandler,"You know, I may be way out on a limb here, but do you, do you, have a problem with Janice?"
dialogue,Joey,"No, Yeeees. God, how do I say this. (walks into the kitchen, Chandler follows closely, he turns around and gets startled). Oh, hi, you know that girl from the Greek restaurant with the hair (holds his hands up to signify she has big hair)?"
dialogue,Chandler,"Ooh, that girl that I hate, eww, drives me crazy, eww, eww, oh!"
dialogue,Joey,"Look, I don't hate Janice, she's-she's just a lot to take, you know."
dialogue,Chandler,"Well, there you go."
dialogue,Joey,"Oh, hey. Come on man, don't look at me like that, she used to drive you nuts before too, remember?"
dialogue,Chandler,"Well, I'm crazy about her now. I think this could be the real thing. Capital 'R'! Capital 'T'! (Joey stares at him) Don't worry, those are the right letters."
dialogue,Joey,"Look, what do you want me to say?"
dialogue,Chandler,I want you to say that you like her!
dialogue,Joey,"I can't. It's like this chemical thing, you know. Every time she starts laughing, I just wanna (grimaces and tenses up) pull my arm off just so that I can have something to throw at her."
dialogue,Chandler,"Thanks for trying. (grabs the ticket and starts to leave) Oh, and by the way there is no Count Rushmore!"
dialogue,Joey,"Yeah, then-then who's the guy that painted the faces on the mountain? (Chandler gives him a look like 'You stupid idiot!')"
action,,Commercial Break
heading,,"[Scene: Monica and Rachel's, Rachel and Ross are entering]"
dialogue,Ross,How could you have told her?
dialogue,Rachel,"Ross, I didn't think it would that big of a deal."
dialogue,Ross,"Oh, she didn't think it would be that big of deal."
dialogue,Rachel,"Okay, who are you talking to when you do that?"
dialogue,Ross,"Look, that was supposed to be like a private, personal thing between us."
dialogue,Rachel,"Okay, Ross, Phoebe is my girlfriend, okay, we tell each other everything. You know, I mean, come on, guys do the same thing, I mean, what about all that locker room stuff."
dialogue,Ross,"That's different, okay. That's like, uh 'Who dated a stripper?' or 'Who did it on the back of the Staton Island Ferry?'."
dialogue,Rachel,Were both of those Joey?
dialogue,Ross,"Yeah. Look, you don't, you don't talk about like, you know, your girlfriend and the intimate stuff you, you do with her."
dialogue,Rachel,Not even with your best friend.
dialogue,Ross,Noo!
dialogue,Rachel,"That is so sad. Your missing out on so much, Ross. I mean, the bonding and the sharing, you know. And-and knowing that someone else is going through the same thing you are."
dialogue,Ross,"Hmph. So what you, you tell each other everything?"
dialogue,Rachel,Pretty much.
dialogue,Ross,Did you talk about the night of five times? Do you tell people about the night of five times?
dialogue,Rachel,"Uh, honey, yeah that was with Carol."
dialogue,Ross,"I know, but it's still worth mentioning, I think."
heading,,"[Scene: Monica's bedroom, Phoebe is trying to relax her.]"
dialogue,Phoebe,"( in a soothing voice) Relax every muscle in your body. Listen to the plinky-plunky music. Okay, now close you eyes, and think of a happy place. Okay, tell me your happy place."
dialogue,Monica,"Richard's living room, drinking wine."
dialogue,Phoebe,"All right. No, no, no, not a Richard thing, just put down the glass. And get out!"
dialogue,Monica,"I'm sorry, but that's my happy place."
dialogue,Phoebe,"Well, okay, fine, use my happy place. Okay, I'm just gonna, I have to ask that you don't move anything."
dialogue,Monica,"All right, I'll try not to."
dialogue,Phoebe,"Okay, all right, so, your in a meadow, millions of stars in the sky...."
dialogue,Monica,Do you think breaking up with him was a huge mistake?
dialogue,Phoebe,"All right, there are no questions in the happy place. Okay, just, the warm breeze, and the moonlight flowing through the trees...."
dialogue,Monica,"I'll bet he's totally over me, I'll bet he's fine."
dialogue,Phoebe,"All right, betting and wagering of any kind, are, I'm sure, not permitted in the happy place. Okay. Just-just, you know, the-the lovely waterfalls, and the, the trickling fountains. And the-the calming sounds of the babbling brook...."
dialogue,Monica,"Okay, this isn't working. I'm still awake and now I have to pee."
heading,,[Scene: Chandler and Joey's]
dialogue,Janice,"So, I hear, you hate me!"
dialogue,Joey,"I, ah, I never said hate, I was very careful about that."
dialogue,Janice,A little birdie told me something about you wanting to rip your arm off and throw it at me.
dialogue,Joey,And you got a 'hate' from that?! Your taking a big leap there...
dialogue,Janice,"All right, fine, fine, fine, fine, fine, we've got to do something about our little situation here Joey. So, this is my idea: you and me spending some quality time together."
dialogue,Joey,But what does that gonna do...
dialogue,Janice,For Chandler!
dialogue,Joey,Okay. I'm in.
dialogue,Janice,Okay. All right. This is what we're gonna call it: 'Joey and Janice's DAY OF FUN! '
dialogue,Joey,Does it have to be a whole day?
dialogue,Janice,"Yes, because that's how long it takes to love me."
dialogue,Joey,"Yeah, I know, I sleep in the next room."
heading,,"[Scene: Central Perk, Rachel and Monica are entering]"
dialogue,Monica,"(crying) So, I went down to the post office, and it turns out it was those videos that I ordered for Richard about the Civil War. He loved the Civil War."
dialogue,Phoebe,"Monica, do you want us to take you home?"
dialogue,Monica,"Uh, huh. (to Ross) Or maybe to a galaxy far, far away. (Rachel, Monica, and Phoebe leave)"
dialogue,Ross,Women tell each other everything. Did you know that?
dialogue,Chandler,"Umm, yeah."
dialogue,Ross,"No Chandler, everything! Like stuff you like, stuff she likes, technique, stamina, girth...."
dialogue,Chandler,"Girth? Why, why, why, wh-why, why, why, why would they do this?"
dialogue,Ross,"Rachel says sharing's great and supposedly, you know, we outta be doing it. Do you wanna?"
dialogue,Chandler,We're not gonna talk about girth are we?
dialogue,Ross,Nooo!
dialogue,Chandler,"Yeah, okay."
dialogue,Ross,Yeah?
dialogue,Chandler,Yeah! All right! You go first.
dialogue,Ross,"Okay, okay, I'll go first."
dialogue,Chandler,Okay.
dialogue,Ross,"So, uh, the other night Rachel and I are in bed talking about fantasies, and I happened to describe a particular Star Wars thing...."
dialogue,Chandler,Princess Leia in the gold bikini.
dialogue,Ross,Yes!
dialogue,Chandler,I know!
dialogue,Ross,"Yes! Wow, well, that-that was easy. Okay, you-you go."
dialogue,Chandler,Okay.
dialogue,Ross,Okay.
dialogue,Chandler,"Okay, you know, you know when your in bed, with a woman."
dialogue,Ross,Hmph.
dialogue,Chandler,"And, ah, you know, your fooling around with her. And you get all these like, mental images in your brain, you know, like Elle MacPherson, or that girl at the Xerox place...."
dialogue,Ross,"With the belly-button ring? Oh, muhawa!"
dialogue,Chandler,"I know, And then all of the sudden your Mom pops into your head. And your like 'Mom, get outta here!' You know, but of course, like, after that you can't possibly think of anything else, and you can't, you know, stop what your doing. So it's kinda like, you're, you know. You know...(Ross just stares at him). You don't know!"
dialogue,Ross,"Your Mom, your telling me, your telling me, about your Mom, what is the matter with you?"
dialogue,Chandler,You said...
dialogue,Ross,I said ' share ' not ' scare '. Go sit over there! (Chandler goes over and sits at a table and puts his head down).
heading,,"[Scene: Chandler and Joey's, Joey and Janice are returning from their DAY OF FUN!]"
dialogue,Janice,We're baack!
dialogue,Joey,Hey!
dialogue,Chandler,What are you guys doing together?
dialogue,Janice,Joey and Janice's DAY OF FUN !!! (laughs)
dialogue,Chandler,Really.
dialogue,Joey,"Yeah, yeah. We went to a Mets game, we got Chinese food, and you know, I love this woman. You have got competition buddy."
dialogue,Janice,"I just came by to give you a kiss, I have to go pick up the baby, so. I'll see you later sweetheart, you too Chandler. (laughs)"
dialogue,Chandler,You still can't stand her can you?
dialogue,Joey,"I'm sorry man, I tired, I really did."
dialogue,Chandler,"Well, you know, I appreciate you giving it a shot."
dialogue,Joey,"But, hey, look, you know the good thing is, is that we spent the whole day together and I survived, and what's even more amazing, so did she. It was bat day at Shea Stadium."
dialogue,Chandler,"Well, I guess that's something."
dialogue,Joey,"No man, that's huge! Now, I know I can stand to be around her, which means I get to hang out with you, which is kinda the whole point, anyway."
dialogue,Chandler,Okay.
dialogue,Joey,"Oh, hey, Chandler, we, ah, we stopped by the coffee shop and ran into Ross."
dialogue,Chandler,Oh God!
dialogue,Joey,"Hey, if it makes you feel any better, I do it too."
dialogue,Chandler,Really?
dialogue,Joey,"Oh yeah, I always picture your Mom when I'm having sex."
heading,,"[Scene: Rachel and Monica's, Monica is watching the Civil War videos]"
dialogue,Video,"April Twelve, Eighteen hundred, Sixty-One (Monica lights Richard's cigar butt), 4:30 A.M. on Tuesday, the United States garrison at Fort Sumter was fired upon (knock on door) it is now under bombardment by...."
action,,(Monica answers the door)
dialogue,Monica,"Hi, Dad, what are you doing here?"
dialogue,Mr. Geller,"Well, it's your mother's bridge night so I thought that I would come into the city for a little Monicuddle. (hugs her) Since when did you start smoking cigars?"
dialogue,Monica,"I don't, I just, I just like the smell of them. So, uh, what are you really doing here Dad?"
