script_element,character,text
heading,,[Scene: Monica and Chandler's apartment. It's a scene from 1016 TOW Rachel's Going Away Party.]
dialogue,Jennifer Aniston,<voiceover>Previously on Friends.<\voiceover>
dialogue,Monica,"Erica, are you okay?"
dialogue,Erica,"Yeah, you know, maybe I ate too much. I keep getting these stomach-aches. They come and go like every few minutes."
dialogue,Monica,Oh my God!
dialogue,Chandler,Relax! We'll just get her some antacids.
dialogue,Monica,She doesn't have a stomach-ache. She's in labor!
dialogue,Chandler,Oh my God!
action,,[Cut to Ross's apartment. Ross and Rachel are there. It's another scene from 1016 TOW Rachel's Going Away Party.]
dialogue,Rachel,"So if you think I didn't say goodbye to you because you don't mean as much to me as everybody else, you're wrong. It's because you mean more to me."
dialogue,Ross,Rach!
dialogue,Rachel,What?!
action,,"(He walks over and kisses her. They pull back, Rachel looks at him, and they kiss again.)"
heading,,[Scene: Ross's bedroom. Rachel is putting on her shoes as Ross shows up from underneath the covers.]
dialogue,Ross,Hey.
dialogue,Rachel,Shh.. Go back to sleep. I have to go home.
dialogue,Ross,Oh. This was amazing.
dialogue,Rachel,It really was. You've learned some new moves!
dialogue,Ross,"Yeah, well, this guy at work gave me ""Sex for Dummies"" as a joke."
dialogue,Rachel,Ah.
dialogue,Ross,Who's laughing now?
dialogue,Rachel,I know!
action,,(They kiss.)
action,,Opening Credits
heading,,"[Scene: The delivery room at the hospital. Monica, Chandler and Erica are there. Erica is in labor, and she is breathing heavily.]"
dialogue,Monica,"Breathe, breathe, breathe... Good."
dialogue,Chandler,"Next time, can I say breathe?"
dialogue,Monica,"No, last time you said it like Dracula, and it scared her! Can I get you anything? You want some more ice chips?"
dialogue,Erica,"No, I'm okay."
dialogue,Monica,"Alright, I'll be right back."
dialogue,Chandler,Where are you going?
dialogue,Monica,To use the bathroom.
dialogue,Chandler,You can't leave me alone with her.
dialogue,Monica,What?
dialogue,Chandler,This is exactly the kind of social situation that I am not comfortable with!
dialogue,Monica,What kind of social situation are you comfortable with?
dialogue,Chandler,"It's just that we've never spent any time, you know, alone together."
dialogue,Monica,"You'll be fine. Nah, you won't, but I'll be back in two minutes."
dialogue,Chandler,Okay.
action,,"(Monica leaves, and Chandler closes the door. Erica just looks at him.)"
dialogue,Chandler,"So, ah... Any plans for the summer?"
dialogue,Erica,I don't know. Maybe church-camp?
dialogue,Chandler,"Hah. May not wanna mention this. So, you ever wonder which is worse, you know; going through labor or getting kicked in the nuts?"
dialogue,Erica,What?
dialogue,Chandler,"Well, it's just interesting. You know, because no one will ever know, because no one can experience both."
action,,(Erica just looks at him like he's crazy.)
dialogue,Chandler,"One of life's great, unanswerable questions. I mean, who knows? Maybe there's something even more painful than those things? Like this."
heading,,[Scene: Joey and Rachel's apartment. Joey is there as Phoebe enters. Joey is holding a baby duck.]
dialogue,Phoebe,Morning.
dialogue,Joey,Hey!
dialogue,Phoebe,What's that?
dialogue,Joey,It's my house-warming present for Monica and Chandler.
dialogue,Phoebe,It's a baby chick and duck!
dialogue,Joey,Uh-huh. And I named them Chick Jr. and Duck Jr.
dialogue,Phoebe,I did not see that coming.
dialogue,Joey,"Yeah, I figure they'll love it at the new house, you know? It has that big backyard. And then, when they get old, they can go to that special farm that Chandler took the other chick and duck to."
dialogue,Phoebe,Yes.
dialogue,Joey,Yeah. It's a shame people can't visit there.
dialogue,Phoebe,"That is the rule, though."
action,,(Ross enters.)
dialogue,Phoebe,Guess what? You're almost an uncle!
dialogue,Ross,What?
dialogue,Joey,"Yeah, Erica went into labor last night. Monica and Chandler are at the hospital right now!"
dialogue,Ross,Oh my God!
dialogue,Phoebe,"Yeah, and I have a definite feeling it's gonna be a girl."
dialogue,Ross,"Phoebe, you were sure Ben was gonna be a girl."
dialogue,Phoebe,Have you seen him throw a ball?
dialogue,Ross,Is Rachel here?
dialogue,Joey,"Uh, I think she's still asleep. Hey, hey, how did it go with you guys last night? She seemed pretty pissed at you."
dialogue,Ross,"Uh, we, y'know, we worked things out."
dialogue,Phoebe,What's that smile? Did something happen with you two?
dialogue,Ross,"Hey, I'm not one to kiss and tell, but I'm also not one to have sex and shut up. We totally did it!"
dialogue,Joey,Oh my God. You and Rachel?
dialogue,Ross,"I know, it's pretty great."
dialogue,Joey,So what does that mean? Are you guys getting back together?
dialogue,Ross,"Oh, I.. I don't know. We didn't really get to talk."
dialogue,Phoebe,But do you wanna get back together?
dialogue,Ross,"I don't know. It was incredible. I mean, it just felt so right. When I was holding her, I mean, I never wanted to let her go. You know what? Yeah, I do. I wanna be together."
dialogue,Phoebe,(screaming) YAY!
dialogue,Ross,Shhh!
dialogue,Phoebe,(quietly) Yay!
dialogue,Joey,"So, so is she still going to Paris?"
