script_element,character,text
heading,,[Scene: Monica and Rachel's apartment. Everyone is there. Monica is watching stock prices on a business channel.]
dialogue,Joey,"Hey Monica, why are we watchin' the business channel?"
dialogue,Monica,"'Cause I was going by it the other day and I saw that there was a stock with my initials, MEG, on it and, well, sometimes I have to watch for two or three hours before it comes up again but when it does, it's pretty exciting."
dialogue,Rachel,"Ok honey, you really need a job."
dialogue,Ross,"Mon, speaking of which, dad says he knows someone you can call for an interview."
dialogue,Monica,Really.
dialogue,Phoebe,"Ok, right there. That, that's the third sign today. Right there."
dialogue,Ross,"On behalf of everyone, I'd just like to say behuh."
dialogue,Phoebe,"No, 'cause you just said dad and everywhere I go today I keep getting signs telling me to go see my father. Like when I was walking over here and I passed a buffet...which is my father's last name."
dialogue,Everyone,Ahh.
dialogue,Phoebe,And they were serving franks which is his first name minus the s at the end. And there was a rotisserie with spinning chicken.
dialogue,Monica,His indian name?
dialogue,Phoebe,No because I chickened out the last time when I tried to meet him. So I mean coincidences? I don't think so.
dialogue,Ross,Freakish.
dialogue,Monica,Wow.
dialogue,Joey,Freaky.
dialogue,Monica,"Weird, weird."
dialogue,Rachel,"Ok, so uh, who wants the last hamburger?"
dialogue,Phoebe,"Oh, alright, that's it, now I have to go see him."
dialogue,Monica,Why?
dialogue,Phoebe,"Hamburger. McDonald's. Old MacDonald had a farm, my dad is a pharmacist."
action,,Opening Credits
heading,,[Scene: Central Perk. Chandler and Ross enter in sweats carrying rackets.]
dialogue,Chandler,"Man, I am so beat."
dialogue,Ross,Oh yeah.
dialogue,Chandler,"Hey, you just wanna forget about raquetball and hang out here?"
dialogue,Ross,Yeah alright.
action,,(they sit at the couch)
dialogue,Big Bully,(walks back from the counter) Hey you're in our seats.
dialogue,Ross,"Oh, sorry we didn't know."
dialogue,Little Bully,"(walks back from the counter) Hey, we were sitting there."
dialogue,Chandler,"Ok, there is one more way to say it, who knows it?"
dialogue,Little Bully,Is that supposed to be funny?
dialogue,Chandler,"No actually, I was just going for colorful."
dialogue,Big Bully,What's with this guy?
dialogue,Little Bully,What's with you?
dialogue,Ross,"Uh, nothing, nothing's with him. Enjoy your coffee."
action,,"(as they're walking off, little bully grabs Chandlers hat from behind and puts it on himself)"
dialogue,Chandler,What just happened?
dialogue,Little Bully,"I just took your hat. See, I can be funny too. My, my joke is that I, I took your hat."
dialogue,Chandler,"That, that is funny. Can I have it back?"
dialogue,Little Bully,No.
dialogue,Chandler,No?
dialogue,Big Bully,No.
dialogue,Ross,"Ok, ok, you know what? I think you're very funny. Kudos on that hat joke. But, come on guy just, just give him back the hat."
dialogue,Big Bully,Why should we?
dialogue,Ross,"Because it's a special hat. (Chandler looks at Ross funny) See he bought it 'cause he was feeling really down one day so he got the hat to cheer himself up, ya know. Now Chandler..."
dialogue,Chandler,"Stop talking, stop talking now. Let me just get this straight. You're actually stealing my hat?"
dialogue,Big Bully,You got a problem with that?
dialogue,Chandler,"No, just wanna make sure we're on the same page."
heading,,[Scene: Monica and Rachel's apartment. Joey and Rachel are sitting there and Monica walks in.]
dialogue,Rachel,"Hey, how'd the interview go?"
dialogue,Monica,It bit. It was a 50's theme restraunt. I have to cook in a costume and dance on the counter. I mean I was a chef at Cafe des Artistes. I mean how could I take a job where I have to make something called Laverne and Curly Fries?
dialogue,Rachel,So don't do it.
dialogue,Monica,How can I not do it? I have $127 in the bank.
dialogue,Joey,"Monica, relax, go get a beer."
dialogue,Monica,I don't want a beer.
dialogue,Joey,Who said it was for you?
dialogue,Ross and Chandler,(both enter looking down) Hhhiiii.
dialogue,Rachel,What's the matter with you?
dialogue,Chandler,The mean guys at the coffee house took my hat.
dialogue,Rachel,Noo.
dialogue,Joey,You're kiddin'.
dialogue,Ross,"It was ridiculous. Ya know, these guys, they were bullies, actual bullies, ya know. We're grown ups, this kinda stuff isn't supposed to happen anymore."
dialogue,Rachel,Oohhh.
dialogue,Ross,Hi.
dialogue,Rachel,Hi. (Ross turns to Rachel and they hug)
dialogue,Chandler,"Ohhh (turns as if to hug someone) Oh no, wait a minute, I have no one."
dialogue,Joey,"Hey, woah, let's go down there and get your hat back."
dialogue,Chandler,"Na, forget it, it's probably stripped and sold for parts by now."
dialogue,Monica,"(seeing TV) Hey, I went up."
dialogue,Rachel,What?
dialogue,Monica,"My stock, MEG, it went up 2 points. Hey guys, do you realize that if I had invested my $127 in myself yesterday that I'd like have...a lot more than that today. Ya know what, I'm gonna do it."
dialogue,Joey,Do what?
dialogue,Monica,Put all my money in me.
dialogue,Rachel,"Monica, what are you talking about? You don't know the first thing about the stock market."
dialogue,Monica,"What's to know? Buy sell, high low, bears bulls...(on the phone) Yes Manhattan...yeah telephone number of the stock...selling store."
heading,,[Scene: Phoebe's dad's house. Phoebe pulls up in the cab with Rachel and Joey in the back.]
action,,(Phoebe slams on the breaks. Joey and Rachel are thrown forward into the pillows in their laps.)
dialogue,Joey,"See, didn't I tell ya these pillows would be a good idea?"
dialogue,Phoebe,"Oh God, here we go. For the first time in my life I'm gonna say 'Hi birthfather'."
dialogue,Rachel,"We love you, we're here for you."
dialogue,Joey,"Yeah good luck, good luck."
dialogue,Phoebe,Thanks. (gets out of the cab)
dialogue,Joey,"Hey Rach, you uh, you want some sandwich?"
dialogue,Rachel,"Ohh, what is in that?"
dialogue,Joey,"Olive loaf and ham spread, no mayo."
dialogue,Rachel,"No no, 'cause mayo, that would make it gross."
dialogue,Phoebe,"(a little dog starts attacking her leg) Hey, hey, no, oh oh."
dialogue,Rachel,Run Phoebe run.
dialogue,Phoebe,"No no no, doggie please. Oh, I do so wanna love all animals, please no."
dialogue,Joey,"Get him a bone, get a bone. You gotta bone?"
dialogue,Rachel,Are you kidding me?
dialogue,Phoebe,"Look kibbles, bits. Oh God, alright, get the hell off my leg you yippity piece of crap. (Flings the dog off and jumps in the cab. The dog keeps jumping up to the window.) Ok, alright, we have a problem."
dialogue,Joey,Well why don't you just reach out and take his trampoline.
dialogue,Rachel,"Ok, here, I know what we can do. (grabs Joey's sadwich and throws it out the window)"
dialogue,Joey,"Hey, hey, hey no."
dialogue,Rachel,"Ok, doggie get the- aahhh. Ok go get the sandwich, get the sandwich doggie. (dog ignores the sandwich) Good doggie get the sandwich, get the...ok, Joey, the dog will lick himself but he will not touch your sandwich, what does that say?"
dialogue,Joey,"Well if he's not gonna eat it, I will."
dialogue,Phoebe,Are you crazy?
dialogue,Joey,"Phoebs, he's just a little dog. (turns back to the car window and the dog is halfway through it.) Ahhh."
heading,,[Scene: Central Perk. Chandler and Ross are sitting at the couch.]
dialogue,Chandler,Hey.
dialogue,Ross,What?
dialogue,Chandler,Do you have to be a Century 21 real-estate agent to get to wear those really cool jackets?
dialogue,Ross,Do you say this stuff to girls?
dialogue,Big Bully,"Hehehehey, isn't that the guy who used to wear your hat?"
dialogue,Little Bully,And look where they're sitting.
dialogue,Ross,"You're joking, right? You guys just walked through the door."
dialogue,Big Bully,Maybe we didn't make it clear enough.
dialogue,Little Bully,Yeah.
dialogue,Big Bully,This couch belongs to us.
dialogue,Chandler,"Alright, I'll tell you what, you call the couch and then, and then we'll call the couch, and we'll see who it comes to."
dialogue,Big Bully,You know what I keep wondering? Why you two are still sitting here.
dialogue,Ross,"Alright, that's it. I've had enough of this, alright. Gunther, these guys are trying to take our seat."
dialogue,Gunther,"Fellas, these guys were here first."
dialogue,Big Bully,"Oh, sorry, I didn't realize."
dialogue,Little Bully,Sorry.
dialogue,Gunther,There you go.
dialogue,Ross,Thank you Gunther. We didn't want to have to go and do that.
dialogue,Little Bully,He told on us?
dialogue,Big Bully,You told on us?
dialogue,Ross,"Well pal, you didn't give me much of a choice. (flicks the ends of the big bully's tie)"
dialogue,Chandler,Don't play with his things.
dialogue,Ross,I know.
dialogue,Big Bully,"Alright, let's take this outside."
dialogue,Ross,"Let's, let's take this outside? Who talks like that?"
dialogue,Big Bully,The guy that's about to kick your ass talks like that.
dialogue,Chandler,You had to ask.
dialogue,Ross,Yeah.
action,,(the bullies grab the back of the couch that Ross and Chandler are sitting in and tip back)
dialogue,Ross,"Ok, ok look, see, the thing is we're, we're not gonna fight you guys."
dialogue,Little Bully,"Well then here's the deal, you won't have to so long as never ever show your faces in this coffee house ever again."
dialogue,Chandler,I think you played the Gunther card too soon.
heading,,[Scene: Back in the cab in front of Phoebe's dad's house.]
dialogue,Joey,"Hey Phoeb's, I think you're good to go."
dialogue,Phoebe,"Yeah, I don't know."
dialogue,Rachel,What's the matter?
