script_element,character,text
heading,,"[Scene: Monica and Rachel's apartment. Everyone is sitting at the couches, Chandler enters.]"
dialogue,Chandler,"OK, what is it about me? Do I not look fun enough? Is there something. . . repellant. . . about me?"
dialogue,Rachel,"So, how was the party?"
dialogue,Chandler,"Well it couldn't have been worse. A woman literally passed through me. OK, so what is it, am I hideously unattractive?"
dialogue,Phoebe,"No, you are not, you are very attractive. You know what, I go through the exact same thing. Every time I put on a little weight, I start questioning everyting."
dialogue,Chandler,"Woah, woah, I've put on a little weight?"
dialogue,Phoebe,"No, not wieght... y'know, more like insulation."
dialogue,Monica,"Chandler, I'm unemployed and in dire need of a project. Ya wanna work out? I can remake you."
dialogue,Chandler,"Oh, you know, I would, but that might get in the way of my lying around time."
dialogue,Monica,Please.
dialogue,All,C'mon. Let her. Yeah.
dialogue,Chandler,"Alright, OK, alright. But if we put on spandex and my boobs are bigger than yours, I'm goin' home."
dialogue,Phoebe,"Your boobs are fine. Look, I never should have said anything. Come here. Come here. (hugs Chandler but holds her hands apart behind his back) Oh, can't make.... hands... meet...."
action,,Opening Credits
heading,,"[Scene: Hallway between the apartments. Chandler comes out wearing spandex, jogging in place. Monica is there.]"
dialogue,Chandler,"OK, let's do it. (Monica looks at him funny) What?"
dialogue,Monica,"Nothing, just never seen you in little stretchy pants before."
dialogue,Chandler,And we're changing. (jogs back in his apartment)
action,,"(Cut to the city street. Monica and Chandler are jogging. Chandler is lagging behind so he hops in a cab and takes off, leaving Monica behind)"
heading,,[Scene: Back in Chandler and Joey's apartment. Chandler is doing situps.]
dialogue,Monica,C'mon give me five more. Five more.
dialogue,Chandler,(weakly) No.
dialogue,Monica,Five more and I'll flash you.
dialogue,Chandler,"One. . . two. . . two and a half. OK, just show me one of them."
heading,,[Scene: Central Perk. Chandler and Joey are sitting on the couch. Rachel is working.]
dialogue,Chandler,"(slowly lifts coffee cup to his mouth) Ow, ow, ow, ow, ow, ow, ow. (slowly sets the cup back down) Ow, ow, ow, ow, ow. (Joey intercepts the cup and puts it down for him). She's insane, the woman is insane. It's before work, it's after work, it's during work. She's got me doing butt clenches at my desk. And now, they won't bring me my mail anymore."
action,,(Phoebe enters.)
dialogue,Rachel,"Hey Phoebs, how'd it go with Scott last night?"
dialogue,Phoebe,"Oh, um, it was nice. Took him to a romantic restraunt, ordered champagne, nice."
dialogue,Joey,"The guy still won't put out, huh?"
dialogue,Phoebe,"Nope. Zilch, nothin', uh-uh."
dialogue,All,Sorry Phoebs.
dialogue,Phoebe,"Look, I, y'know, I don't mind taking it slow, I like him a lot, y'know he's really interesting and he's really sweet and why won't he give it up?"
dialogue,Joey,"Maybe he, uhh... drives his car on the other side of the road, if ya know what I mean."
dialogue,Phoebe,"No, whad'ya mean? He's not British."
dialogue,Joey,Maybe he's. . . gay.
dialogue,Phoebe,"Oohh, um, no, I don't think that's the problem. 'Cause we went, um, dancing the other night and the way he held me so close, and the way he was looking into my eyes I just like... definitely felt something."
dialogue,Rachel,"Yeah, but how much can you tell from a look?"
dialogue,Phoebe,"No, I felt it on my hip. You could tell."
action,,(Monica enters.)
dialogue,Monica,"(to Chandler) Yo, Bing. Racquetball in 15 minutes."
dialogue,Chandler,"Joey, be a pal. Lift up my hand and smack her with it."
dialogue,Phoebe,"(seeing Ross kissing Julie outside the window) Ooh, oh, Rachel, don't look."
dialogue,Rachel,"What? (looks, feigns indifference) C'mon you guys, I don't care, I have a date tonight."
dialogue,Joey,"Woah, woah, woah, you have a date?"
dialogue,Rachel,"Yeah, Monica's settin' me up."
dialogue,Joey,"But uh, uh, what about uh, Ross and uh. . .?"
dialogue,Rachel,"Oh what, my whole insane jealousy thing? Well, y'know, as much fun as that was, I've decided to opt for sanity."
dialogue,Chandler,So you really OK about all this?
dialogue,Rachel,"Oh yeah, c'mon, I'm movin' on. He can press her up against that window as much as he wants. For all I care, he can throw her through the damn thing."
action,,(Ross and Julie enter.)
dialogue,Ross,Hi guys.
dialogue,All,Hey.
dialogue,Ross,"Oh, Monica, I figured I'd come by tomorrow morning and pick up Fluffy's old cat toy, OK?"
dialogue,Monica,Only if you say his full name.
dialogue,Ross,(reluctantly) Can I come over tomorrow and pick up Fluffy Meowington's cat toy.
dialogue,Monica,Alright.
dialogue,Joey,(to Ross) You're getting a cat?
dialogue,Ross,"Uh, actually, we're getting a cat."
dialogue,Rachel,Together?
dialogue,Ross,Uh huh.
dialogue,Rachel,Both of you?
dialogue,Ross,Yep.
dialogue,Rachel,Together.
dialogue,Julie,"Yeah, we figure it'll live with Ross half the time, and with me half the time."
dialogue,Rachel,"Ohh, well, isn't that just lovely. That's something the two of you will be able to enjoy for a really, really, really, really, really long time."
dialogue,Ross,Hopefully.
dialogue,Rachel,"Well. (looks at watch) Woah, look at that! I gotta go, I gotta date. With a man. Um, OK, you guys have a really, uh, have a really good night and you two have a, uh, have a, uh, really good cat. (she leaves carrying her tray then comes back in) OK, we're not supposed to take these when we leave."
heading,,[Scene: A nice restraunt. Rachel is on her date with Michael (MICH).]
dialogue,Michael,"I don't know if Monica told you but this is the first date I've gone on since my divorce so, if I seem a little nervous, I am."
dialogue,Rachel,(distracted) How long do cats live?
dialogue,Michael,(confused) I'm sorry?
dialogue,Rachel,"Cats, how long do they live figuring you don't... y'know, throw 'em under a bus or something?"
dialogue,Michael,"Um, maybe 15, 16 years."
dialogue,Rachel,That's just great. (she picks up her champagne and starts drinking)
dialogue,Michael,"Um, cheers."
dialogue,Rachel,"Oh, right, clink. (downs her glass)"
dialogue,Michael,"Monica told you I was cuter that this, didn't she?"
dialogue,Rachel,"Oh, no, Michael, it's not you. I'm sorry, it's just, it's this thing. It's probably not as bad as it sounds but this friend of mine is, is getting a cat with his girlfriend."
dialogue,Michael,"Oh, that does sound. . .Ahh."
dialogue,Rachel,I mean he just started going out with her.
dialogue,Michael,"Is this guy, uhh, an old boyfriend?"
dialogue,Rachel,"Ah, hah-hah-hah-ho, yeah, he wishes. Oh, I'm sorry, look at me. OK, Michael, let's talk about you."
dialogue,Michael,Alright.
dialogue,Rachel,"OK, OK. So, you ever get a pet with a girlfriend?"
heading,,[Scene: Central Perk. Phoebe and Joey are sitting on the couch.]
dialogue,Phoebe,"So, I figured it out."
dialogue,Joey,What?
dialogue,Phoebe,Why Scott doesn't want to sleep with me. It's 'cause I'm not sexy enough.
dialogue,Joey,"Phoebe, that's crazy. When I first met you, you know what I said to Chandler? I said, ""Excellent butt, great rack."""
dialogue,Phoebe,"Really? That's so sweet. I mean, I'm officially offended but, sweet."
dialogue,Joey,"Phoebs look, if you want to know what the deal is, you're just gonna have to ask him."
dialogue,Phoebe,"You're right, you're right. Ah, you are so yumm. (they hug)"
action,,"(Outside the window, Monica and Chandler jog up. Monica playfully pushes him. They start puching and slapping harder and harder until Monica pushes him down. Chandler stands up, with a serious expression, and chases her away.)"
heading,,[Scene: Back in the restraunt. Rachel pours the last of the champange bottle in her glass.]
dialogue,Rachel,"(obviously drunk) I mean, it's a cat, y'know, it's a cat . Why can't they get one of those bugs, y'know, one of those fruitflies, those things that live for like a day or something? (belligerently) What're they called, what're they called, what're they called?"
dialogue,Michael,Fruitflies?
dialogue,Rachel,Yes! Thank you.
action,,(The waiter comes to the table.)
dialogue,Waiter,"So, would you like any dessert?"
dialogue,Michael,"No! No dessert, just a check, please."
dialogue,Rachel,"Oh, you're not having fun, are you?"
dialogue,Michael,"No, no, I am, but only because for the last hour and a half I've been playing the movie Diner in my head."
dialogue,Rachel,"Oh, look at me, look at me. Oh, I'm on a date with a really great guy, all I can think about is Ross and his cat and his... Julie. I just want to get over him. gosh, why can't I do that?"
dialogue,Michael,"Oy. Look, I've been through a divorce, trust me you're gonna be fine. You just can't see it now because you haven't had any closure."
