script_element,character,text
heading,,[Scene: Central Perk]
dialogue,Monica,(she enters) Hey guys!
dialogue,"Ross, Rachel and Chandler",Hey!
dialogue,Chandler,"Honey, I got us that room at the Woodford Inn this weekend."
dialogue,Monica,That place in Vermont? You can take a hint!
dialogue,Rachel,"Wait, you can't go away this weekend! It's Emma's birthday!"
dialogue,Ross,Yeah!
dialogue,Rachel,We're having a party.
dialogue,Monica,"Well, can't you just have the party when we get back?"
dialogue,Ross,No.
dialogue,Rachel,"No, that day... that won't be her real birthday!"
dialogue,Chandler,Gee if only she were one and had no idea what the hell a birthday was!
dialogue,Ross,"C'mon you guys, this is really important to us."
dialogue,Monica,"Well, I'm sorry, but Chandler and I could really use a weekend away. You know, to reconnect... emotionally."
dialogue,Chandler,There's this thing I really want us to do. I read about it in Maxim...
dialogue,Rachel,"Well, can't you just go to Vermont the next day?"
dialogue,Ross,"Yeah, we want everyone to be there. As much as I hate to delay your doing weird sex stuff to my little sister."
dialogue,Rachel,"And I mean, you know, you guys... This is a big deal. I mean, how can we have her first birthday party without her aunt and her uncle!"
dialogue,Monica,"All right, we'll stay. We can just drive up after the party."
dialogue,Chandler,"Fine, but if we end up not doing this Maxim thing because of this party..."
dialogue,Monica,"Believe me, that is not why we won't be doing that!"
action,,Opening Credits
heading,,[Scene: Rachel and Joey's apartment]
dialogue,Rachel,"You know Pheebs, when I was little, on my birthday, my daddy would hide a present in every room of the house, and then he would draw a treasure map to help me find 'em all."
dialogue,Phoebe,"Oooh, I love family traditions like that. When uhm... when Ursula and I were kids, on our birthday, our stepdad would sell his blood to buy us food!"
dialogue,Ross,(he enters) Hey guys!
dialogue,Rachel and Phoebe,Hi!
dialogue,Ross,"Hey, I brought the camera for Emma's video."
dialogue,Rachel,"Oh, good, good! We had this idea to make a birthday video for Emma and we'll give it to her when she is 18."
dialogue,Phoebe,"Oh, COOL!! Wow, it's like a time capsule!"
dialogue,Ross,Yeah!
dialogue,Phoebe,"Oh, just think... she's gonna be watching that video on a TV that hasn't even been invented yet! With friends who right now are just like babies! And they'll be living in a floating city that the humans built to escape the ant people!"
dialogue,Ross,"That's the hope! So, is Emma awake yet?"
dialogue,Rachel,"Oh no, it's still nap time. But she'll be up soon."
dialogue,Ross,"Ah, and where is Joey?"
dialogue,Rachel,I said it's still nap time.
action,,"(Joey comes out from his room, yawning)"
dialogue,Ross,"(taping Joey with the cam) Hey, there is uncle Joey!"
dialogue,Joey,Hey!
dialogue,Ross,"Hey, say something to Emma on her 18th birthday!"
dialogue,Joey,"18, uh? (starts to prepare himself to say his ""How You Doin'"" line)"
dialogue,Ross,"Joey, NO!"
dialogue,Joey,"What, what!? it's for her hot friends!"
dialogue,Ross,When they see this you'll be 52!
dialogue,Joey,And starting to think about settling down!
dialogue,Rachel,"Hey Joey, will you please set this up for people to put Emma's presents on?"
dialogue,Joey,I'd love to! Yeah!
dialogue,Joey,(To Phoebe) We were supposed to bring presents?
dialogue,Phoebe,Yeah! I wrote Emma a song.
dialogue,Joey,"Oh, yeah! How was I supposed to know?"
dialogue,Phoebe,"Joey, it's a birthday party."
dialogue,Joey,"Yeah, but for a one-year-old. What's the point... the other day she laughed for like an hour at a cup. Just a cup with a picture of Elmo on it dressed as a farmer. And he's standing next to this cow and the cow says ""El-moo""! (Joey starts laughing) Yeah... that's a funny cup!"
action,,(Monica and Chandler enter)
dialogue,Monica,Hey!
dialogue,Chandler,Hey hey! Where's the birthday girl?
dialogue,Rachel,"Oh, she's still napping"
dialogue,Chandler,"Oh, sure, she was probably up all night, excited about the party she knows is happening."
dialogue,Rachel,"Look, I know that you guys really want to get to Vermont and this isn't a really big deal to you, but it really is to us, ok? Emma will never have a first birthday again."
dialogue,Monica,All right... you're right. We're sorry. Now let's wake up Emma and get the fun time started!
dialogue,Rachel,"No really, she didn't sleep well last night, so we can't wake her up."
dialogue,Monica,"Are you freaking kidding me, Green?"
action,,(someone knocks on the door. Rachel goes to open it)
dialogue,Jack and Judy,HI!
dialogue,Ross,(points the camcorder towards them to record their entrance) Hey!
dialogue,Monica,So glad you came!
dialogue,Jack,I can't believe Emma is already one!
dialogue,Judy,(to Monica) I remember your first birthday! Ross was jealous of all the attention we were giving you. He pulled on his testicles so hard! We had to take him to the emergency room!
dialogue,Ross,(pointing the camcorder at himself) There's something you didn't know about your dad!
dialogue,Joey,Hey Mr. and Mrs. Geller! Let me help you with that.
dialogue,Jack,Thank you!
dialogue,Joey,"Oh man, this is great, uh? The three of us together again! You know what would be fun? If we gave this present to Emma from all of us!"
dialogue,Jack,Which one are you?
action,,(Time lapse)
dialogue,Monica,I can't believe Emma is still asleep!
dialogue,Chandler,"I know, what are we gonna do?"
dialogue,Monica,I've got a plan. I've got a plan. I'm going to ram this platter really hard into your ribs. You're gonna scream out and that'll wake her up!
dialogue,Chandler,I'm not going to Vermont with this Monica!
dialogue,Joey,"Hey Pheebs, you know what? I was thinking... since you wrote a song, maybe I could do something for Emma using my talents!"
dialogue,Phoebe,So you’re gonna... hit on her?
dialogue,Joey,"No, no, no! My talents as an actor!"
dialogue,Phoebe,Oh!
dialogue,Joey,"You know, I could like maybe... I could do a dramatic reading of one of her books!"
dialogue,Phoebe,Or you could stick a fork in an apple!
dialogue,Joey,"Hey, I think Emma might like it!"
dialogue,Rachel,Oh! Emma might like what?
dialogue,Joey,"Um, my present!"
dialogue,Rachel,What did you get her?
dialogue,Joey,Actually we prepared performances.
dialogue,Phoebe,Separate performances.
dialogue,Joey,But equally real!
dialogue,Rachel,"Well, this sounds like fun! Well, you know what? Actually? People are getting a little antsy waiting Emma to wake up from her nap, so would you mind performing them once now?"
dialogue,Phoebe,"Sure, yeah!"
dialogue,Joey,(unconfidently) O K.
dialogue,Rachel,"(to everybody) All right, let’s get this party started, huh? Joey and Phoebe are gonna perform a little something for us."
dialogue,Ross,"Oh, great!"
dialogue,Phoebe,(to Joey) Are you gonna be embarrassed going up there having nothing prepared?
dialogue,Joey,"Hey, I do it every week with three cameras pointed at me and a whole crew waiting!"
dialogue,Rachel,"So, Joey, what are you gonna do for us?"
dialogue,Joey,I will be doing a dramatic reading of one of Emma’s books.
dialogue,Rachel,"Oh, ok, which one?"
dialogue,Joey,"Uh, why, it’s a... (he picks a book up) one of her favorites, uh, (he reads the title of the book) “Riding the Storm Out. Coping with post-partum depression” eesh! (he puts the book back and picks up another) “Love you forever”. Love you forever. By Robert Munsch. Published by Firefly books. Printed (he pauses and changes the tone to a dramatic one) in Mexico. A mother held her new baby and very slowly rocked him back and forth, back and forth, back and forth, and while she held him she sang “I’ll love you forever, I’ll like you for always, as long as I'm living, my baby you’ll be”. (the picture fades and Joey is now finishing the book). And while he rocked her, he sang “I’ll love you forever, I’ll like you for always, as long as I'm living, my baby you’ll be”."
dialogue,Rachel,(crying) Wow! That was amazing!
dialogue,Ross,Thank you so much for that gift!
dialogue,Chandler,(nearly weeping) I was not ready for this today!
dialogue,Ross,Amazing... amazing.
dialogue,Rachel,"Oh, Phoebe, I’m sorry! Phoebe has prepared something as well."
dialogue,Phoebe,"That’s right, I've prepared a song for Emma. From my heart to hers. For there’s no greater gift, than the gift of music. (she starts singing) Emma! Your name poses a dilemma. 'Cause not much else rhymes with Emma! Maybe the actor Richard Crenna, he played the commanding officer in Rambo. Happy birthday Emma!"
dialogue,Rachel,Is that it?
dialogue,Phoebe,"No, of course not! I also, you know, prepared a reading (she picks up a book). “Sex and the single mother. (pause) Finding your G-spot."
dialogue,Everybody,"No, no, no, no, no!"
heading,,[Scene: Joey’s Apartment. Ross is filming his parents]
dialogue,Judy,Hello Emma. Happy eighteenth birthday.
dialogue,Jack,"Right now that seems so far away, seventeen years."
dialogue,Judy,"Yes, you’ll be all grown up by then. We’ll be... Well your grandfather and I might not be here."
dialogue,Jack,"That’s true! This message could becoming to you from beyond the grave, Emma!"
dialogue,Judy,"After all, my parents died very young."
dialogue,Jack,And my cholesterol’s off the charts!
dialogue,Judy,"Remember, Emma, heart disease kills women too!"
dialogue,Ross,"(stops recording) Ok, cut! Great. That was... that was just... yeah!"
dialogue,Rachel,"Ross, um, don’t forget to get a shot of Emma’s cake. It’s in a box in the fridge."
dialogue,Ross,Sure.
dialogue,Rachel,"Oh, you're gonna love this cake. I got it from a bakery in New Jersey, Corino’s."
dialogue,Monica,"Oh my God, that place has the creamiest frosting! I use to hitchhike there when I was a kid."
dialogue,Rachel,"Well, anyway, they make these great novelty cakes, in all different shapes, and if you give them a photo, they’ll copy it in icing!"
dialogue,Monica,"Oh, did you do a picture of Emma?"
dialogue,Rachel,Yes! On a cake shaped like a bunny.
dialogue,Ross,"Uh, Rach? Does this bakery by any chance also bake erotic cakes? Say for bachelorette parties?"
dialogue,Rachel,"Ross, what are you talking about? (she sees the cake) oh! Oh my God! They put my baby’s face on a penis!"
dialogue,Phoebe,(sees the cake) oh! Now it’s a party!
dialogue,Rachel,"Why you guys this isn't funny, all right? If I wanted this cake to be a disaster I would have baked it myself!"
dialogue,Joey,(staring at the cake) Uh.. is it ok that I still think it looks delicious?
dialogue,Judy,"(to Jack) Jack, look at this."
dialogue,Jack,"I know what you're thinking Judy, the resemblance is uncanny!"
dialogue,Ross,I am this close to tugging on my testicles again.
dialogue,Rachel,"(on the phone) No, no, this is not what I ordered. Ok? I went all the way to New Jersey so that I could have the perfect cake for my daughter’s birthday and I need a bunny cake, right now!"
dialogue,Ross,"Ask them if it would be faster if we cut the baby’s face off the penis, so we can put it on the bunny. (pause). That is a weird sentence!"
