script_element,character,text
heading,,"[Scene: Chandler and Joey's, Chandler and Joey are playing with the duck and the chick.]"
dialogue,Joey,"Hey, wouldn't be cool if our duck and chick had a little baby? We could call it Chuck."
dialogue,Chandler,Or... Dick.
dialogue,Ross,(entering) Hey.
dialogue,Chandler and Joey,Hey.
dialogue,Ross,"Listen, I-I need a favor. Umm, I was in the shower, and as I was cleansing myself, I ah, I-I, well I felt something."
dialogue,Chandler,Was it like a sneeze only better?
dialogue,Ross,"No, no, I mean, I mean a thing on my body."
dialogue,Joey,(with a disgusted look) What was it?
dialogue,Ross,"Well, I don't know, it's-it's kinda in a place that's not... It's not visually accessible to me, and I was hoping maybe you guys could-could help me out. (starts to take off his pants)"
dialogue,Chandler and Joey,Whoa!!!
dialogue,Chandler,No!!
dialogue,Ross,"Come on you guys, it's no big deal! (He turns around and shows him his thing.)"
dialogue,Chandler,Whoa-heeeiiiiii-iiiii-ah!! (sees it) Huh.
dialogue,Ross,"Well what is it? Is it a mole? (He moves closer to them, and they jump back.)"
dialogue,Joey,"No, it's too wrinkly to be a mole."
dialogue,Ross,"Well, eww. What? Is it a pimple?"
dialogue,Chandler,"No, it's... fancier than a pimple. Look Ross, why don't you just go see a…"
dialogue,Rachel,"(entering, interrupting them) Hey guys! What's... (sees what they're doing and stops, the guys are stunned)"
dialogue,Chandler,"Okay, well, it's definite, two more weeks of winter."
dialogue,Ross,Ahhh.
dialogue,Joey,"Yeah, right."
action,,(Rachel backs out with a confused look on her face.)
action,,Opening Credits
heading,,"[Scene: Central Perk, Chandler, Joey, and Rachel are there, as Phoebe enters with her date.]"
dialogue,Phoebe,"(to her date) Okay, and then this is the coffee house. This is where I play my music. (points to the stage)"
dialogue,Vince,Good deal.
dialogue,Phoebe,"Yeah, and these are my friends. People. This is Vince, Vince the people."
dialogue,Rachel,Hi!
dialogue,Chandler,Hey!
dialogue,Vince,Hey!
dialogue,Phoebe,Vince is a fireman.
dialogue,Rachel,Wow! Have you ever rescued anyone from a burning building before?
dialogue,Vince,"98 hot saves, highest in the force."
dialogue,Chandler,"Well, y'know if Joey and I played with matches we could get you up to an even hundred."
dialogue,Vince,"(dead serious) Fire safety is not a joke, son."
dialogue,Chandler,"You're right, I know."
dialogue,Vince,"(to Phoebe) Look, I gotta go. I'm on call tonight. (kisses her) See you Saturday. (leaves)"
dialogue,Phoebe,Okay. (watches him leave)
dialogue,Rachel,"Wow, he's cute, Pheebs! But I thought you just started dating that Kindergarten teacher."
dialogue,Phoebe,"Oh, Jason? Yeah, uh-huh, we're seeing each other tonight."
dialogue,Rachel,What-Pheebs?! Two dates in one day? That's so unlike you.
dialogue,Phoebe,"I know, I know! I'm like playing the field. Y'know? Like, juggling two guys, I'm sowing my wild oats. Y'know? Y'know, this kind've like y'know oat-sowin', field-playin' juggler."
dialogue,Joey,"So Pheebs, do they know about each other?"
dialogue,Phoebe,"Does a dog's lips move when he reads? (Joey makes an `I don't know' face, and looks to Chandler and Rachel, who're also stumped) Okay, no they don't."
dialogue,Ross,(entering) Hey guys!
dialogue,Joey,Hey.
dialogue,Rachel,Hi!
action,,"(He goes over and sits down at the counter, all depressed.)"
dialogue,Joey,(going over to him) Well?!
dialogue,Chandler,"(joining them) Okay, how'd it go at the doctor's?"
dialogue,Ross,"Well, he said there's definitely nothing to worry about, it's totally benign."
dialogue,Joey,Well what is it?!
dialogue,Ross,"He couldn't even tell me! He said it was just some sort of skin... abnormality. And the worst thing is he-he-he said, he said, without being able to identify it, he was reluctant to remove it."
dialogue,Chandler,"Y'know what? You should go to my guy, because when I went in there with my third nipple. He just lopped it right off. Y'know? So I guess I'm lucky. I mean not as lucky as people who were born with two nipples."
dialogue,Ross,"At least they knew what yours was. Y'know, yours had a name."
dialogue,Joey,"Oh! Maybe they'll name yours after you! Y'know, they'll call it, The Ross. And then people would be like, ""Awww, he's got a Ross."""
dialogue,Ross,"(sarcastic) Yeah, that'd be cool!"
action,,[cut to Phoebe and Rachel as Monica returns from the bathroom]
dialogue,Monica,Pete's breaking up with me.
dialogue,All,What?!
dialogue,Monica,"I just checked my messages, and he said that when he gets back from Atlanta, we need to talk."
dialogue,Rachel,And?
dialogue,Monica,Well that's it. People never say `We need to talk' unless it's something bad.
dialogue,Joey,"Whoa, that doesn't necessarily mean that he's breaking up with you."
dialogue,Monica,Really?!
dialogue,Joey,"Yeah, maybe he just cheated on you."
heading,,"[Scene: A Street, Phoebe is walking with her second date, Jason.]"
dialogue,Jason,"...and I know I'll never miss doing it, but I gotta tell you, it's pretty cool knowing that you're making a difference in a kid's life."
