script_element,character,text
heading,,"[Scene: Central Perk, everyone is there. Ross working on crossword puzzle, starts humming theme from The Odd Couple . Chandler joins in, followed by Monica and Phoebe, then the whole gang. Ross starts humming theme from I Dream Of Jeannie .]"
dialogue,Chandler,"No-no-no-no, we're done."
action,,Opening Credits
heading,,"[Scene: Monica and Rachel's, Monica is on the phone in the kitchen.]"
dialogue,Monica,"Aunt Syl, stop yelling! All I'm saying is that if you had told me vegetarian lasagna, I would have made vegetarian lasagna. (pauses, listens to person on phone) Well, the meat's only every third layer, maybe you could scrape."
action,,"(Camera moves to Chandler, Phoebe, Ross, and Joey sitting in living room)"
dialogue,Joey,"Ross, did you really read all these baby books?"
dialogue,Ross,"Yup! You could plunk me down in the middle of any woman's uterus, no compass, and I can find my way out of there like that! (snaps fingers)"
dialogue,Phoebe,"Ooh, this is cool...it says in some parts of the world, people actually eat the placenta. (Joey grimaces)"
dialogue,Chandler,"And, we're done with the yogurt. (Sets yogurt down on table)"
dialogue,Phoebe,"(softly) Sorry. (Camera pans back to Monica, still on phone)"
dialogue,Monica,"Aunt Syl, I did this as a favor, I am not a caterer. What do you want me to do with a dozen lasagnas? (listens to Aunt Syl on phone, looks shocked) Nice talk, Aunt Syl. (in New York accent) You kiss Uncle Freddie with that mouth?"
action,,(Camera pans back to group in living room)
dialogue,Joey,"Hey Ross, listen, you know that right now, your baby's only this big? (measures about 2 inches with his thumb and index finger) This is your baby. (in baby-like voice) Hi Daddy!"
dialogue,Ross,(waves) Hello!
dialogue,Joey,(in baby-like voice) How come you don't live with Mommy? (pause; shows Ross less than amused) How come Mommy lives with that other lady? (pause; Ross still looks less than amused; Joey smiling) What's a lesbian? (playfully hits Ross)
action,,"(Rachel enters with Paolo, speaking Italian. Ross looks annoyed)"
dialogue,Rachel,"Honey, you can say it, Poconos, Poconos, it's like Poc-o-nos (touching Paolo's nose with forefinger with each syllable)"
dialogue,Paolo,"Ah, poke (Paolo touches Rachel's nose) a (touches nose again) nose, mmm (they rub noses, then kisses her)"
dialogue,"Joey, Chandler, and Ross","(sitting in living room, imitating Paolo) Mma, Mma, Mmaah"
action,,"(Camera pans to Rachel, Monica, and Phoebe in the kitchen)"
dialogue,Monica,"So, did I hear Poconos?"
dialogue,Rachel,"Yes, my sister's giving us her place for the weekend."
dialogue,Phoebe,"Woo-hoo, first weekend away together!"
dialogue,Monica,"Yeah, that's a big step."
dialogue,Rachel,I know...
action,,"(Camera pans to Ross, looking dejected)"
dialogue,Chandler,"(to Ross) Ah, it's just a weekend, big deal!"
dialogue,Ross,"Wasn't this supposed to be just a fling, huh? Shouldn't it be...(makes flinging motions with hands) flung by now?"
action,,(Camera pans back to Rachel)
dialogue,Rachel,"I mean, we are way past the fling thing, I mean, I am feeling things that I've only read about in Danielle Steele books, you know? I mean, when I'm with him, I'm totally, totally..."
action,,"(Camera pans to Ross, holding his stomach)"
dialogue,Ross,"...nauseous, I'm physically nauseous. What am I supposed to do, huh? Call immigration? (pauses, looks suddenly inspired) I could call immigration!"
heading,,"[Scene: The Hallway, Chandler and Joey leaving girls' apartment, carrying lasagna.]"
dialogue,Joey,"I love babies, with their little baby shoes, and their little baby toes, and their little baby hands..."
dialogue,Chandler,"Ok, you're going to have to stop that, forever!"
action,,"(Joey opens door, throws keys on kitchen table, table falls over)"
dialogue,Joey,Need a new table.
dialogue,Chandler,You think?
heading,,"[Scene: Carol and Susan's, there's a knock on the door and Carol answers it to Ross.]"
dialogue,Carol,"Hey hey, come on in!"
action,,"(Ross enters, carrying lasagna)"
dialogue,Ross,"Hey, hello! mmwa! (kisses Carol) I brought all the books, and Monica sends her love, along with this lasagna."
dialogue,Carol,"Oh great! Is it vegetarian, 'cause Susan doesn't eat meat."
dialogue,Ross,(pauses) I'm pretty sure that it is...
dialogue,Carol,"So, I got the results of the amnio today."
dialogue,Ross,"(making flinging gestures with hands) Oh, tell me, tell me, is everything, uhh....?"
dialogue,Carol,Totally and completely healthy!
dialogue,Ross,"Oh, that's great, that is great! (Hugs and kisses Carol. Then picks up a picture frame)"
dialogue,Ross,"Hey, when did you and Susan meet Huey Lewis?"
dialogue,Carol,"Uh, that's our friend Tanya."
dialogue,Ross,"(surprised, chuckling nervously) Of course it's your friend Tanya. (looks up frightenedly)"
dialogue,Carol,Don't you want to know about the sex?
dialogue,Ross,"(chuckles nervously) The sex? (chuckles) Um, I'm having enough trouble with the image of you and Susan together, when you throw in Tanya (miming washing hair, that's the best I could think of), yaw..."
dialogue,Carol,"The sex of the baby, Ross."
dialogue,Ross,"Oh, you know the sex of the baby? Oh, oh-oh-oh!"
dialogue,Carol,Do you want to know?
dialogue,Ross,"No, no, no, no, no, I don't want to know, absolutely not. I think, you know, I think you should know until you look down there, and say, oop, there it is! (pauses) Or isn't..."
action,,(Susan enters)
dialogue,Susan,"Oh, hello Ross!"
dialogue,Ross,Susan...
dialogue,Susan,"So, so, did you hear?"
dialogue,Ross,"Yes, we did, everything's A-OK!"
dialogue,Susan,"Oh, that's so... (Susan hugs Carol, they giggle, Ross steps away) It really is...do we know...?"
dialogue,Carol,"Yes, we certainly do, it's going to be..."
dialogue,Ross,"(flailing arms in protest) Oh, hey hey hey, ho ho ho, hello, guy who doesn't want to know, standing right here!"
dialogue,Susan,"Oh, well, is it what we thought it would be?"
dialogue,Carol,"Mm-hmmm (Susan and Carol hug, giggling. Ross stands back, reaches out and lightly taps Susan's shoulder)"
dialogue,Ross,"Ok, what, what...ok, what did we think it was going to be?"
dialogue,Carol and Susan,It's a...
